"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","A","Species richness",157,190.707,14.402,172.107,232.208,51,1161,157,0.968,38,21,13,12,7,8,9,7,3,5
"2","A","Shannon diversity",92.727,100.465,2.52,95.526,105.404,51,1161,157,0.968,38,21,13,12,7,8,9,7,3,5
"3","A","Simpson diversity",66.162,68.745,2.193,66.162,73.044,51,1161,157,0.968,38,21,13,12,7,8,9,7,3,5
