"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Ciénaga","Species richness",4,4.889,1.949,4.066,15.961,9,4,0.8222
"2","Ciénaga","Shannon diversity",3.37,4.382,1.004,3.37,6.349,9,4,0.8222
"3","Ciénaga","Simpson diversity",3,4,1.22,3,6.392,9,4,0.8222
"4","Caño","Species richness",9,10.435,2.206,9.166,21.424,23,9,0.8804
"5","Caño","Shannon diversity",7.492,9.499,1.556,7.492,12.548,23,9,0.8804
"6","Caño","Simpson diversity",6.531,8.724,1.6,6.531,11.861,23,9,0.8804
"7","Río Magdalena","Species richness",4,6.727,3.967,4.338,26.036,11,4,0.7521
"8","Río Magdalena","Shannon diversity",2.424,3.314,1.158,2.424,5.583,11,4,0.7521
"9","Río Magdalena","Simpson diversity",1.806,1.964,0.895,1.806,3.718,11,4,0.7521
