"Punto.Fijo.eventPer","Punto.Fijo.order","Punto.Fijo.observado","Punto.Fijo.estimado","Punto.Fijo.s.e.","Punto.Fijo.LCL","Punto.Fijo.UCL","Punto.Fijo.parentEventID","Punto.Fijo.Dis_Cienag","Punto.Fijo.Dis_MGSG","Punto.Fijo.Dis_Dre345","Punto.Fijo.DisBosque","Punto.Fijo.Dis_CobNat","Punto.Fijo.Tam_Parche","Punto.Fijo.Dis_CP","Punto.Fijo.Dis_Oleodu","Punto.Fijo.Dis_Pozo","Punto.Fijo.Dis_Pozact","Punto.Fijo.Dis_Ferroc","Punto.Fijo.Dis_ViaPri","Punto.Fijo.Dia_ViaSec","Punto.Fijo.Plataf","Punto.Fijo.CobAves"
"ANH_192_21","Shannon diversity",11.514,11.773,0.465,11.514,12.685,"ANH_192",6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto"
"ANH_192_21","Simpson diversity",4.547,4.556,0.203,4.547,4.955,"ANH_192",6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto"
"ANH_197_21","Species richness",71,101.188,17.601,81.456,158.155,"ANH_197",5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto"
"ANH_197_21","Shannon diversity",37.398,41.753,2.284,37.398,46.229,"ANH_197",5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto"
"ANH_197_21","Simpson diversity",24.843,26.122,1.671,24.843,29.397,"ANH_197",5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto"
"ANH_208_21","Species richness",21,25.124,4.837,21.666,46.536,"ANH_208",4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma"
"ANH_208_21","Shannon diversity",15.656,17.936,1.541,15.656,20.957,"ANH_208",4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma"
"ANH_208_21","Simpson diversity",12.737,14.491,1.689,12.737,17.802,"ANH_208",4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma"
"ANH_211_21","Species richness",31,38.481,5.902,32.914,60.246,"ANH_211",4440.80597184,10599.1787894,1176.55142356,164.268370461,164.268370461,34.4873853707,4902.35827479,3989.40954626,6150.4090566,6150.4090566,3385.32572999,6272.92696189,1930.50260475,"Kale","Palma"
"ANH_211_21","Shannon diversity",22.8,28.699,2.732,23.345,34.053,"ANH_211",4440.80597184,10599.1787894,1176.55142356,164.268370461,164.268370461,34.4873853707,4902.35827479,3989.40954626,6150.4090566,6150.4090566,3385.32572999,6272.92696189,1930.50260475,"Kale","Palma"
"ANH_211_21","Simpson diversity",17.333,21.074,3.21,17.333,27.366,"ANH_211",4440.80597184,10599.1787894,1176.55142356,164.268370461,164.268370461,34.4873853707,4902.35827479,3989.40954626,6150.4090566,6150.4090566,3385.32572999,6272.92696189,1930.50260475,"Kale","Palma"
"ANH_213_21","Species richness",20,23.1,3.632,20.501,39.167,"ANH_213",7082.31349951,12070.7706135,437.224995545,161.734343803,161.734343803,841.669467865,3192.13278796,2526.2327708,4834.18909629,8654.02495883,637.611964494,3173.92802039,4894.63720459,"Kale","Palma"
"ANH_213_21","Shannon diversity",10.795,11.914,1.182,10.795,14.232,"ANH_213",7082.31349951,12070.7706135,437.224995545,161.734343803,161.734343803,841.669467865,3192.13278796,2526.2327708,4834.18909629,8654.02495883,637.611964494,3173.92802039,4894.63720459,"Kale","Palma"
"ANH_213_21","Simpson diversity",6.674,6.995,1.025,6.674,9.004,"ANH_213",7082.31349951,12070.7706135,437.224995545,161.734343803,161.734343803,841.669467865,3192.13278796,2526.2327708,4834.18909629,8654.02495883,637.611964494,3173.92802039,4894.63720459,"Kale","Palma"
"ANH_218_21","Species richness",25,41.519,14.718,28.692,98.907,"ANH_218",2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma"
"ANH_218_21","Shannon diversity",14.758,17.822,2.085,14.758,21.909,"ANH_218",2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma"
"ANH_218_21","Simpson diversity",9.74,10.564,1.632,9.74,13.763,"ANH_218",2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma"
"ANH_221_21","Species richness",38,73.841,25.675,48.152,164.535,"ANH_221",3689.24855452,5801.92962769,1031.47648461,89.5343573932,89.5343573932,855.986956246,2810.03578108,2703.91566834,4792.933567,6825.96749612,2525.37662582,2085.71502856,2852.90213725,"Platero","Palma"
"ANH_221_21","Shannon diversity",24.825,33.089,4.31,24.825,41.536,"ANH_221",3689.24855452,5801.92962769,1031.47648461,89.5343573932,89.5343573932,855.986956246,2810.03578108,2703.91566834,4792.933567,6825.96749612,2525.37662582,2085.71502856,2852.90213725,"Platero","Palma"
"ANH_221_21","Simpson diversity",17.627,20.307,3.005,17.627,26.196,"ANH_221",3689.24855452,5801.92962769,1031.47648461,89.5343573932,89.5343573932,855.986956246,2810.03578108,2703.91566834,4792.933567,6825.96749612,2525.37662582,2085.71502856,2852.90213725,"Platero","Palma"
"ANH_222_21","Species richness",35,45.013,7.949,37.544,74.409,"ANH_222",9390.76906167,4747.46419056,3711.07627906,246.103545107,246.103545107,137.622864224,3045.90669074,3.44051569843,5342.46138687,5342.46138687,1932.62141813,577.555146224,4977.53543211,"Platero","Palma"
"ANH_222_21","Shannon diversity",21.437,25.46,2.438,21.437,30.239,"ANH_222",9390.76906167,4747.46419056,3711.07627906,246.103545107,246.103545107,137.622864224,3045.90669074,3.44051569843,5342.46138687,5342.46138687,1932.62141813,577.555146224,4977.53543211,"Platero","Palma"
"ANH_222_21","Simpson diversity",13.752,15.109,2.154,13.752,19.331,"ANH_222",9390.76906167,4747.46419056,3711.07627906,246.103545107,246.103545107,137.622864224,3045.90669074,3.44051569843,5342.46138687,5342.46138687,1932.62141813,577.555146224,4977.53543211,"Platero","Palma"
"ANH_223_21","Species richness",30,36.683,5.829,31.53,59.189,"ANH_223",1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma"
"ANH_223_21","Shannon diversity",23.218,28.324,2.574,23.28,33.369,"ANH_223",1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma"
"ANH_223_21","Simpson diversity",19.211,23.488,2.619,19.211,28.621,"ANH_223",1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma"
"ANH_225_21","Species richness",28,37.934,8.315,30.382,69.439,"ANH_225",5115.14594567,6801.97559666,2430.17980783,376.806243038,376.806243038,151.450709365,3799.05122069,2387.24183797,3299.44352059,6835.52702059,3962.67904707,2394.88904451,3538.10890969,"Platero","Palma"
"ANH_225_21","Shannon diversity",16.036,18.361,1.709,16.036,21.71,"ANH_225",5115.14594567,6801.97559666,2430.17980783,376.806243038,376.806243038,151.450709365,3799.05122069,2387.24183797,3299.44352059,6835.52702059,3962.67904707,2394.88904451,3538.10890969,"Platero","Palma"
"ANH_225_21","Simpson diversity",11.076,11.868,1.265,11.076,14.347,"ANH_225",5115.14594567,6801.97559666,2430.17980783,376.806243038,376.806243038,151.450709365,3799.05122069,2387.24183797,3299.44352059,6835.52702059,3962.67904707,2394.88904451,3538.10890969,"Platero","Palma"
"ANH_226_21","Species richness",14,28.667,13.319,17.208,81.053,"ANH_226",3585.02524121,2201.95030505,9543.14632821,1194.07698026,352.268683748,841.669467865,4357.4931159,7185.61774977,1956.70367542,1956.70367542,10308.6371862,6642.7120178,4475.02559896,"Platero","Palma"
