"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"1","ANH_151","Species richness",13,30.846,23.423,15.51,139.893,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.824756606397775
"2","ANH_151","Shannon diversity",4.857,5.45,0.771,4.857,6.961,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.824756606397775
"3","ANH_151","Simpson diversity",2.87,2.917,0.386,2.87,3.675,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.824756606397775
"4","ANH_160","Species richness",10,12.189,3.313,10.258,28.586,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.737134909596662
"5","ANH_160","Shannon diversity",7.557,8.968,1.099,7.557,11.121,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.737134909596662
"6","ANH_160","Simpson diversity",6.309,7.4,1.264,6.309,9.878,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.737134909596662
"7","ANH_182","Species richness",11,13.59,3.397,11.365,29.397,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.739916550764951
"8","ANH_182","Shannon diversity",7.837,9.642,1.578,7.837,12.735,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.739916550764951
"9","ANH_182","Simpson diversity",5.976,7,1.646,5.976,10.227,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.739916550764951
"10","ANH_117","Species richness",10,13.875,5.138,10.538,37.902,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.777468706536857
"11","ANH_117","Shannon diversity",6.977,8.766,1.661,6.977,12.02,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.777468706536857
"12","ANH_117","Simpson diversity",5.278,6.123,1.492,5.278,9.047,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.777468706536857
"13","ANH_168","Species richness",11,11.248,0.725,11.013,15.707,7431.94943672,3993.61927273,1308.80671981,0,0,198.695405695,6993.43269494,757.356279433,916.566280828,916.566280828,13234.4905282,739.578552727,8686.2509721,"Kale","Herbazal",0.734353268428373
"14","ANH_168","Shannon diversity",7.442,7.748,0.498,7.442,8.725,7431.94943672,3993.61927273,1308.80671981,0,0,198.695405695,6993.43269494,757.356279433,916.566280828,916.566280828,13234.4905282,739.578552727,8686.2509721,"Kale","Herbazal",0.734353268428373
"15","ANH_168","Simpson diversity",6.348,6.612,0.521,6.348,7.634,7431.94943672,3993.61927273,1308.80671981,0,0,198.695405695,6993.43269494,757.356279433,916.566280828,916.566280828,13234.4905282,739.578552727,8686.2509721,"Kale","Herbazal",0.734353268428373
"16","ANH_159","Species richness",12,12.659,1.293,12.056,19.737,7139.43499503,4780.32847124,4439.07557358,0,0,28.1785589872,5084.54673962,1677.42620018,3126.67797944,5536.96505486,4385.12877234,1781.68861093,3827.73583254,"Platero","Bosque Ripario",1
"17","ANH_159","Shannon diversity",7.361,7.914,0.756,7.361,9.395,7139.43499503,4780.32847124,4439.07557358,0,0,28.1785589872,5084.54673962,1677.42620018,3126.67797944,5536.96505486,4385.12877234,1781.68861093,3827.73583254,"Platero","Bosque Ripario",1
"18","ANH_159","Simpson diversity",5.232,5.5,0.837,5.232,7.14,7139.43499503,4780.32847124,4439.07557358,0,0,28.1785589872,5084.54673962,1677.42620018,3126.67797944,5536.96505486,4385.12877234,1781.68861093,3827.73583254,"Platero","Bosque Ripario",1
"19","ANH_181","Species richness",13,25.375,16.971,14.648,105.921,1974.4879915,4546.58708741,5901.33349282,0,0,78.6478687443,4897.62859073,6192.29961784,2266.13858395,2266.13858395,7142.48315283,5843.50046111,1040.84946892,"Platero","Bosque Ripario",0.821974965229485
