"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Kale","Species richness",40,46.708,5.298,41.714,66.256,459,40,0.9761
"2","Kale","Shannon diversity",14.461,15.289,0.817,14.461,16.891,459,40,0.9761
"3","Kale","Simpson diversity",9.43,9.607,0.538,9.43,10.661,459,40,0.9761
"4","Platero","Species richness",34,50.626,14.81,37.717,108.363,407,34,0.9755
"5","Platero","Shannon diversity",13.849,14.76,0.962,13.849,16.646,407,34,0.9755
"6","Platero","Simpson diversity",9.34,9.536,0.553,9.34,10.619,407,34,0.9755
"7","Caracterizacion","Species richness",19,23.472,4.776,19.809,43.72,163,19,0.9635
"8","Caracterizacion","Shannon diversity",8.459,9.141,0.763,8.459,10.636,163,19,0.9635
"9","Caracterizacion","Simpson diversity",5.76,5.934,0.535,5.76,6.982,163,19,0.9635
