"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"23","ANH_114","Shannon diversity",5.774,5.875,0.306,5.774,6.475,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",1
"24","ANH_114","Simpson diversity",4.051,4.084,0.267,4.051,4.608,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",1
"25","ANH_108","Species richness",9,11.993,4.47,9.358,33.992,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",1
"26","ANH_108","Shannon diversity",1.692,1.716,0.089,1.692,1.89,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",1
"27","ANH_108","Simpson diversity",1.256,1.257,0.038,1.256,1.332,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",1
"28","ANH_392","Species richness",8,15.889,11.505,8.973,71.951,15300.870753,4919.61309458,1913.85002942,0,0,215.82601981,1312.63273713,1928.69097517,1542.86123271,2915.10559407,3768.86787349,477.011716792,2919.52033518,"Caracterizacion","Pastos",1
"29","ANH_392","Shannon diversity",3.103,3.446,0.52,3.103,4.465,15300.870753,4919.61309458,1913.85002942,0,0,215.82601981,1312.63273713,1928.69097517,1542.86123271,2915.10559407,3768.86787349,477.011716792,2919.52033518,"Caracterizacion","Pastos",1
"30","ANH_392","Simpson diversity",2.217,2.256,0.267,2.217,2.779,15300.870753,4919.61309458,1913.85002942,0,0,215.82601981,1312.63273713,1928.69097517,1542.86123271,2915.10559407,3768.86787349,477.011716792,2919.52033518,"Caracterizacion","Pastos",1
"31","ANH_373","Species richness",6,6,0.234,6,6.522,9903.839611,8046.0207503,70.8481414912,0,0,30.9381020034,239.676678516,765.047073447,2932.01519844,8928.41680806,299.78362937,99.9727641695,5451.62386497,"Caracterizacion","Bosque Ripario",1
"32","ANH_373","Shannon diversity",3.565,3.638,0.282,3.565,4.19,9903.839611,8046.0207503,70.8481414912,0,0,30.9381020034,239.676678516,765.047073447,2932.01519844,8928.41680806,299.78362937,99.9727641695,5451.62386497,"Caracterizacion","Bosque Ripario",1
"33","ANH_373","Simpson diversity",2.838,2.88,0.219,2.838,3.309,9903.839611,8046.0207503,70.8481414912,0,0,30.9381020034,239.676678516,765.047073447,2932.01519844,8928.41680806,299.78362937,99.9727641695,5451.62386497,"Caracterizacion","Bosque Ripario",1
"34","ANH_113","Species richness",10,10.663,1.299,10.057,17.772,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",1
"35","ANH_113","Shannon diversity",2.813,2.897,0.265,2.813,3.417,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",1
"36","ANH_113","Simpson diversity",1.797,1.805,0.144,1.797,2.087,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",1
"37","ANH_117","Species richness",8,20.44,17.059,9.657,101.397,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",1
"38","ANH_117","Shannon diversity",1.547,1.616,0.139,1.547,1.889,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",1
"39","ANH_117","Simpson diversity",1.217,1.218,0.05,1.217,1.316,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",1
"40","ANH_371","Species richness",15,15.125,0.436,15.005,17.911,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"41","ANH_371","Shannon diversity",5.553,5.72,0.402,5.553,6.508,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"42","ANH_371","Simpson diversity",3.682,3.722,0.264,3.682,4.24,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"43","ANH_372","Species richness",7,7.496,1.314,7.029,15.384,4182.6531319,7045.3580222,69.9209283099,0,0,61.3915848758,124.312192215,60.8706352681,7173.7878619,7173.7878619,496.261135561,608.108601314,107.046376678,"Kale","Bosque Ripario",1
"44","ANH_372","Shannon diversity",2.428,2.5,0.275,2.428,3.039,4182.6531319,7045.3580222,69.9209283099,0,0,61.3915848758,124.312192215,60.8706352681,7173.7878619,7173.7878619,496.261135561,608.108601314,107.046376678,"Kale","Bosque Ripario",1
"45","ANH_372","Simpson diversity",1.626,1.635,0.148,1.626,1.926,4182.6531319,7045.3580222,69.9209283099,0,0,61.3915848758,124.312192215,60.8706352681,7173.7878619,7173.7878619,496.261135561,608.108601314,107.046376678,"Kale","Bosque Ripario",1
"46","ANH_110","Species richness",19,28.994,10.283,20.89,71.849,5492.74055019,3341.43186616,1802.62551194,10.2432607343,0.377995076014,2.32462719475,3258.2412738,74.4777500016,1269.32440151,1269.32440151,7989.92196241,3093.51571147,4575.43079393,"Kale","Bosque Ripario",1
"47","ANH_110","Shannon diversity",4.462,4.5,0.139,4.462,4.774,5492.74055019,3341.43186616,1802.62551194,10.2432607343,0.377995076014,2.32462719475,3258.2412738,74.4777500016,1269.32440151,1269.32440151,7989.92196241,3093.51571147,4575.43079393,"Kale","Bosque Ripario",1
"48","ANH_110","Simpson diversity",3.127,3.131,0.078,3.127,3.284,5492.74055019,3341.43186616,1802.62551194,10.2432607343,0.377995076014,2.32462719475,3258.2412738,74.4777500016,1269.32440151,1269.32440151,7989.92196241,3093.51571147,4575.43079393,"Kale","Bosque Ripario",1
"49","ANH_121","Species richness",10,11.996,3.735,10.18,32.09,396.250745049,1220.34156716,665.874091684,125.865439258,8.0448046338,329.936133785,1741.05177204,333.373974324,1030.9861027,1030.9861027,2754.14873848,927.591008246,4850.88452208,"Kale","Herbazal",1
"50","ANH_121","Shannon diversity",3.162,3.199,0.157,3.162,3.506,396.250745049,1220.34156716,665.874091684,125.865439258,8.0448046338,329.936133785,1741.05177204,333.373974324,1030.9861027,1030.9861027,2754.14873848,927.591008246,4850.88452208,"Kale","Herbazal",1
"51","ANH_121","Simpson diversity",2.157,2.162,0.117,2.157,2.391,396.250745049,1220.34156716,665.874091684,125.865439258,8.0448046338,329.936133785,1741.05177204,333.373974324,1030.9861027,1030.9861027,2754.14873848,927.591008246,4850.88452208,"Kale","Herbazal",1
"52","ANH_122","Species richness",7,7.495,1.311,7.029,15.37,5508.85993172,5223.03619326,3220.5541173,42.0180171478,40.4228423569,39.2756311824,5587.99149113,1601.58611581,2211.41729257,2211.41729257,9299.99579805,5098.02554281,3867.20115825,"Kale","Herbazal",1
"53","ANH_122","Shannon diversity",3.582,3.713,0.361,3.582,4.42,5508.85993172,5223.03619326,3220.5541173,42.0180171478,40.4228423569,39.2756311824,5587.99149113,1601.58611581,2211.41729257,2211.41729257,9299.99579805,5098.02554281,3867.20115825,"Kale","Herbazal",1
"54","ANH_122","Simpson diversity",2.593,2.636,0.31,2.593,3.244,5508.85993172,5223.03619326,3220.5541173,42.0180171478,40.4228423569,39.2756311824,5587.99149113,1601.58611581,2211.41729257,2211.41729257,9299.99579805,5098.02554281,3867.20115825,"Kale","Herbazal",1
"55","ANH_130","Species richness",10,14.493,7.183,10.494,50.858,7662.42449432,4179.3981336,1873.97616434,0,0,198.695405695,7535.17467335,133.464090212,399.271359103,399.271359103,13813.8223851,115.7157158,9192.95834191,"Kale","Bosque Abierto",1
"56","ANH_130","Shannon diversity",4.062,4.106,0.136,4.062,4.373,7662.42449432,4179.3981336,1873.97616434,0,0,198.695405695,7535.17467335,133.464090212,399.271359103,399.271359103,13813.8223851,115.7157158,9192.95834191,"Kale","Bosque Abierto",1
"57","ANH_130","Simpson diversity",3.495,3.509,0.123,3.495,3.75,7662.42449432,4179.3981336,1873.97616434,0,0,198.695405695,7535.17467335,133.464090212,399.271359103,399.271359103,13813.8223851,115.7157158,9192.95834191,"Kale","Bosque Abierto",1
"58","ANH_134","Species richness",6,6,0.368,6,6.899,4012.27738979,4372.4068974,5956.51740973,0,0,86.2216461436,3692.93375659,4147.77775296,735.935856156,4046.41475493,7449.29986845,4121.86096946,92.4842888361,"Platero","Bosque Ripario",1
"59","ANH_134","Shannon diversity",2.892,2.97,0.36,2.892,3.676,4012.27738979,4372.4068974,5956.51740973,0,0,86.2216461436,3692.93375659,4147.77775296,735.935856156,4046.41475493,7449.29986845,4121.86096946,92.4842888361,"Platero","Bosque Ripario",1
"60","ANH_134","Simpson diversity",1.952,1.971,0.234,1.952,2.429,4012.27738979,4372.4068974,5956.51740973,0,0,86.2216461436,3692.93375659,4147.77775296,735.935856156,4046.41475493,7449.29986845,4121.86096946,92.4842888361,"Platero","Bosque Ripario",1
"61","ANH_136","Species richness",5,5.988,2.175,5.073,18.363,3519.71643527,3918.08655039,7830.37668337,0,0,45.7606127029,3439.10903788,5226.22472141,1096.25815597,2542.11125603,9140.86710557,4449.04692583,2262.79724728,"Platero","Bosque Ripario",1
"62","ANH_136","Shannon diversity",2.173,2.247,0.24,2.173,2.717,3519.71643527,3918.08655039,7830.37668337,0,0,45.7606127029,3439.10903788,5226.22472141,1096.25815597,2542.11125603,9140.86710557,4449.04692583,2262.79724728,"Platero","Bosque Ripario",1
"63","ANH_136","Simpson diversity",1.663,1.676,0.168,1.663,2.004,3519.71643527,3918.08655039,7830.37668337,0,0,45.7606127029,3439.10903788,5226.22472141,1096.25815597,2542.11125603,9140.86710557,4449.04692583,2262.79724728,"Platero","Bosque Ripario",1
"64","ANH_138","Species richness",16,16.999,1.87,16.09,27.057,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"65","ANH_138","Shannon diversity",3.772,3.796,0.128,3.772,4.046,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"66","ANH_138","Simpson diversity",2.172,2.174,0.069,2.172,2.31,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"67","ANH_144","Species richness",10,15.981,7.12,10.949,47.708,2219.12042092,2847.89452658,8054.19517242,552.566404312,0,32.9593032451,5274.33862912,7201.43962949,676.420851186,676.420851186,8871.0935591,6429.16526773,3332.19291415,"Platero","Herbazal",1
"68","ANH_144","Shannon diversity",3.844,3.942,0.213,3.844,4.359,2219.12042092,2847.89452658,8054.19517242,552.566404312,0,32.9593032451,5274.33862912,7201.43962949,676.420851186,676.420851186,8871.0935591,6429.16526773,3332.19291415,"Platero","Herbazal",1
"69","ANH_144","Simpson diversity",2.801,2.817,0.169,2.801,3.148,2219.12042092,2847.89452658,8054.19517242,552.566404312,0,32.9593032451,5274.33862912,7201.43962949,676.420851186,676.420851186,8871.0935591,6429.16526773,3332.19291415,"Platero","Herbazal",1
"70","ANH_147","Species richness",11,11,0.61,11,12.682,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",1
"71","ANH_147","Shannon diversity",4.526,4.627,0.343,4.526,5.3,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",1
"72","ANH_147","Simpson diversity",3.049,3.076,0.262,3.049,3.589,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",1
"73","ANH_366","Species richness",16,20.489,7.177,16.494,56.82,7140.91207827,12079.8438471,618.778767439,0,0,183.668761621,3209.15560639,773.86219979,3432.58786772,10738.4479843,854.350385904,3399.38832351,6137.63544853,"Caracterizacion","Bosque Ripario",1
"74","ANH_366","Shannon diversity",6.113,6.271,0.355,6.113,6.967,7140.91207827,12079.8438471,618.778767439,0,0,183.668761621,3209.15560639,773.86219979,3432.58786772,10738.4479843,854.350385904,3399.38832351,6137.63544853,"Caracterizacion","Bosque Ripario",1
"75","ANH_366","Simpson diversity",4.105,4.138,0.212,4.105,4.552,7140.91207827,12079.8438471,618.778767439,0,0,183.668761621,3209.15560639,773.86219979,3432.58786772,10738.4479843,854.350385904,3399.38832351,6137.63544853,"Caracterizacion","Bosque Ripario",1
"76","ANH_369","Species richness",9,9.992,2.242,9.071,22.853,900.980889468,9368.51272465,2143.67987701,0.309194141466,0.309194141466,9.32914430345,3398.51719337,288.493337933,5894.18279023,6832.43007291,7576.3913364,5981.97001047,3131.59658606,"Kale","Bosque Ripario",1
"77","ANH_369","Shannon diversity",5.579,5.804,0.366,5.579,6.52,900.980889468,9368.51272465,2143.67987701,0.309194141466,0.309194141466,9.32914430345,3398.51719337,288.493337933,5894.18279023,6832.43007291,7576.3913364,5981.97001047,3131.59658606,"Kale","Bosque Ripario",1
"78","ANH_369","Simpson diversity",4.53,4.663,0.399,4.53,5.445,900.980889468,9368.51272465,2143.67987701,0.309194141466,0.309194141466,9.32914430345,3398.51719337,288.493337933,5894.18279023,6832.43007291,7576.3913364,5981.97001047,3131.59658606,"Kale","Bosque Ripario",1
"79","ANH_391","Species richness",14,14.999,1.869,14.09,25.053,15401.0365961,4797.31409519,1795.80812033,7.07870015647,7.07870015647,14.3116499417,1203.41754109,1805.95960498,1452.30039472,2802.29667839,3865.82877521,426.430359367,2799.5910993,"Caracterizacion","Pastos",1
"80","ANH_391","Shannon diversity",3.01,3.04,0.136,3.01,3.306,15401.0365961,4797.31409519,1795.80812033,7.07870015647,7.07870015647,14.3116499417,1203.41754109,1805.95960498,1452.30039472,2802.29667839,3865.82877521,426.430359367,2799.5910993,"Caracterizacion","Pastos",1
"81","ANH_391","Simpson diversity",1.961,1.963,0.078,1.961,2.116,15401.0365961,4797.31409519,1795.80812033,7.07870015647,7.07870015647,14.3116499417,1203.41754109,1805.95960498,1452.30039472,2802.29667839,3865.82877521,426.430359367,2799.5910993,"Caracterizacion","Pastos",1
"82","ANH_368","Species richness",14,14.498,1.319,14.029,22.417,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",1
"83","ANH_368","Shannon diversity",7.858,8.054,0.424,7.858,8.885,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",1
"84","ANH_368","Simpson diversity",6.1,6.21,0.37,6.1,6.936,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",1
"85","ANH_112","Species richness",12,12.656,1.288,12.056,19.709,2947.09730655,5775.1310261,32.3766510733,0,0,61.3915848758,1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,899.641733784,1372.13229726,"Kale","Bosque Ripario",1
"86","ANH_112","Shannon diversity",8.958,9.93,0.863,8.958,11.623,2947.09730655,5775.1310261,32.3766510733,0,0,61.3915848758,1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,899.641733784,1372.13229726,"Kale","Bosque Ripario",1
"87","ANH_112","Simpson diversity",7.537,8.442,0.955,7.537,10.313,2947.09730655,5775.1310261,32.3766510733,0,0,61.3915848758,1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,899.641733784,1372.13229726,"Kale","Bosque Ripario",1
"88","ANH_132","Species richness",12,12.991,1.857,12.089,22.983,302.343268463,2662.0425725,5590.96575883,0,0,78.6478687443,2977.39183017,7419.54858269,2360.98035931,2360.98035931,6017.74889492,5135.08893899,1228.16533075,"Platero","Bosque Ripario",1
"89","ANH_132","Shannon diversity",7.216,7.651,0.644,7.216,8.912,302.343268463,2662.0425725,5590.96575883,0,0,78.6478687443,2977.39183017,7419.54858269,2360.98035931,2360.98035931,6017.74889492,5135.08893899,1228.16533075,"Platero","Bosque Ripario",1
"90","ANH_132","Simpson diversity",5.516,5.75,0.594,5.516,6.915,302.343268463,2662.0425725,5590.96575883,0,0,78.6478687443,2977.39183017,7419.54858269,2360.98035931,2360.98035931,6017.74889492,5135.08893899,1228.16533075,"Platero","Bosque Ripario",1
"91","ANH_365","Species richness",8,8.993,1.859,8.09,19,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",1
"92","ANH_365","Shannon diversity",2.512,2.593,0.244,2.512,3.071,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",1
"93","ANH_365","Simpson diversity",1.709,1.718,0.151,1.709,2.014,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",1
"94","ANH_145","Species richness",7,7,0.545,7,8.616,4138.41011159,409.863606765,10559.8711783,1145.26352032,0,24.3359158825,5431.89133062,8815.2484927,2838.64304091,2838.64304091,10630.6825724,8423.18475224,5551.07951658,"Platero","Herbazal",1
"95","ANH_145","Shannon diversity",5.88,6.378,0.609,5.88,7.571,4138.41011159,409.863606765,10559.8711783,1145.26352032,0,24.3359158825,5431.89133062,8815.2484927,2838.64304091,2838.64304091,10630.6825724,8423.18475224,5551.07951658,"Platero","Herbazal",1
"96","ANH_145","Simpson diversity",5.263,5.928,0.801,5.263,7.498,4138.41011159,409.863606765,10559.8711783,1145.26352032,0,24.3359158825,5431.89133062,8815.2484927,2838.64304091,2838.64304091,10630.6825724,8423.18475224,5551.07951658,"Platero","Herbazal",1
"97","ANH_115","Species richness",11,16.992,7.149,11.948,48.879,7067.62801339,7642.86674444,2311.0768736,0,0,22.3923333945,2561.59474968,53.6861140587,5303.42932065,8079.05005578,2226.84841013,61.2336416602,2987.59380117,"Platero","Bosque Ripario",1
"98","ANH_115","Shannon diversity",2.192,2.217,0.101,2.192,2.416,7067.62801339,7642.86674444,2311.0768736,0,0,22.3923333945,2561.59474968,53.6861140587,5303.42932065,8079.05005578,2226.84841013,61.2336416602,2987.59380117,"Platero","Bosque Ripario",1
