"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_N_H___1_2_8___A___P_1_","Species richness",7,8.393,2.151,7.16,19.128,"ANH_128","PntFijo",1
"2","_A_N_H___1_2_8___A___P_1_","Shannon diversity",5.854,8.016,1.602,5.854,11.155,"ANH_128","PntFijo",1
"3","_A_N_H___1_2_8___A___P_1_","Simpson diversity",4.9,7,1.844,4.9,10.613,"ANH_128","PntFijo",1
"4","_A_N_H___1_2_8___A___P_2_","Species richness",10,18.55,9.687,11.44,60.754,"ANH_128","PntFijo",1
"5","_A_N_H___1_2_8___A___P_2_","Shannon diversity",7.708,12.473,4.592,7.708,21.474,"ANH_128","PntFijo",1
"6","_A_N_H___1_2_8___A___P_2_","Simpson diversity",6.061,8.261,2.882,6.061,13.91,"ANH_128","PntFijo",1
"7","_A_N_H___1_2_8___A___P_3_","Species richness",8,19.538,15.849,9.534,94.807,"ANH_128","PntFijo",1
"8","_A_N_H___1_2_8___A___P_3_","Shannon diversity",7.038,14.126,6.256,7.038,26.388,"ANH_128","PntFijo",1
"9","_A_N_H___1_2_8___A___P_3_","Simpson diversity",6.259,11.143,6.967,6.259,24.798,"ANH_128","PntFijo",1
"10","_A_N_H___1_5_4___A___P_1_","Species richness",5,5.234,0.694,5.012,9.518,"ANH_154","PntFijo",1
"11","_A_N_H___1_5_4___A___P_1_","Shannon diversity",4.156,4.822,0.993,4.156,6.769,"ANH_154","PntFijo",1
"12","_A_N_H___1_5_4___A___P_1_","Simpson diversity",3.657,4.444,1.061,3.657,6.524,"ANH_154","PntFijo",1
"13","_A_N_H___1_5_4___A___P_2_","Species richness",5,13,8.069,6.549,46.319,"ANH_154","PntFijo",1
"14","_A_N_H___1_5_4___A___P_2_","Shannon diversity",5,18.564,5.707,7.378,29.75,"ANH_154","PntFijo",1
"15","_A_N_H___1_5_4___A___P_2_","Simpson diversity",5,5,2.795,5,10.477,"ANH_154","PntFijo",1
"16","_A_N_H___1_5_4___A___P_3_","Species richness",11,26,15.492,13.824,90.677,"ANH_154","PntFijo",1
"17","_A_N_H___1_5_4___A___P_3_","Shannon diversity",9.514,21.315,9.833,9.514,40.588,"ANH_154","PntFijo",1
"18","_A_N_H___1_5_4___A___P_3_","Simpson diversity",8,15,8.338,8,31.342,"ANH_154","PntFijo",1
"19","_A_N_H___1_6_9___A___P_1_","Species richness",20,31.764,9.474,22.942,67.034,"ANH_169","PntFijo",1
"20","_A_N_H___1_6_9___A___P_1_","Shannon diversity",16.951,27.592,5.581,16.951,38.53,"ANH_169","PntFijo",1
"21","_A_N_H___1_6_9___A___P_1_","Simpson diversity",14.4,23.333,4.887,14.4,32.911,"ANH_169","PntFijo",1
"22","_A_N_H___1_6_9___A___P_2_","Species richness",20,37.5,14.005,24.407,89.487,"ANH_169","PntFijo",1
"23","_A_N_H___1_6_9___A___P_2_","Shannon diversity",16.062,27.9,6.797,16.062,41.223,"ANH_169","PntFijo",1
"24","_A_N_H___1_6_9___A___P_2_","Simpson diversity",12.462,18.529,5.198,12.462,28.718,"ANH_169","PntFijo",1
"25","_A_N_H___1_6_9___A___P_3_","Species richness",29,57.333,19.437,37.389,124.699,"ANH_169","PntFijo",1
"26","_A_N_H___1_6_9___A___P_3_","Shannon diversity",24.687,44.296,9.177,26.309,62.283,"ANH_169","PntFijo",1
"27","_A_N_H___1_6_9___A___P_3_","Simpson diversity",21.146,35.417,6.553,22.572,48.261,"ANH_169","PntFijo",1
"28","_A_N_H___1_8_5___A___P_1_","Species richness",23,31.48,6.701,25.165,56.21,"ANH_185","PntFijo",1
"29","_A_N_H___1_8_5___A___P_1_","Shannon diversity",16.388,22.894,3.828,16.388,30.396,"ANH_185","PntFijo",1
"30","_A_N_H___1_8_5___A___P_1_","Simpson diversity",11.191,13.919,3.574,11.191,20.925,"ANH_185","PntFijo",1
"31","_A_N_H___1_8_5___A___P_2_","Species richness",8,15.68,11.209,8.946,70.321,"ANH_185","PntFijo",1
"32","_A_N_H___1_8_5___A___P_2_","Shannon diversity",5.284,7.141,1.895,5.284,10.856,"ANH_185","PntFijo",1
"33","_A_N_H___1_8_5___A___P_2_","Simpson diversity",3.882,4.412,1.167,3.882,6.699,"ANH_185","PntFijo",1
"34","_A_N_H___1_8_5___A___P_3_","Species richness",12,20.743,9.895,13.475,63.835,"ANH_185","PntFijo",1
"35","_A_N_H___1_8_5___A___P_3_","Shannon diversity",8.336,11.318,2.639,8.336,16.489,"ANH_185","PntFijo",1
"36","_A_N_H___1_8_5___A___P_3_","Simpson diversity",6.481,7.727,1.786,6.481,11.227,"ANH_185","PntFijo",1
"37","_A_N_H___1_8_9___A___P_1_","Species richness",8,24.5,21.685,10.317,125.514,"ANH_189","PntFijo",1
"38","_A_N_H___1_8_9___A___P_1_","Shannon diversity",6.735,16.491,8.889,6.735,33.913,"ANH_189","PntFijo",1
"39","_A_N_H___1_8_9___A___P_1_","Simpson diversity",5.538,9.429,7.039,5.538,23.224,"ANH_189","PntFijo",1
"40","_A_N_H___1_8_9___A___P_3_","Species richness",12,30.984,18.957,15.719,108.902,"ANH_189","PntFijo",1
"41","_A_N_H___1_8_9___A___P_3_","Shannon diversity",10.95,27.903,13.163,10.95,53.702,"ANH_189","PntFijo",1
"42","_A_N_H___1_8_9___A___P_3_","Simpson diversity",9.846,24,13.959,9.846,51.36,"ANH_189","PntFijo",1
"43","_A_N_H___1_8_9___A___P_2_","Species richness",8,17.333,9.47,9.794,56.546,"ANH_189","PntFijo",1
"44","_A_N_H___1_8_9___A___P_2_","Shannon diversity",6.679,11.726,4.719,6.679,20.974,"ANH_189","PntFijo",1
"45","_A_N_H___1_8_9___A___P_2_","Simpson diversity",5.769,8.75,4.004,5.769,16.597,"ANH_189","PntFijo",1
