"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Caracterizacion","Species richness",1,1,0.002,1,1.005,12,1,1
"2","Caracterizacion","Shannon diversity",1,1,0,1,1,12,1,1
"3","Caracterizacion","Simpson diversity",1,1,0,1,1,12,1,1
"4","Platero","Species richness",12,18.081,7.359,12.945,51.119,37,12,0.8678
"5","Platero","Shannon diversity",8.849,11.428,1.866,8.849,15.085,37,12,0.8678
"6","Platero","Simpson diversity",7.168,8.649,1.628,7.168,11.84,37,12,0.8678
"7","Kale","Species richness",13,22.828,10.05,14.872,64.594,58,13,0.9145
"8","Kale","Shannon diversity",9.241,11.19,1.612,9.241,14.349,58,13,0.9145
"9","Kale","Simpson diversity",7.716,8.746,1.103,7.716,10.908,58,13,0.9145
