"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"326","_A_N_H___2_5_4___A___P_1_","Shannon diversity",7.136,8.49,1.443,7.136,11.319,"ANH_254","PntFijo",NA
"327","_A_N_H___2_5_4___A___P_1_","Simpson diversity",4.473,4.764,0.949,4.473,6.623,"ANH_254","PntFijo",NA
"328","_A_N_H___2_5_4___A___P_2_","Species richness",15,46.135,38.539,19.708,220.922,"ANH_254","PntFijo",NA
"329","_A_N_H___2_5_4___A___P_2_","Shannon diversity",11.341,18.656,5.28,11.341,29.004,"ANH_254","PntFijo",NA
"330","_A_N_H___2_5_4___A___P_2_","Simpson diversity",9.066,11.684,3.373,9.066,18.294,"ANH_254","PntFijo",NA
"331","_A_N_H___2_5_4___A___P_3_","Species richness",20,39.738,17.066,24.564,105.366,"ANH_254","PntFijo",NA
"332","_A_N_H___2_5_4___A___P_3_","Shannon diversity",14.709,22.58,5.023,14.709,32.425,"ANH_254","PntFijo",NA
"333","_A_N_H___2_5_4___A___P_3_","Simpson diversity",11.328,14.608,2.851,11.328,20.195,"ANH_254","PntFijo",NA
"334","_A_N_H___2_5_6___A___P_1_","Species richness",14,19.921,5.892,15.165,44.1,"ANH_256","PntFijo",NA
"335","_A_N_H___2_5_6___A___P_1_","Shannon diversity",10.911,15.743,3.141,10.911,21.899,"ANH_256","PntFijo",NA
"336","_A_N_H___2_5_6___A___P_1_","Simpson diversity",8.654,11.757,2.952,8.654,17.543,"ANH_256","PntFijo",NA
"337","_A_N_H___2_5_6___A___P_2_","Species richness",17,22.185,4.807,18.108,41.276,"ANH_256","PntFijo",NA
"338","_A_N_H___2_5_6___A___P_2_","Shannon diversity",12.905,18.234,2.931,12.905,23.979,"ANH_256","PntFijo",NA
"339","_A_N_H___2_5_6___A___P_2_","Simpson diversity",9.391,12.353,3.133,9.391,18.494,"ANH_256","PntFijo",NA
"340","_A_N_H___2_5_6___A___P_3_","Species richness",8,9.406,2.168,8.162,20.223,"ANH_256","PntFijo",NA
"341","_A_N_H___2_5_6___A___P_3_","Shannon diversity",7.1,9.667,1.779,7.1,13.154,"ANH_256","PntFijo",NA
"342","_A_N_H___2_5_6___A___P_3_","Simpson diversity",6.4,10,1.853,6.4,13.632,"ANH_256","PntFijo",NA
"343","_A_N_H___2_5_8___A___P_1_","Species richness",9,21.097,16.598,10.61,99.888,"ANH_258","PntFijo",NA
"344","_A_N_H___2_5_8___A___P_1_","Shannon diversity",4.713,6.435,2.155,4.713,10.659,"ANH_258","PntFijo",NA
"345","_A_N_H___2_5_8___A___P_1_","Simpson diversity",2.975,3.185,0.952,2.975,5.05,"ANH_258","PntFijo",NA
"346","_A_N_H___2_5_8___A___P_2_","Species richness",12,16.04,4.748,12.651,37.073,"ANH_258","PntFijo",NA
"347","_A_N_H___2_5_8___A___P_2_","Shannon diversity",9.105,11.837,1.854,9.105,15.472,"ANH_258","PntFijo",NA
"348","_A_N_H___2_5_8___A___P_2_","Simpson diversity",7.408,9.263,1.859,7.408,12.906,"ANH_258","PntFijo",NA
"349","_A_N_H___2_5_8___A___P_3_","Species richness",26,29.615,3.257,26.798,42.382,"ANH_258","PntFijo",NA
"350","_A_N_H___2_5_8___A___P_3_","Shannon diversity",22.186,29.962,3.177,23.736,36.188,"ANH_258","PntFijo",NA
"351","_A_N_H___2_5_8___A___P_3_","Simpson diversity",18.789,28.019,3.845,20.484,35.554,"ANH_258","PntFijo",NA
"352","_A_N_H___2_7_2___A___P_1_","Species richness",3,3.429,1.161,3.025,10.438,"ANH_272","PntFijo",NA
"353","_A_N_H___2_7_2___A___P_1_","Shannon diversity",2.6,3.201,1.163,2.6,5.48,"ANH_272","PntFijo",NA
"354","_A_N_H___2_7_2___A___P_1_","Simpson diversity",2.333,3,1.204,2.333,5.359,"ANH_272","PntFijo",NA
"355","_A_N_H___2_7_2___A___P_2_","Species richness",7,9.889,4.287,7.349,30.933,"ANH_272","PntFijo",NA
"356","_A_N_H___2_7_2___A___P_2_","Shannon diversity",5.173,6.237,1.021,5.173,8.238,"ANH_272","PntFijo",NA
"357","_A_N_H___2_7_2___A___P_2_","Simpson diversity",4.418,5.087,0.84,4.418,6.732,"ANH_272","PntFijo",NA
"358","_A_N_H___2_7_2___A___P_3_","Species richness",13,30.438,22.896,15.451,137.046,"ANH_272","PntFijo",NA
"359","_A_N_H___2_7_2___A___P_3_","Shannon diversity",10.597,16.158,4.134,10.597,24.259,"ANH_272","PntFijo",NA
"360","_A_N_H___2_7_2___A___P_3_","Simpson diversity",9.143,12.4,2.711,9.143,17.713,"ANH_272","PntFijo",NA
"361","_A_N_H___2_7_4___A___P_1_","Species richness",5,9.05,6.506,5.443,42.048,"ANH_274","PntFijo",NA
"362","_A_N_H___2_7_4___A___P_1_","Shannon diversity",3.893,6.105,2.512,3.893,11.028,"ANH_274","PntFijo",NA
"363","_A_N_H___2_7_4___A___P_1_","Simpson diversity",3.125,4.091,2.347,3.125,8.69,"ANH_274","PntFijo",NA
"364","_A_N_H___2_7_4___A___P_2_","Species richness",5,8.938,6.334,5.43,41.08,"ANH_274","PntFijo",NA
"365","_A_N_H___2_7_4___A___P_2_","Shannon diversity",4.456,7.799,3.757,4.456,15.162,"ANH_274","PntFijo",NA
"366","_A_N_H___2_7_4___A___P_2_","Simpson diversity",4,7,3.997,4,14.833,"ANH_274","PntFijo",NA
"367","_A_N_H___2_7_4___A___P_3_","Species richness",5,11.667,9.775,5.817,59.411,"ANH_274","PntFijo",NA
"368","_A_N_H___2_7_4___A___P_3_","Shannon diversity",4.762,12.419,7.148,4.762,26.43,"ANH_274","PntFijo",NA
"369","_A_N_H___2_7_4___A___P_3_","Simpson diversity",4.5,15,4.736,5.717,24.283,"ANH_274","PntFijo",NA
"370","_A_N_H___2_7_5___A___P_1_","Species richness",22,35.279,12.265,24.849,83.9,"ANH_275","PntFijo",NA
"371","_A_N_H___2_7_5___A___P_1_","Shannon diversity",15.364,20.803,3.238,15.364,27.15,"ANH_275","PntFijo",NA
"372","_A_N_H___2_7_5___A___P_1_","Simpson diversity",10.541,12.534,3.014,10.541,18.442,"ANH_275","PntFijo",NA
"373","_A_N_H___2_7_5___A___P_2_","Species richness",17,24.784,7.295,18.642,53.903,"ANH_275","PntFijo",NA
"374","_A_N_H___2_7_5___A___P_2_","Shannon diversity",13.574,19.601,3.958,13.574,27.359,"ANH_275","PntFijo",NA
"375","_A_N_H___2_7_5___A___P_2_","Simpson diversity",10.952,15.136,3.275,10.952,21.554,"ANH_275","PntFijo",NA
"376","_A_N_H___2_7_5___A___P_3_","Species richness",12,26.483,13.125,15.175,78.062,"ANH_275","PntFijo",NA
"377","_A_N_H___2_7_5___A___P_3_","Shannon diversity",9.711,14.842,4.238,9.711,23.148,"ANH_275","PntFijo",NA
"378","_A_N_H___2_7_5___A___P_3_","Simpson diversity",8.327,11.278,2.669,8.327,16.509,"ANH_275","PntFijo",NA
"379","_A_N_H___2_7_9___A___P_1_","Species richness",10,12.575,3.378,10.362,28.301,"ANH_279","PntFijo",NA
"380","_A_N_H___2_7_9___A___P_1_","Shannon diversity",6.339,8,1.767,6.339,11.464,"ANH_279","PntFijo",NA
"381","_A_N_H___2_7_9___A___P_1_","Simpson diversity",4.143,4.667,1.478,4.143,7.564,"ANH_279","PntFijo",NA
"382","_A_N_H___2_7_9___A___P_2_","Species richness",20,35.75,16.242,22.97,103.513,"ANH_279","PntFijo",NA
"383","_A_N_H___2_7_9___A___P_2_","Shannon diversity",14.181,18.711,2.724,14.181,24.05,"ANH_279","PntFijo",NA
"384","_A_N_H___2_7_9___A___P_2_","Simpson diversity",10.667,12.6,2.23,10.667,16.971,"ANH_279","PntFijo",NA
"385","_A_N_H___2_7_9___A___P_3_","Species richness",5,5.15,0.497,5.007,8.295,"ANH_279","PntFijo",NA
"386","_A_N_H___2_7_9___A___P_3_","Shannon diversity",4.745,6.003,1.574,4.745,9.088,"ANH_279","PntFijo",NA
"387","_A_N_H___2_7_9___A___P_3_","Simpson diversity",4.545,7.5,1.754,4.545,10.938,"ANH_279","PntFijo",NA
"388","_A_N_H___2_8_0___A___P_1_","Species richness",34,54.436,13.356,40.35,99.769,"ANH_280","PntFijo",NA
"389","_A_N_H___2_8_0___A___P_1_","Shannon diversity",20.962,28.223,3.467,21.429,35.018,"ANH_280","PntFijo",NA
"390","_A_N_H___2_8_0___A___P_1_","Simpson diversity",13.699,15.714,2.536,13.699,20.684,"ANH_280","PntFijo",NA
"391","_A_N_H___2_8_0___A___P_2_","Species richness",28,36.229,6.827,29.992,61.987,"ANH_280","PntFijo",NA
"392","_A_N_H___2_8_0___A___P_2_","Shannon diversity",21.143,27.143,3.287,21.143,33.587,"ANH_280","PntFijo",NA
"393","_A_N_H___2_8_0___A___P_2_","Simpson diversity",16.327,20.256,2.865,16.327,25.871,"ANH_280","PntFijo",NA
"394","_A_N_H___2_8_0___A___P_3_","Species richness",35,40.994,4.76,36.523,58.599,"ANH_280","PntFijo",NA
"395","_A_N_H___2_8_0___A___P_3_","Shannon diversity",23.476,28.933,2.758,23.527,34.339,"ANH_280","PntFijo",NA
"396","_A_N_H___2_8_0___A___P_3_","Simpson diversity",14.297,16.305,3.269,14.297,22.711,"ANH_280","PntFijo",NA
"397","_A_N_H___2_8_2___A___P_1_","Species richness",13,17.687,4.651,13.925,36.749,"ANH_282","PntFijo",NA
"398","_A_N_H___2_8_2___A___P_1_","Shannon diversity",10.662,16.415,3.74,10.662,23.745,"ANH_282","PntFijo",NA
"399","_A_N_H___2_8_2___A___P_1_","Simpson diversity",8.397,12.65,3.85,8.397,20.196,"ANH_282","PntFijo",NA
"400","_A_N_H___2_8_2___A___P_2_","Species richness",18,23.185,4.807,19.108,42.276,"ANH_282","PntFijo",NA
"401","_A_N_H___2_8_2___A___P_2_","Shannon diversity",15.322,21.971,3.431,15.322,28.695,"ANH_282","PntFijo",NA
"402","_A_N_H___2_8_2___A___P_2_","Simpson diversity",13.224,20.323,3.062,14.322,26.323,"ANH_282","PntFijo",NA
"403","_A_N_H___2_8_2___A___P_3_","Species richness",20,28.095,6.725,21.957,53.488,"ANH_282","PntFijo",NA
"404","_A_N_H___2_8_2___A___P_3_","Shannon diversity",17.757,27.884,4.465,19.134,36.635,"ANH_282","PntFijo",NA
"405","_A_N_H___2_8_2___A___P_3_","Simpson diversity",15.909,28.333,4.238,20.028,36.639,"ANH_282","PntFijo",NA
"406","_A_N_H___2_8_3___A___P_1_","Species richness",26,34.002,7.019,27.821,61.174,"ANH_283","PntFijo",NA
"407","_A_N_H___2_8_3___A___P_1_","Shannon diversity",19.6,24.519,2.63,19.6,29.673,"ANH_283","PntFijo",NA
"408","_A_N_H___2_8_3___A___P_1_","Simpson diversity",15.984,19.557,2.124,15.984,23.721,"ANH_283","PntFijo",NA
"409","_A_N_H___2_8_3___A___P_2_","Species richness",21,50.719,28.152,27.192,163.635,"ANH_283","PntFijo",NA
"410","_A_N_H___2_8_3___A___P_2_","Shannon diversity",15.422,23.144,4.895,15.422,32.738,"ANH_283","PntFijo",NA
"411","_A_N_H___2_8_3___A___P_2_","Simpson diversity",12.448,15.647,2.497,12.448,20.542,"ANH_283","PntFijo",NA
"412","_A_N_H___2_8_3___A___P_3_","Species richness",13,17.333,4.642,13.781,37.042,"ANH_283","PntFijo",NA
"413","_A_N_H___2_8_3___A___P_3_","Shannon diversity",10.642,15.16,2.918,10.642,20.878,"ANH_283","PntFijo",NA
"414","_A_N_H___2_8_3___A___P_3_","Simpson diversity",8.783,12.536,2.564,8.783,17.561,"ANH_283","PntFijo",NA
"415","_A_N_H___2_8_9___A___P_1_","Species richness",7,18.25,15.462,8.494,91.699,"ANH_289","PntFijo",NA
"416","_A_N_H___2_8_9___A___P_1_","Shannon diversity",6.261,14.617,7.733,6.261,29.773,"ANH_289","PntFijo",NA
"417","_A_N_H___2_8_9___A___P_1_","Simpson diversity",5.556,11.25,10.218,5.556,31.276,"ANH_289","PntFijo",NA
"418","_A_N_H___2_8_9___A___P_2_","Species richness",5,11.667,9.775,5.817,59.411,"ANH_289","PntFijo",NA
"419","_A_N_H___2_8_9___A___P_2_","Shannon diversity",4.762,12.419,6.896,4.762,25.935,"ANH_289","PntFijo",NA
"420","_A_N_H___2_8_9___A___P_2_","Simpson diversity",4.5,15,4.778,5.635,24.365,"ANH_289","PntFijo",NA
"421","_A_N_H___2_8_9___A___P_3_","Species richness",9,31.458,28.549,12.286,162.493,"ANH_289","PntFijo",NA
"422","_A_N_H___2_8_9___A___P_3_","Shannon diversity",8.123,24.248,14.122,8.123,51.926,"ANH_289","PntFijo",NA
"423","_A_N_H___2_8_9___A___P_3_","Simpson diversity",7.2,16.5,16.336,7.2,48.517,"ANH_289","PntFijo",NA
"424","_A_N_H___3_6_0___A___P_1_","Species richness",15,27.042,12.939,17.163,82.057,"ANH_360","PntFijo",NA
"425","_A_N_H___3_6_0___A___P_1_","Shannon diversity",6.985,8.806,1.917,6.985,12.564,"ANH_360","PntFijo",NA
"426","_A_N_H___3_6_0___A___P_1_","Simpson diversity",3.872,4.074,0.972,3.872,5.98,"ANH_360","PntFijo",NA
"427","_A_N_H___3_6_0___A___P_2_","Species richness",14,92.867,90.624,27.06,490.249,"ANH_360","PntFijo",NA
"428","_A_N_H___3_6_0___A___P_2_","Shannon diversity",13.676,94.586,37.106,21.86,167.313,"ANH_360","PntFijo",NA
"429","_A_N_H___3_6_0___A___P_2_","Simpson diversity",13.235,105,36.38,33.697,176.303,"ANH_360","PntFijo",NA
"430","_A_N_H___3_6_0___A___P_3_","Species richness",14,19.889,5.864,15.158,43.957,"ANH_360","PntFijo",NA
"431","_A_N_H___3_6_0___A___P_3_","Shannon diversity",12.079,18.441,3.538,12.079,25.375,"ANH_360","PntFijo",NA
"432","_A_N_H___3_6_0___A___P_3_","Simpson diversity",10.562,17.105,3.512,10.562,23.989,"ANH_360","PntFijo",NA
"433","_A_N_H___3_6_1___A___P_1_","Species richness",26,42.042,11.509,30.537,82.722,"ANH_361","PntFijo",NA
"434","_A_N_H___3_6_1___A___P_1_","Shannon diversity",19.611,29.63,4.757,20.307,38.953,"ANH_361","PntFijo",NA
"435","_A_N_H___3_6_1___A___P_1_","Simpson diversity",14.933,20,3.989,14.933,27.818,"ANH_361","PntFijo",NA
"436","_A_N_H___3_6_1___A___P_2_","Species richness",14,21.903,8.026,15.518,55.15,"ANH_361","PntFijo",NA
"437","_A_N_H___3_6_1___A___P_2_","Shannon diversity",10.894,15.939,3.359,10.894,22.522,"ANH_361","PntFijo",NA
"438","_A_N_H___3_6_1___A___P_2_","Simpson diversity",8.658,11.625,3.059,8.658,17.62,"ANH_361","PntFijo",NA
"439","_A_N_H___3_6_1___A___P_3_","Species richness",25,38.802,10.206,28.782,75.363,"ANH_361","PntFijo",NA
"440","_A_N_H___3_6_1___A___P_3_","Shannon diversity",19.601,30.124,5.639,19.601,41.177,"ANH_361","PntFijo",NA
"441","_A_N_H___3_6_1___A___P_3_","Simpson diversity",14.706,20.417,5.412,14.706,31.024,"ANH_361","PntFijo",NA
"442","_A_N_H___3_8_0_","Species richness",1,1,0.312,1,2.549,"ANH_380","PntFijo",NA
"443","_A_N_H___3_8_0_","Shannon diversity",1,0,0,1,0,"ANH_380","PntFijo",NA
"444","_A_N_H___3_8_0_","Simpson diversity",1,NA,0,NA,NA,"ANH_380","PntFijo",NA
"445","_A_N_H___3_9_6___A___P_1_","Species richness",6,13.2,10.53,6.885,64.574,"ANH_396","PntFijo",NA
"446","_A_N_H___3_9_6___A___P_1_","Shannon diversity",5,9.479,6.425,5,22.071,"ANH_396","PntFijo",NA
"447","_A_N_H___3_9_6___A___P_1_","Simpson diversity",4.167,6.429,5.328,4.167,16.871,"ANH_396","PntFijo",NA
"448","_A_N_H___3_9_6___A___P_2_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_396","PntFijo",NA
"449","_A_N_H___3_9_6___A___P_2_","Shannon diversity",2,3.375,1.096,2,5.524,"ANH_396","PntFijo",NA
"450","_A_N_H___3_9_6___A___P_2_","Simpson diversity",2,2,0.49,2,2.961,"ANH_396","PntFijo",NA
"451","_A_N_H___3_9_6___A___P_3_","Species richness",5,11.667,9.775,5.817,59.411,"ANH_396","PntFijo",NA
"452","_A_N_H___3_9_6___A___P_3_","Shannon diversity",4.762,12.419,6.938,4.762,26.018,"ANH_396","PntFijo",NA
"453","_A_N_H___3_9_6___A___P_3_","Simpson diversity",4.5,15,4.787,5.619,24.381,"ANH_396","PntFijo",NA
"454","_A_N_H___3_9_7___A___P_1_","Species richness",4,7.6,5.817,4.391,37.177,"ANH_397","PntFijo",NA
"455","_A_N_H___3_9_7___A___P_1_","Shannon diversity",3.789,8.182,4.6,3.789,17.197,"ANH_397","PntFijo",NA
"456","_A_N_H___3_9_7___A___P_1_","Simpson diversity",3.571,10,3.036,4.05,15.95,"ANH_397","PntFijo",NA
"457","_A_N_H___3_9_7___A___P_2_","Species richness",13,17.435,4.74,13.802,37.537,"ANH_397","PntFijo",NA
"458","_A_N_H___3_9_7___A___P_2_","Shannon diversity",5.638,6.474,1.061,5.638,8.555,"ANH_397","PntFijo",NA
