"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Platero","Species richness",7,8.375,2.127,7.158,19.002,12,7,0.7885
"2","Platero","Shannon diversity",6.447,9.303,2.027,6.447,13.276,12,7,0.7885
"3","Platero","Simpson diversity",6,11,2.294,6.504,15.496,12,7,0.7885
"4","Kale","Species richness",23,50.827,22.896,29.799,136.893,83,23,0.8443
"5","Kale","Shannon diversity",10.932,14.727,2.561,10.932,19.746,83,23,0.8443
"6","Kale","Simpson diversity",5.823,6.187,1.259,5.823,8.654,83,23,0.8443
"7","Caracterizacion","Species richness",3,3.8,1.734,3.06,13.615,5,3,0.7333
"8","Caracterizacion","Shannon diversity",2.586,3.699,1.486,2.586,6.611,5,3,0.7333
"9","Caracterizacion","Simpson diversity",2.273,3.333,1.97,2.273,7.194,5,3,0.7333
