"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"42","_A_N_H___1_8_5___A___P_2_","Simpson diversity",3.882,4.412,1.495,3.882,7.342,"ANH_185","PntFijo",NA
"43","_A_N_H___1_8_5___A___P_3_","Species richness",12,20.743,9.895,13.475,63.835,"ANH_185","PntFijo",NA
"44","_A_N_H___1_8_5___A___P_3_","Shannon diversity",8.336,11.318,2.389,8.336,16,"ANH_185","PntFijo",NA
"45","_A_N_H___1_8_5___A___P_3_","Simpson diversity",6.481,7.727,1.646,6.481,10.952,"ANH_185","PntFijo",NA
"46","_A_N_H___1_8_9___A___P_1_","Species richness",8,24.5,21.685,10.317,125.514,"ANH_189","PntFijo",NA
"47","_A_N_H___1_8_9___A___P_1_","Shannon diversity",6.735,16.491,10.107,6.735,36.301,"ANH_189","PntFijo",NA
"48","_A_N_H___1_8_9___A___P_1_","Simpson diversity",5.538,9.429,10.945,5.538,30.88,"ANH_189","PntFijo",NA
"49","_A_N_H___1_8_9___A___P_3_","Species richness",12,30.984,18.957,15.719,108.902,"ANH_189","PntFijo",NA
"50","_A_N_H___1_8_9___A___P_3_","Shannon diversity",10.95,27.903,16.967,10.95,61.158,"ANH_189","PntFijo",NA
"51","_A_N_H___1_8_9___A___P_3_","Simpson diversity",9.846,24,11.394,9.846,46.332,"ANH_189","PntFijo",NA
"52","_A_N_H___1_8_9___A___P_2_","Species richness",8,17.333,9.47,9.794,56.546,"ANH_189","PntFijo",NA
"53","_A_N_H___1_8_9___A___P_2_","Shannon diversity",6.679,11.726,4.297,6.679,20.148,"ANH_189","PntFijo",NA
"54","_A_N_H___1_8_9___A___P_2_","Simpson diversity",5.769,8.75,2.723,5.769,14.087,"ANH_189","PntFijo",NA
"55","_A_N_H___1_9_1___A___P_1_","Species richness",22,36.065,10.935,25.655,76.127,"ANH_191","PntFijo",NA
"56","_A_N_H___1_9_1___A___P_1_","Shannon diversity",17.93,28.363,5.262,18.049,38.676,"ANH_191","PntFijo",NA
"57","_A_N_H___1_9_1___A___P_1_","Simpson diversity",14.792,22.024,4.447,14.792,30.74,"ANH_191","PntFijo",NA
"58","_A_N_H___1_9_1___A___P_2_","Species richness",25,39.182,11.02,28.687,79.548,"ANH_191","PntFijo",NA
"59","_A_N_H___1_9_1___A___P_2_","Shannon diversity",17.857,24.655,3.752,17.857,32.009,"ANH_191","PntFijo",NA
"60","_A_N_H___1_9_1___A___P_2_","Simpson diversity",13.362,16.5,2.815,13.362,22.018,"ANH_191","PntFijo",NA
"61","_A_N_H___1_9_1___A___P_3_","Species richness",26,32.655,5.807,27.523,55.079,"ANH_191","PntFijo",NA
"62","_A_N_H___1_9_1___A___P_3_","Shannon diversity",19.439,25.063,2.921,19.439,30.788,"ANH_191","PntFijo",NA
"63","_A_N_H___1_9_1___A___P_3_","Simpson diversity",13.887,17.021,3.368,13.887,23.622,"ANH_191","PntFijo",NA
"64","_A_N_H___1_9_2___A___P_1_","Species richness",28,39.942,9.124,31.162,73.108,"ANH_192","PntFijo",NA
"65","_A_N_H___1_9_2___A___P_1_","Shannon diversity",5.005,5.566,0.758,5.005,7.052,"ANH_192","PntFijo",NA
"66","_A_N_H___1_9_2___A___P_1_","Simpson diversity",2.204,2.217,0.212,2.204,2.632,"ANH_192","PntFijo",NA
"67","_A_N_H___1_9_2___A___P_2_","Species richness",31,53.4,16.017,37.357,109.931,"ANH_192","PntFijo",NA
"68","_A_N_H___1_9_2___A___P_2_","Shannon diversity",7.801,8.846,1.072,7.801,10.947,"ANH_192","PntFijo",NA
"69","_A_N_H___1_9_2___A___P_2_","Simpson diversity",3.699,3.744,0.367,3.699,4.463,"ANH_192","PntFijo",NA
"70","_A_N_H___1_9_2___A___P_3_","Species richness",19,68.153,58.579,26.785,329.324,"ANH_192","PntFijo",NA
"71","_A_N_H___1_9_2___A___P_3_","Shannon diversity",12.42,18.916,4.351,12.42,27.444,"ANH_192","PntFijo",NA
"72","_A_N_H___1_9_2___A___P_3_","Simpson diversity",9.089,10.562,1.938,9.089,14.36,"ANH_192","PntFijo",NA
"73","_A_N_H___1_9_7___A___P_1_","Species richness",29,61.319,26.056,37.074,158.364,"ANH_197","PntFijo",NA
"74","_A_N_H___1_9_7___A___P_1_","Shannon diversity",18.17,24.862,4.143,18.17,32.983,"ANH_197","PntFijo",NA
"75","_A_N_H___1_9_7___A___P_1_","Simpson diversity",11.719,13.245,2.725,11.719,18.587,"ANH_197","PntFijo",NA
"76","_A_N_H___1_9_7___A___P_2_","Species richness",16,25.947,8.869,18.222,60.54,"ANH_197","PntFijo",NA
"77","_A_N_H___1_9_7___A___P_2_","Shannon diversity",7.51,9.625,1.9,7.51,13.348,"ANH_197","PntFijo",NA
"78","_A_N_H___1_9_7___A___P_2_","Simpson diversity",4.494,4.793,1.019,4.494,6.79,"ANH_197","PntFijo",NA
"79","_A_N_H___1_9_7___A___P_3_","Species richness",16,24.786,9.942,17.482,68.075,"ANH_197","PntFijo",NA
"80","_A_N_H___1_9_7___A___P_3_","Shannon diversity",13.364,18.137,2.846,13.364,23.715,"ANH_197","PntFijo",NA
"81","_A_N_H___1_9_7___A___P_3_","Simpson diversity",11.76,15.944,2.607,11.76,21.054,"ANH_197","PntFijo",NA
"82","_A_N_H___2_0_8___A___P_1_","Species richness",8,9.938,3.633,8.175,29.498,"ANH_208","PntFijo",NA
"83","_A_N_H___2_0_8___A___P_1_","Shannon diversity",6.265,7.314,1.186,6.265,9.638,"ANH_208","PntFijo",NA
"84","_A_N_H___2_0_8___A___P_1_","Simpson diversity",5.333,6.2,1.101,5.333,8.358,"ANH_208","PntFijo",NA
"85","_A_N_H___2_0_8___A___P_2_","Species richness",7,18.25,15.462,8.494,91.699,"ANH_208","PntFijo",NA
"86","_A_N_H___2_0_8___A___P_2_","Shannon diversity",6.261,14.617,8.744,6.261,31.756,"ANH_208","PntFijo",NA
"87","_A_N_H___2_0_8___A___P_2_","Simpson diversity",5.556,11.25,8.173,5.556,27.27,"ANH_208","PntFijo",NA
"88","_A_N_H___2_0_8___A___P_3_","Species richness",6,6.235,0.696,6.012,10.53,"ANH_208","PntFijo",NA
"89","_A_N_H___2_0_8___A___P_3_","Shannon diversity",5.207,6.183,1.255,5.207,8.643,"ANH_208","PntFijo",NA
"90","_A_N_H___2_0_8___A___P_3_","Simpson diversity",4.587,5.913,1.283,4.587,8.427,"ANH_208","PntFijo",NA
"91","_A_N_H___2_1_1___A___P_1_","Species richness",13,17.304,4.614,13.775,36.9,"ANH_211","PntFijo",NA
"92","_A_N_H___2_1_1___A___P_1_","Shannon diversity",11.758,17.819,3.383,11.758,24.449,"ANH_211","PntFijo",NA
"93","_A_N_H___2_1_1___A___P_1_","Simpson diversity",10.796,19.462,3.412,12.774,26.149,"ANH_211","PntFijo",NA
"94","_A_N_H___2_1_1___A___P_2_","Species richness",11,13.969,3.496,11.477,29.472,"ANH_211","PntFijo",NA
"95","_A_N_H___2_1_1___A___P_2_","Shannon diversity",9.742,14.293,2.922,9.742,20.02,"ANH_211","PntFijo",NA
"96","_A_N_H___2_1_1___A___P_2_","Simpson diversity",8.696,14.615,3.032,8.696,20.557,"ANH_211","PntFijo",NA
"97","_A_N_H___2_1_1___A___P_3_","Species richness",10,12.551,3.35,10.358,28.154,"ANH_211","PntFijo",NA
"98","_A_N_H___2_1_1___A___P_3_","Shannon diversity",8.19,10.977,2.06,8.19,15.015,"ANH_211","PntFijo",NA
"99","_A_N_H___2_1_1___A___P_3_","Simpson diversity",6.87,9.37,2.402,6.87,14.078,"ANH_211","PntFijo",NA
"100","_A_N_H___2_1_3___A___P_1_","Species richness",12,29.5,22.976,14.46,136.481,"ANH_213","PntFijo",NA
"101","_A_N_H___2_1_3___A___P_1_","Shannon diversity",8.539,12.239,3.386,8.539,18.876,"ANH_213","PntFijo",NA
"102","_A_N_H___2_1_3___A___P_1_","Simpson diversity",6.68,7.975,1.891,6.68,11.682,"ANH_213","PntFijo",NA
"103","_A_N_H___2_1_3___A___P_2_","Species richness",9,21.188,16.72,10.622,100.551,"ANH_213","PntFijo",NA
"104","_A_N_H___2_1_3___A___P_2_","Shannon diversity",4.588,5.839,1.5,4.588,8.78,"ANH_213","PntFijo",NA
"105","_A_N_H___2_1_3___A___P_2_","Simpson diversity",3.162,3.348,0.774,3.162,4.864,"ANH_213","PntFijo",NA
"106","_A_N_H___2_1_3___A___P_3_","Species richness",11,14.923,5.197,11.545,39.217,"ANH_213","PntFijo",NA
"107","_A_N_H___2_1_3___A___P_3_","Shannon diversity",5.805,6.751,1.183,5.805,9.069,"ANH_213","PntFijo",NA
"108","_A_N_H___2_1_3___A___P_3_","Simpson diversity",3.908,4.144,0.749,3.908,5.613,"ANH_213","PntFijo",NA
"109","_A_N_H___2_1_8___A___P_1_","Species richness",2,2,0.282,2,2.687,"ANH_218","PntFijo",NA
