"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"1","ANH_137","Species richness",1,1,0.284,1,1.799,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",0.888888888888889
"2","ANH_137","Shannon diversity",1,1,0,1,1,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",0.888888888888889
"3","ANH_137","Simpson diversity",1,1,0,1,1,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",0.888888888888889
"4","ANH_365","Species richness",1,1,0.312,1,2.549,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",0.888888888888889
"5","ANH_365","Shannon diversity",1,0,0,1,0,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",0.888888888888889
"6","ANH_365","Simpson diversity",1,1,0,1,1,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",0.888888888888889
"7","ANH_142","Species richness",1,1,0.312,1,2.549,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",0.888888888888889
"8","ANH_142","Shannon diversity",1,0,0,1,0,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",0.888888888888889
"9","ANH_142","Simpson diversity",1,1,0,1,1,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",0.888888888888889
"10","ANH_138","Species richness",4,4,0.52,4,5.615,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",0.888888888888889
