"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Platero","Species richness",7,7,0.595,7,8.688,45,7,1
"2","Platero","Shannon diversity",4.722,5.067,0.611,4.722,6.266,45,7,1
"3","Platero","Simpson diversity",3.689,3.929,0.604,3.689,5.112,45,7,1
"4","Kale","Species richness",5,5,0.495,5,6.365,18,5,1
"5","Kale","Shannon diversity",4.586,5.162,0.592,4.586,6.324,18,5,1
"6","Kale","Simpson diversity",4.263,5.276,0.794,4.263,6.832,18,5,1
"7","Caracterizacion","Species richness",5,6.929,2.958,5.223,21.648,7,5,0.6494
"8","Caracterizacion","Shannon diversity",4.711,7.924,3.567,4.711,14.914,7,5,0.6494
"9","Caracterizacion","Simpson diversity",4.455,10.5,3.73,4.455,17.811,7,5,0.6494
