"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Ripario","Species richness",5,5.458,1.228,5.027,12.857,12,21,5,0.9597,1,1,0,0,2,0,0,1,0,0
"2","Bosque Ripario","Shannon diversity",4.137,4.576,0.689,4.137,5.925,12,21,5,0.9597,1,1,0,0,2,0,0,1,0,0
"3","Bosque Ripario","Simpson diversity",3.706,4.012,0.629,3.706,5.245,12,21,5,0.9597,1,1,0,0,2,0,0,1,0,0
"4","Herbazal","Species richness",4,4.8,1.774,4.059,14.915,5,8,4,0.8333,2,0,2,0,0,0,0,0,0,0
"5","Herbazal","Shannon diversity",3.51,4.51,1.083,3.51,6.632,5,8,4,0.8333,2,0,2,0,0,0,0,0,0,0
"6","Herbazal","Simpson diversity",3.2,3.933,1.099,3.2,6.087,5,8,4,0.8333,2,0,2,0,0,0,0,0,0,0
"7","Pastos","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"8","Pastos","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"9","Pastos","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
