"","Pastos","Bosque Ripario","Bosque Abierto","Bosque Denso","Palma","Herbazal"
"Mionectes oleagineus",0,3,0,1,0,0
"Porphyrio martinica",0,0,33,0,0,2
"Quiscalus lugubris",0,6,64,0,3,0
"Sicalis flaveola",0,3,4,0,0,0
"Anthracothorax nigricollis",0,1,1,0,3,0
"Dryocopus lineatus",0,9,3,0,6,2
"Progne tapera",0,0,747,0,2,0
"Tyrannus savana",0,0,3,0,0,0
"Chauna chavaria",0,0,17,0,0,0
"Tigrisoma lineatum",0,0,1,0,0,0
"Tapera naevia",0,0,4,0,0,3
"Rostrhamus sociabilis",0,0,5,0,0,0
"Ara ararauna",0,0,6,0,0,1
"Arundinicola leucocephala",0,0,4,0,0,0
"Nycticorax nycticorax",0,0,6,0,0,0
"Tachycineta albiventer",0,0,1,0,0,0
"Phaetusa simplex",0,0,2,0,0,0
"Laterallus albigularis",0,0,1,0,0,1
"Ramphocelus dimidiatus",0,4,2,0,4,6
"Chlorostilbon gibsoni",0,1,1,0,0,0
"Dendrocygna viduata",0,0,4,0,0,2
"Caracara cheriway",5,2,1,0,23,0
"Chloroceryle amazona",0,1,1,0,0,1
"Cantorchilus leucotis",0,10,1,0,0,0
"Busarellus nigricollis",0,0,3,0,0,0
"Amazilia tzacatl",0,5,0,0,3,0
"Cercomacra nigricans",0,18,0,0,1,4
"Colinus cristatus",0,1,0,0,9,0
"Campylorhynchus nuchalis",0,0,0,0,1,0
"Polyerata amabilis",0,1,0,0,1,0
"Buteogallus meridionalis",1,4,0,0,5,0
"Chrysuronia goudoti",0,6,0,0,2,0
"Troglodytes aedon",0,2,0,0,14,0
"Veniliornis kirkii",0,3,0,0,1,0
"Glyphorynchus spirurus",0,1,0,0,1,0
"Myiarchus tuberculifer",0,0,0,0,1,0
"Pilherodius pileatus",0,1,0,0,2,0
"Mesembrinibis cayennensis",0,1,0,0,1,3
"Crotophaga sulcirostris",0,0,0,0,3,1
"Micrastur semitorquatus",0,0,0,0,2,0
"Legatus leucophaius",0,3,0,0,2,1
"Psarocolius decumanus",0,30,0,0,3,0
"Hylophilus flavipes",0,2,0,0,1,0
"Momotus subrufescens",0,24,0,0,2,0
"Geranospiza caerulescens",0,2,0,0,0,0
"Trogon chionurus",0,1,0,0,0,0
"Chloroceryle inda",0,2,0,0,0,0
"Phaethornis anthophilus",0,10,0,0,0,0
"Pheugopedius fasciatoventris",0,8,0,0,0,1
"Myiodynastes maculatus",0,5,0,0,0,0
"Amazona",0,4,0,0,0,0
"Leptodon cayanensis",0,1,0,0,0,0
"Phaethornis longirostris",0,1,0,0,0,0
"Onychorhynchus coronatus",0,1,0,0,0,0
"Epinecrophylla fulviventris",0,1,0,0,0,0
"Cacicus cela",0,2,0,0,0,0
"Turdus nudigenis",0,6,0,0,0,0
"Stelgidopteryx ruficollis",0,1,0,0,0,0
"Caprimulgidae",0,1,0,0,0,0
"Sporophila nigricollis",0,1,0,0,0,0
"Falco femoralis",1,0,0,1,0,0
"Columbina squammata",0,0,0,0,1,0
"Sporophila minuta",0,0,0,0,3,0
"Thamnophilus doliatus",0,0,0,0,2,0
"Chloroceryle aenea",0,1,0,0,0,0
"Chloroceryle americana",0,0,0,0,0,3
"Celeus loricatus",0,1,0,0,0,1
"Coccycua minuta",0,0,0,0,0,2
"Anurolimnas viridis",0,0,0,0,0,1
"Ictinia plumbea",0,2,0,0,0,0
"Nyctibius grandis",0,1,0,0,0,0
"Piaya cayana",0,1,0,0,0,0
"Molothrus oryzivorus",0,0,0,0,0,1
