"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","decimalLat","decimalLon","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche"
"47","ANH_294","Shannon diversity",18.211,40.333,7.037,26.54,54.126,"Ar_At",0.588249118683901,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",7.36912600024,-73.781175,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736
"48","ANH_294","Simpson diversity",17.286,39,6.704,25.86,52.14,"Ar_At",0.588249118683901,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",7.36912600024,-73.781175,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736
"49","ANH_295","Species richness",11,21.125,10.341,12.931,64.078,"Ar_At",0.552291421856639,30.28,1.59,30.58,0.305,32,2.2344,0.2065,1.68,0.062,51.974,1.63346845557959,0.2541,14,0.00158,32.29,0.5,212.2,0,0,2,4,2.5,0,1.08,"Platero","MONTECRISTO-YARIRI","Ciénaga",7.34758300024,-73.88375,425.918176733,2413.46986807,3346.58905396,3349.64063156,1608.44199756,1168.35642231,2506.52849865,0,2227.97450811,1109.19334985,591.336630136,0,205.75749798
"50","ANH_295","Shannon diversity",10.503,21.125,4.738,11.839,30.411,"Ar_At",0.552291421856639,30.28,1.59,30.58,0.305,32,2.2344,0.2065,1.68,0.062,51.974,1.63346845557959,0.2541,14,0.00158,32.29,0.5,212.2,0,0,2,4,2.5,0,1.08,"Platero","MONTECRISTO-YARIRI","Ciénaga",7.34758300024,-73.88375,425.918176733,2413.46986807,3346.58905396,3349.64063156,1608.44199756,1168.35642231,2506.52849865,0,2227.97450811,1109.19334985,591.336630136,0,205.75749798
"51","ANH_295","Simpson diversity",9.941,20,4.989,10.223,29.777,"Ar_At",0.552291421856639,30.28,1.59,30.58,0.305,32,2.2344,0.2065,1.68,0.062,51.974,1.63346845557959,0.2541,14,0.00158,32.29,0.5,212.2,0,0,2,4,2.5,0,1.08,"Platero","MONTECRISTO-YARIRI","Ciénaga",7.34758300024,-73.88375,425.918176733,2413.46986807,3346.58905396,3349.64063156,1608.44199756,1168.35642231,2506.52849865,0,2227.97450811,1109.19334985,591.336630136,0,205.75749798
"52","ANH_296","Species richness",11,21.125,10.341,12.931,64.078,"Ar_At",1.25264394829612,27.29,4.03,22.46,0.15,52,2.89,0.882,3.69,0.089,24.48,2.02118929906994,0,0,0,0,0,0,0,0.35,2,3,4.5,15,2.6,"Caracterizacion","SOGAMOSITO-PAREDES","Caño",7.41290700024,-73.749721,3091.30188043,3061.55921954,6686.45434729,11610.2959298,1014.57565719,9732.85727516,3219.69043621,2738.2144934,15446.7206789,31.5375462503,3.35788119566,0,13.2563179285
"53","ANH_296","Shannon diversity",10.503,21.125,5.241,10.852,31.398,"Ar_At",1.25264394829612,27.29,4.03,22.46,0.15,52,2.89,0.882,3.69,0.089,24.48,2.02118929906994,0,0,0,0,0,0,0,0.35,2,3,4.5,15,2.6,"Caracterizacion","SOGAMOSITO-PAREDES","Caño",7.41290700024,-73.749721,3091.30188043,3061.55921954,6686.45434729,11610.2959298,1014.57565719,9732.85727516,3219.69043621,2738.2144934,15446.7206789,31.5375462503,3.35788119566,0,13.2563179285
"54","ANH_296","Simpson diversity",9.941,20,4.579,11.025,28.975,"Ar_At",1.25264394829612,27.29,4.03,22.46,0.15,52,2.89,0.882,3.69,0.089,24.48,2.02118929906994,0,0,0,0,0,0,0,0.35,2,3,4.5,15,2.6,"Caracterizacion","SOGAMOSITO-PAREDES","Caño",7.41290700024,-73.749721,3091.30188043,3061.55921954,6686.45434729,11610.2959298,1014.57565719,9732.85727516,3219.69043621,2738.2144934,15446.7206789,31.5375462503,3.35788119566,0,13.2563179285
"55","ANH_297","Species richness",30,40,6.325,33.208,61.171,"Ar_At",0.645593419506463,26.37,6.76,21.145,1.075,98,4.071,0.555,1.66,0.089,57.971,1.70757017609794,0.0754,0,0.00077,28.63,6.58,123.3,0,0,2,2,1.7,4,1.08,"Caracterizacion","SOGAMOSITO-PAREDES","Quebrada",7.35596600024,-73.734434,3300.01664568,924.910512773,252.454352577,9614.82421706,2808.99901348,3433.91138583,8420.15043527,8672.66949343,11087.0421582,2378.43186201,0,0,464.832921597
"56","ANH_297","Shannon diversity",28.284,40,3.571,33.001,46.999,"Ar_At",0.645593419506463,26.37,6.76,21.145,1.075,98,4.071,0.555,1.66,0.089,57.971,1.70757017609794,0.0754,0,0.00077,28.63,6.58,123.3,0,0,2,2,1.7,4,1.08,"Caracterizacion","SOGAMOSITO-PAREDES","Quebrada",7.35596600024,-73.734434,3300.01664568,924.910512773,252.454352577,9614.82421706,2808.99901348,3433.91138583,8420.15043527,8672.66949343,11087.0421582,2378.43186201,0,0,464.832921597
