"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","samplEff.1"
"17","ANH_35","Shannon diversity",3.389,4.081,1.224,3.389,6.481,4298.48180165,3143.4926017,8296.7972305,9.76744540867,9.76744540867,3.78816821664,2685.48087035,4525.4717358,586.78762,3270.63960508,8367.92871456,3761.89938629,2258.78874525,26.74,5.5,17.39,0.313,68,3.004,0.854,3.06,0.076,24.5,1.63346845557959,0.0609,4,0.00221,18.92,1.2,16.19,0.7,0,2,2,1.5,5,0.54,"Platero","SALADO-MAGDALENA","Caño",0.359459459459459
"18","ANH_35","Simpson diversity",2.941,3.75,1.356,2.941,6.407,4298.48180165,3143.4926017,8296.7972305,9.76744540867,9.76744540867,3.78816821664,2685.48087035,4525.4717358,586.78762,3270.63960508,8367.92871456,3761.89938629,2258.78874525,26.74,5.5,17.39,0.313,68,3.004,0.854,3.06,0.076,24.5,1.63346845557959,0.0609,4,0.00221,18.92,1.2,16.19,0.7,0,2,2,1.5,5,0.54,"Platero","SALADO-MAGDALENA","Caño",0.359459459459459
"19","ANH_37","Species richness",9,12.967,5.252,9.552,37.507,2823.4168444,3760.47135227,7966.44347964,0,0,45.7606127029,4374.1796108,6214.43823327,1585.0044614,1585.0044614,9112.84179855,5440.97508241,2901.61697834,26.87,3.9,19.63,0.313,52,3.046,0.747,3.47,0.081,28.6,1.39794000867204,0.1816,0,0.00144,19.43,0.78,36.34,0.05,0,4,1,1.5,6,0.13,"Platero","SALADO-MAGDALENA","Caño",0.451351351351351
"20","ANH_37","Shannon diversity",2.155,2.277,0.269,2.155,2.805,2823.4168444,3760.47135227,7966.44347964,0,0,45.7606127029,4374.1796108,6214.43823327,1585.0044614,1585.0044614,9112.84179855,5440.97508241,2901.61697834,26.87,3.9,19.63,0.313,52,3.046,0.747,3.47,0.081,28.6,1.39794000867204,0.1816,0,0.00144,19.43,0.78,36.34,0.05,0,4,1,1.5,6,0.13,"Platero","SALADO-MAGDALENA","Caño",0.451351351351351
"21","ANH_37","Simpson diversity",1.465,1.47,0.115,1.465,1.696,2823.4168444,3760.47135227,7966.44347964,0,0,45.7606127029,4374.1796108,6214.43823327,1585.0044614,1585.0044614,9112.84179855,5440.97508241,2901.61697834,26.87,3.9,19.63,0.313,52,3.046,0.747,3.47,0.081,28.6,1.39794000867204,0.1816,0,0.00144,19.43,0.78,36.34,0.05,0,4,1,1.5,6,0.13,"Platero","SALADO-MAGDALENA","Caño",0.451351351351351
"22","ANH_13","Species richness",10,24.779,13.352,13.252,77.175,5312.69584555,7463.90153357,3888.45939747,0,0,13.7071031146,6266.48257857,1493.97765866,3002.04160307,3002.04160307,6336.64745952,7016.71945265,788.461330746,26.6,6.01,20.105,0.1,18,2.5098,0.391,2.12,0.046,11.22,1.57978359661681,0.3356,10,0.00404,15.98,9.33,68.15,0,0,2,2,1.5,6,1.2,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",0.324324324324324
"23","ANH_13","Shannon diversity",4.22,4.979,0.929,4.22,6.801,5312.69584555,7463.90153357,3888.45939747,0,0,13.7071031146,6266.48257857,1493.97765866,3002.04160307,3002.04160307,6336.64745952,7016.71945265,788.461330746,26.6,6.01,20.105,0.1,18,2.5098,0.391,2.12,0.046,11.22,1.57978359661681,0.3356,10,0.00404,15.98,9.33,68.15,0,0,2,2,1.5,6,1.2,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",0.324324324324324
"24","ANH_13","Simpson diversity",2.912,2.997,0.439,2.912,3.858,5312.69584555,7463.90153357,3888.45939747,0,0,13.7071031146,6266.48257857,1493.97765866,3002.04160307,3002.04160307,6336.64745952,7016.71945265,788.461330746,26.6,6.01,20.105,0.1,18,2.5098,0.391,2.12,0.046,11.22,1.57978359661681,0.3356,10,0.00404,15.98,9.33,68.15,0,0,2,2,1.5,6,1.2,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",0.324324324324324
"25","ANH_14","Species richness",3,3.2,0.616,3.01,7.039,5936.36807041,8455.25438281,3637.10318469,0,0,34.180294317,4628.03302338,1502.43908388,4687.1308849,4687.1308849,4649.41053925,4957.63449374,1183.52224662,27.49,4.91,21.2,0.03,48,2.7345,0.39,1.64,0.052,16.32,1.90308998699194,0.2016,8,0.00288,3.78,2,54.68,0,0,2,2,0.6,5,0.6,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",0.121621621621622
"26","ANH_14","Shannon diversity",2.872,3.736,1.727,2.872,7.122,5936.36807041,8455.25438281,3637.10318469,0,0,34.180294317,4628.03302338,1502.43908388,4687.1308849,4687.1308849,4649.41053925,4957.63449374,1183.52224662,27.49,4.91,21.2,0.03,48,2.7345,0.39,1.64,0.052,16.32,1.90308998699194,0.2016,8,0.00288,3.78,2,54.68,0,0,2,2,0.6,5,0.6,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",0.121621621621622
