"","Platero","Kale","Caracterizacion"
"Hirundo rustica",14,248,6
"Quiscalus lugubris",0,26,0
"Euphonia laniirostris",4,21,0
"Progne tapera",0,3,0
"Tachycineta albiventer",0,1,0
"Coccycua pumila",0,2,0
"Porphyrio martinica",9,10,0
"Phimosus infuscatus",9,15,0
"Chloroceryle americana",2,1,0
"Tapera naevia",1,2,0
"Butorides striata",3,5,0
"Machetornis rixosa",0,2,0
"Phaetusa simplex",0,1,0
"Progne chalybea",0,1,0
"Legatus leucophaius",1,11,1
"Buteo nitidus",4,3,1
"Volatinia jacarina",8,0,9
"Sporophila minuta",1,2,0
"Tringa solitaria",1,5,0
"Aramides cajaneus",9,6,0
"Actitis macularius",1,1,0
"Todirostrum cinereum",6,4,0
"Phalacrocorax brasilianus",1,0,0
"Anthracothorax nigricollis",1,1,1
"Stelgidopteryx ruficollis",4,3,0
"Piranga olivacea",0,2,4
"Pachyramphus cinnamomeus",0,1,0
"Troglodytes aedon",6,7,0
"Chaetura brachyura",1,1,0
"Butorides virescens",0,1,0
"Chauna chavaria",3,1,0
"Empidonax virescens",1,7,4
"Mycteria americana",0,1,0
"Caracara cheriway",0,2,1
"Patagioenas speciosa",0,0,2
"Thamnophilus doliatus",0,0,1
"Pheugopedius fasciatoventris",2,8,5
"Glyphorynchus spirurus",0,3,1
"Schiffornis stenorhyncha",0,0,1
"Myiarchus tuberculifer",0,0,1
"Icterus auricapillus",0,2,1
"Falco femoralis",2,0,1
"Phaeomyias murina",0,0,1
"Columbina minuta",0,0,1
"Myiodynastes maculatus",3,6,0
"Molothrus bonariensis",2,1,0
"Polyerata amabilis",1,2,0
"Leiothlypis peregrina",1,6,0
"Leistes militaris",11,0,0
"Saltator maximus",1,4,0
"Mimus gilvus",4,0,0
"Egretta thula",0,13,0
"Cacicus cela",0,2,0
"Glaucis hirsutus",0,3,0
"Mesembrinibis cayennensis",2,1,0
"Picumnus olivaceus",0,2,0
"Coccyzus americanus",0,2,0
"Gampsonyx swainsonii",6,0,0
"Amazona amazonica",6,1,0
"Brotogeris jugularis",12,0,0
"Geranospiza caerulescens",1,0,0
"Chloroceryle inda",1,0,0
"Tersina viridis",0,1,0
"Chaetura",1,9,0
"Ornithion brunneicapillus",0,1,0
"Celeus loricatus",0,2,0
"Polytmus guainumbi",0,2,0
"Geothlypis philadelphia",0,2,0
"Nyctidromus albicollis",0,1,0
"Dendrocygna viduata",0,2,0
"Hylophilus flavipes",0,1,0
"Contopus virens",1,0,0
"Ixobrychus exilis",1,0,0
