"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"42","_A_N_H___1_8_5___A___P_2_","Simpson diversity",5.786,6.36,1.543,5.786,9.385,"ANH_185","PntFijo",NA
"43","_A_N_H___1_8_5___A___P_3_","Species richness",28,39.855,9.063,31.137,72.806,"ANH_185","PntFijo",NA
"44","_A_N_H___1_8_5___A___P_3_","Shannon diversity",19.193,25.008,3.45,19.193,31.77,"ANH_185","PntFijo",NA
"45","_A_N_H___1_8_5___A___P_3_","Simpson diversity",13.917,16.519,2.811,13.917,22.029,"ANH_185","PntFijo",NA
"46","_A_N_H___1_8_9___A___P_1_","Species richness",12,23.693,12.577,14.097,77.197,"ANH_189","PntFijo",1.20647773279352
"47","_A_N_H___1_8_9___A___P_1_","Shannon diversity",10.085,17.433,5.566,10.085,28.342,"ANH_189","PntFijo",1.20647773279352
"48","_A_N_H___1_8_9___A___P_1_","Simpson diversity",8.643,13.588,4.262,8.643,21.942,"ANH_189","PntFijo",1.20647773279352
"49","_A_N_H___1_8_9___A___P_2_","Species richness",11,37.667,20.253,18.105,111.089,"ANH_189","PntFijo",1.20647773279352
"50","_A_N_H___1_8_9___A___P_2_","Shannon diversity",8.02,16.817,7.025,8.02,30.586,"ANH_189","PntFijo",1.20647773279352
"51","_A_N_H___1_8_9___A___P_2_","Simpson diversity",5.88,7.778,4.312,5.88,16.229,"ANH_189","PntFijo",1.20647773279352
"52","_A_N_H___1_8_9___A___P_3_","Species richness",16,28.019,10.292,18.809,67.419,"ANH_189","PntFijo",1.20647773279352
"53","_A_N_H___1_8_9___A___P_3_","Shannon diversity",13.579,24.423,7.017,13.579,38.176,"ANH_189","PntFijo",1.20647773279352
"54","_A_N_H___1_8_9___A___P_3_","Simpson diversity",11.267,19.118,5.668,11.267,30.228,"ANH_189","PntFijo",1.20647773279352
"55","_A_N_H___1_9_1___A___P_1_","Species richness",37,43.983,5.104,38.937,62.173,"ANH_191","PntFijo",NA
"56","_A_N_H___1_9_1___A___P_1_","Shannon diversity",24.662,30.286,2.79,24.817,35.754,"ANH_191","PntFijo",NA
"57","_A_N_H___1_9_1___A___P_1_","Simpson diversity",17.308,20.056,2.627,17.308,25.205,"ANH_191","PntFijo",NA
"58","_A_N_H___1_9_1___A___P_2_","Species richness",36,42.677,5.276,37.705,62.151,"ANH_191","PntFijo",NA
"59","_A_N_H___1_9_1___A___P_2_","Shannon diversity",24.478,28.7,2.163,24.478,32.94,"ANH_191","PntFijo",NA
"60","_A_N_H___1_9_1___A___P_2_","Simpson diversity",18.786,21.371,1.992,18.786,25.276,"ANH_191","PntFijo",NA
"61","_A_N_H___1_9_1___A___P_3_","Species richness",40,46.498,4.941,41.729,64.42,"ANH_191","PntFijo",NA
"62","_A_N_H___1_9_1___A___P_3_","Shannon diversity",27.421,33.01,2.482,28.146,37.875,"ANH_191","PntFijo",NA
"63","_A_N_H___1_9_1___A___P_3_","Simpson diversity",18.704,21.456,3.04,18.704,27.415,"ANH_191","PntFijo",NA
"64","_A_N_H___1_9_2___A___P_1_","Species richness",50,57.189,5.439,51.923,76.875,"ANH_192","PntFijo",NA
"65","_A_N_H___1_9_2___A___P_1_","Shannon diversity",8.165,8.554,0.605,8.165,9.739,"ANH_192","PntFijo",NA
"66","_A_N_H___1_9_2___A___P_1_","Simpson diversity",3.528,3.542,0.199,3.528,3.931,"ANH_192","PntFijo",NA
"67","_A_N_H___1_9_2___A___P_2_","Species richness",45,63.703,13.049,50.443,109.265,"ANH_192","PntFijo",NA
"68","_A_N_H___1_9_2___A___P_2_","Shannon diversity",14.5,15.804,1.182,14.5,18.122,"ANH_192","PntFijo",NA
"69","_A_N_H___1_9_2___A___P_2_","Simpson diversity",7.246,7.362,0.593,7.246,8.524,"ANH_192","PntFijo",NA
"70","_A_N_H___1_9_2___A___P_3_","Species richness",45,51.535,4.965,46.74,69.54,"ANH_192","PntFijo",NA
"71","_A_N_H___1_9_2___A___P_3_","Shannon diversity",6.189,6.464,0.496,6.189,7.435,"ANH_192","PntFijo",NA
"72","_A_N_H___1_9_2___A___P_3_","Simpson diversity",2.469,2.475,0.147,2.469,2.762,"ANH_192","PntFijo",NA
"73","_A_N_H___1_9_7___A___P_1_","Species richness",46,90.897,31.196,59.121,199.627,"ANH_197","PntFijo",NA
"74","_A_N_H___1_9_7___A___P_1_","Shannon diversity",29.634,36.966,3.651,29.81,44.123,"ANH_197","PntFijo",NA
"75","_A_N_H___1_9_7___A___P_1_","Simpson diversity",21.829,24.409,2.653,21.829,29.609,"ANH_197","PntFijo",NA
"76","_A_N_H___1_9_7___A___P_2_","Species richness",40,74.351,20.432,51.681,141.022,"ANH_197","PntFijo",NA
"77","_A_N_H___1_9_7___A___P_2_","Shannon diversity",18.253,23.423,2.926,18.253,29.158,"ANH_197","PntFijo",NA
"78","_A_N_H___1_9_7___A___P_2_","Simpson diversity",10.74,11.456,1.451,10.74,14.299,"ANH_197","PntFijo",NA
"79","_A_N_H___1_9_7___A___P_3_","Species richness",41,53.158,8.536,44.516,83.046,"ANH_197","PntFijo",NA
"80","_A_N_H___1_9_7___A___P_3_","Shannon diversity",30.237,37.702,3.188,31.453,43.951,"ANH_197","PntFijo",NA
"81","_A_N_H___1_9_7___A___P_3_","Simpson diversity",23.554,28.408,3.23,23.554,34.738,"ANH_197","PntFijo",NA
"82","_A_N_H___2_0_8___A___P_1_","Species richness",13,25.202,16.74,14.624,104.659,"ANH_208","PntFijo",NA
"83","_A_N_H___2_0_8___A___P_1_","Shannon diversity",9.823,12.995,2.746,9.823,18.378,"ANH_208","PntFijo",NA
"84","_A_N_H___2_0_8___A___P_1_","Simpson diversity",8.018,9.674,1.868,8.018,13.335,"ANH_208","PntFijo",NA
"85","_A_N_H___2_0_8___A___P_2_","Species richness",14,38,23.289,18.862,132.464,"ANH_208","PntFijo",NA
"86","_A_N_H___2_0_8___A___P_2_","Shannon diversity",10.395,21.103,9.276,10.395,39.283,"ANH_208","PntFijo",NA
