"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"1","ANH_128","Species richness",39,48.818,6.325,42.094,70.155,"PntFijo",1,"7°19' 9,433"" N","73°42' 54,194"" W",7.31928697811,-73.7150539644,"Aves",2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,14993.3124959,18842.8053136,37.5207111503,37.5207111503,13213.6834013,6834.00808806,3076.79827564,"LVBe3","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,10.7040095489,"Caracterizacion",14993.3124959,0,764.574349067,5009.53711016,NA,NA,NA,1,NA
"2","ANH_128","Shannon diversity",35.157,44.564,3.756,37.202,51.925,"PntFijo",1,"7°19' 9,433"" N","73°42' 54,194"" W",7.31928697811,-73.7150539644,"Aves",2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,14993.3124959,18842.8053136,37.5207111503,37.5207111503,13213.6834013,6834.00808806,3076.79827564,"LVBe3","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,10.7040095489,"Caracterizacion",14993.3124959,0,764.574349067,5009.53711016,NA,NA,NA,1,NA
"3","ANH_128","Simpson diversity",32.237,39.602,2.758,34.197,45.007,"PntFijo",1,"7°19' 9,433"" N","73°42' 54,194"" W",7.31928697811,-73.7150539644,"Aves",2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,14993.3124959,18842.8053136,37.5207111503,37.5207111503,13213.6834013,6834.00808806,3076.79827564,"LVBe3","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,10.7040095489,"Caracterizacion",14993.3124959,0,764.574349067,5009.53711016,NA,NA,NA,1,NA
"4","ANH_154","Species richness",32,57.19,15.04,40.536,106.343,"PntFijo",1,"7°22' 48,698"" N","73°43' 54,340"" W",7.38019399369,-73.7317610253,"Aves",5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,12444.789924,20196.8718305,67.8346020537,67.8346020537,6812.8819015,13699.0061305,2003.93643246,"LVBd2","Vias","Bosque Ripario",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Caracterizacion",12444.789924,0,6129.53308166,6728.25516361,NA,NA,NA,11,NA
"5","ANH_154","Shannon diversity",29.436,53.888,11.673,31.01,76.767,"PntFijo",1,"7°22' 48,698"" N","73°43' 54,340"" W",7.38019399369,-73.7317610253,"Aves",5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,12444.789924,20196.8718305,67.8346020537,67.8346020537,6812.8819015,13699.0061305,2003.93643246,"LVBd2","Vias","Bosque Ripario",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Caracterizacion",12444.789924,0,6129.53308166,6728.25516361,NA,NA,NA,11,NA
"6","ANH_154","Simpson diversity",26.797,46.641,5.934,35.011,58.271,"PntFijo",1,"7°22' 48,698"" N","73°43' 54,340"" W",7.38019399369,-73.7317610253,"Aves",5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,12444.789924,20196.8718305,67.8346020537,67.8346020537,6812.8819015,13699.0061305,2003.93643246,"LVBd2","Vias","Bosque Ripario",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Caracterizacion",12444.789924,0,6129.53308166,6728.25516361,NA,NA,NA,11,NA
"7","ANH_169","Species richness",70,91.879,9.697,79.54,120.176,"PntFijo",1,"7°24' 19,904"" N","73°51' 49,795"" W",7.40552896658,-73.8638319913,"Aves",3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2674.12413699,14892.5475522,9.51325401912,9.51325401912,5337.00382746,3190.17558074,1707.39924414,"PVAa","Vias","Bosque Abierto",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Kale",2674.12413699,0,2942.88862544,4659.65721021,NA,NA,NA,1,NA
"8","ANH_169","Shannon diversity",63.556,87.23,5.88,75.705,98.754,"PntFijo",1,"7°24' 19,904"" N","73°51' 49,795"" W",7.40552896658,-73.8638319913,"Aves",3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2674.12413699,14892.5475522,9.51325401912,9.51325401912,5337.00382746,3190.17558074,1707.39924414,"PVAa","Vias","Bosque Abierto",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Kale",2674.12413699,0,2942.88862544,4659.65721021,NA,NA,NA,1,NA
"9","ANH_169","Simpson diversity",58.074,80.026,4.507,71.193,88.859,"PntFijo",1,"7°24' 19,904"" N","73°51' 49,795"" W",7.40552896658,-73.8638319913,"Aves",3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2674.12413699,14892.5475522,9.51325401912,9.51325401912,5337.00382746,3190.17558074,1707.39924414,"PVAa","Vias","Bosque Abierto",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Kale",2674.12413699,0,2942.88862544,4659.65721021,NA,NA,NA,1,NA
"10","ANH_185","Species richness",52,72.024,10.196,59.813,103.317,"PntFijo",1,"7°13' 50,041"" N","73°49' 49,865"" W",7.23056700024,-73.830518,"Aves",1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,14427.1177129,5943.99253613,18.2104160256,18.2104160256,8285.07904626,30.5536400594,7502.62396414,"PVAa","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,21.2723623644,"Platero",5943.99253613,0,416.817067356,620.788127381,NA,NA,NA,1,NA
"11","ANH_185","Shannon diversity",46.836,65.624,5.603,54.644,76.605,"PntFijo",1,"7°13' 50,041"" N","73°49' 49,865"" W",7.23056700024,-73.830518,"Aves",1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,14427.1177129,5943.99253613,18.2104160256,18.2104160256,8285.07904626,30.5536400594,7502.62396414,"PVAa","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,21.2723623644,"Platero",5943.99253613,0,416.817067356,620.788127381,NA,NA,NA,1,NA
"12","ANH_185","Simpson diversity",42.506,57.016,3.988,49.201,64.832,"PntFijo",1,"7°13' 50,041"" N","73°49' 49,865"" W",7.23056700024,-73.830518,"Aves",1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,14427.1177129,5943.99253613,18.2104160256,18.2104160256,8285.07904626,30.5536400594,7502.62396414,"PVAa","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,21.2723623644,"Platero",5943.99253613,0,416.817067356,620.788127381,NA,NA,NA,1,NA
