"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"1","ANH_128","Species richness",39,61.336,15.973,45.338,117.717,13213.6834013,6834.00808806,3076.79827564,37.5207111503,37.5207111503,10.7040095489,2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,764.574349067,5009.53711016,"Caracterizacion","Pastos",1
"2","ANH_128","Shannon diversity",27.856,35.26,3.496,28.408,42.111,13213.6834013,6834.00808806,3076.79827564,37.5207111503,37.5207111503,10.7040095489,2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,764.574349067,5009.53711016,"Caracterizacion","Pastos",1
"3","ANH_128","Simpson diversity",21.648,25.523,2.743,21.648,30.9,13213.6834013,6834.00808806,3076.79827564,37.5207111503,37.5207111503,10.7040095489,2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,764.574349067,5009.53711016,"Caracterizacion","Pastos",1
"4","ANH_154","Species richness",32,38.467,4.92,33.72,56.318,6812.8819015,13699.0061305,2003.93643246,67.8346020537,67.8346020537,841.669467865,5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,6129.53308166,6728.25516361,"Caracterizacion","Bosque Ripario",1
"5","ANH_154","Shannon diversity",24.118,31.3,2.998,25.423,37.177,6812.8819015,13699.0061305,2003.93643246,67.8346020537,67.8346020537,841.669467865,5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,6129.53308166,6728.25516361,"Caracterizacion","Bosque Ripario",1
"6","ANH_154","Simpson diversity",18.469,23.469,3.282,18.469,29.901,6812.8819015,13699.0061305,2003.93643246,67.8346020537,67.8346020537,841.669467865,5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,6129.53308166,6728.25516361,"Caracterizacion","Bosque Ripario",1
"7","ANH_169","Species richness",70,107.418,20.209,83.882,170.858,5337.00382746,3190.17558074,1707.39924414,9.51325401912,9.51325401912,841.669467865,3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2942.88862544,4659.65721021,"Kale","Bosque Abierto",1
"8","ANH_169","Shannon diversity",47.202,58.189,4.284,49.793,66.586,5337.00382746,3190.17558074,1707.39924414,9.51325401912,9.51325401912,841.669467865,3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2942.88862544,4659.65721021,"Kale","Bosque Abierto",1
"9","ANH_169","Simpson diversity",34.941,39.923,3.233,34.941,46.259,5337.00382746,3190.17558074,1707.39924414,9.51325401912,9.51325401912,841.669467865,3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2942.88862544,4659.65721021,"Kale","Bosque Abierto",1
"10","ANH_185","Species richness",52,67.939,10.545,56.893,103.922,8285.07904626,30.5536400594,7502.62396414,18.2104160256,18.2104160256,21.2723623644,1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,416.817067356,620.788127381,"Platero","Pastos",1
