"","Platero","Kale","Caracterizacion"
"Aegidinus candezei",3,2,1
"Plectris sp.NA",15,4,1
"Leucothyreus sp.NA",2,0,1
"Cyclocephala sp.NA",3,6,0
"Astaena sp.NA",0,0,2
"Phyllophaga sp.NA",2,2,0
"Ceraspis sp.NA",17,4,2
"Barybas sp.NA",3,0,0
