"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"4","Bosque Ripario","Species richness",4,5.333,2.582,4.115,19.398,3,7,4,0.8095,2,1,1,0,0,0,0,0,0,0
"5","Bosque Ripario","Shannon diversity",3.586,4.728,1.088,3.586,6.86,3,7,4,0.8095,2,1,1,0,0,0,0,0,0,0
"6","Bosque Ripario","Simpson diversity",3.267,3.833,0.858,3.267,5.515,3,7,4,0.8095,2,1,1,0,0,0,0,0,0,0
"7","Herbazal","Species richness",9,15.75,7.74,10.121,49.657,4,13,9,0.6224,6,2,1,0,0,0,0,0,0,0
"8","Herbazal","Shannon diversity",8.151,14.43,5.855,8.151,25.907,4,13,9,0.6224,6,2,1,0,0,0,0,0,0,0
"9","Herbazal","Simpson diversity",7.348,11.95,4.119,7.348,20.023,4,13,9,0.6224,6,2,1,0,0,0,0,0,0,0
"10","Palma","Species richness",32,37.978,4.974,33.443,56.772,23,135,32,0.9309,10,8,2,1,3,2,1,0,1,0
"11","Palma","Shannon diversity",21.115,24.217,1.826,21.115,27.797,23,135,32,0.9309,10,8,2,1,3,2,1,0,1,0
"12","Palma","Simpson diversity",15.862,17.108,1.438,15.862,19.926,23,135,32,0.9309,10,8,2,1,3,2,1,0,1,0
"13","Pastos","Species richness",5,9,6,5.476,38.587,2,6,5,0.5556,4,1,0,0,0,0,0,0,0,0
"14","Pastos","Shannon diversity",4.762,9,3.106,4.762,15.088,2,6,5,0.5556,4,1,0,0,0,0,0,0,0,0
"15","Pastos","Simpson diversity",4.5,8,2.793,4.5,13.474,2,6,5,0.5556,4,1,0,0,0,0,0,0,0,0
"16","Rios","Species richness",11,16.357,6.532,11.825,45.782,7,23,11,0.8082,5,2,2,2,0,0,0,0,0,0
"17","Rios","Shannon diversity",9.451,13.144,2.65,9.451,18.337,7,23,11,0.8082,5,2,2,2,0,0,0,0,0,0
"18","Rios","Simpson diversity",8.397,10.986,2.174,8.397,15.246,7,23,11,0.8082,5,2,2,2,0,0,0,0,0,0
"19","Vias","Species richness",5,10,5.139,5.947,31.405,2,5,5,0.3333,5,0,0,0,0,0,0,0,0,0
"20","Vias","Shannon diversity",5,12.99,4.888,5,22.571,2,5,5,0.3333,5,0,0,0,0,0,0,0,0,0
"21","Vias","Simpson diversity",5,5,2.772,5,10.432,2,5,5,0.3333,5,0,0,0,0,0,0,0,0,0
"22","Zonas Pantanosas","Species richness",11,43.4,39.354,16.014,220.371,5,14,11,0.391,9,1,1,0,0,0,0,0,0,0
"23","Zonas Pantanosas","Shannon diversity",10.02,33.03,16.896,10.02,66.146,5,14,11,0.391,9,1,1,0,0,0,0,0,0,0
"24","Zonas Pantanosas","Simpson diversity",8.909,18.4,10.249,8.909,38.488,5,14,11,0.391,9,1,1,0,0,0,0,0,0,0
