"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Habitat","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"11","ANH_133","Shannon diversity",7.237,11.843,3.908,7.237,19.502,"VES",0.675174013921114,"7°16' 51,136"" N","73°51' 30,420"" W",7.28087100024,-73.85845,"Herpetos","T","Bosque ripario",5160.47181143,4493.33615423,2065.36517366,4727.91314187,5368.07199542,8791.6922704,2475.5275149,0,0,3674.55972873,5697.57717866,3872.18798745,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,27.8725991505,"Platero",2475.5275149,0,4501.68100899,1444.39173489,NA,NA,NA,6.5,NA
"12","ANH_133","Simpson diversity",6.545,10.15,3.755,6.545,17.51,"VES",0.675174013921114,"7°16' 51,136"" N","73°51' 30,420"" W",7.28087100024,-73.85845,"Herpetos","T","Bosque ripario",5160.47181143,4493.33615423,2065.36517366,4727.91314187,5368.07199542,8791.6922704,2475.5275149,0,0,3674.55972873,5697.57717866,3872.18798745,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,27.8725991505,"Platero",2475.5275149,0,4501.68100899,1444.39173489,NA,NA,NA,6.5,NA
"13","ANH_135","Species richness",5,9,4.756,5.635,30.18,"VES",0.503480278422274,"7°14' 17,999"" N","73°52' 46,114"" W",7.238333,-73.879476,"Herpetos","PE","Herbazal",3395.05988363,5492.31331134,1859.87570524,2606.32106097,9088.44113233,13634.0062759,1729.45323228,0,0,11210.0800512,3574.38759235,8961.73612501,NA,"Herbazal",NA,"Herbazal",NA,NA,NA,NA,NA,NA,NA,"Platero",1729.45323228,NA,4854.16027011,3450.41739354,NA,NA,NA,NA,NA
"14","ANH_135","Shannon diversity",4.371,7.886,2.323,4.371,12.439,"VES",0.503480278422274,"7°14' 17,999"" N","73°52' 46,114"" W",7.238333,-73.879476,"Herpetos","PE","Herbazal",3395.05988363,5492.31331134,1859.87570524,2606.32106097,9088.44113233,13634.0062759,1729.45323228,0,0,11210.0800512,3574.38759235,8961.73612501,NA,"Herbazal",NA,"Herbazal",NA,NA,NA,NA,NA,NA,NA,"Platero",1729.45323228,NA,4854.16027011,3450.41739354,NA,NA,NA,NA,NA
"15","ANH_135","Simpson diversity",3.769,5,1.711,3.769,8.354,"VES",0.503480278422274,"7°14' 17,999"" N","73°52' 46,114"" W",7.238333,-73.879476,"Herpetos","PE","Herbazal",3395.05988363,5492.31331134,1859.87570524,2606.32106097,9088.44113233,13634.0062759,1729.45323228,0,0,11210.0800512,3574.38759235,8961.73612501,NA,"Herbazal",NA,"Herbazal",NA,NA,NA,NA,NA,NA,NA,"Platero",1729.45323228,NA,4854.16027011,3450.41739354,NA,NA,NA,NA,NA
"16","ANH_136","Species richness",9,16.2,8.227,10.201,52.181,"VES",0.5707656612529,"7°14' 52,472"" N","73°52' 8,130"" W",7.24790900024,-73.868925,"Herpetos","T","Bosque ripario",3131.28967322,4828.64940675,716.182519488,2937.95539175,8819.04167881,12462.5770397,1296.08031327,0,0,3772.19952628,3710.94089137,7648.29191517,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,45.7606127029,"Platero",1296.08031327,0,4064.7544514,1877.99430016,NA,NA,NA,2,NA
"17","ANH_136","Shannon diversity",7.729,13.496,4.086,7.729,21.505,"VES",0.5707656612529,"7°14' 52,472"" N","73°52' 8,130"" W",7.24790900024,-73.868925,"Herpetos","T","Bosque ripario",3131.28967322,4828.64940675,716.182519488,2937.95539175,8819.04167881,12462.5770397,1296.08031327,0,0,3772.19952628,3710.94089137,7648.29191517,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,45.7606127029,"Platero",1296.08031327,0,4064.7544514,1877.99430016,NA,NA,NA,2,NA
"18","ANH_136","Simpson diversity",6.533,9.3,4.795,6.533,18.698,"VES",0.5707656612529,"7°14' 52,472"" N","73°52' 8,130"" W",7.24790900024,-73.868925,"Herpetos","T","Bosque ripario",3131.28967322,4828.64940675,716.182519488,2937.95539175,8819.04167881,12462.5770397,1296.08031327,0,0,3772.19952628,3710.94089137,7648.29191517,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,45.7606127029,"Platero",1296.08031327,0,4064.7544514,1877.99430016,NA,NA,NA,2,NA
"19","ANH_141","Species richness",4,6,2.972,4.241,20.599,"VES",0.473317865429234,"7°17' 0,438"" N","73°48' 39,827"" W",7.28345500024,-73.811063,"Herpetos","T","Vías",3459.95773499,1.76345293614,4943.60449854,5378.35203016,2583.06949926,9262.55285003,7603.45617187,15.6757298999,15.6757298999,8765.00762013,4920.99017657,3974.05408405,"PVAa","Vias",NA,"Vías",NA,NA,NA,NA,NA,NA,841.669467865,"Platero",7603.45617187,0,3.47031371622,5268.76462358,NA,NA,NA,1,NA
"20","ANH_141","Shannon diversity",3.464,5.361,1.505,3.464,8.31,"VES",0.473317865429234,"7°17' 0,438"" N","73°48' 39,827"" W",7.28345500024,-73.811063,"Herpetos","T","Vías",3459.95773499,1.76345293614,4943.60449854,5378.35203016,2583.06949926,9262.55285003,7603.45617187,15.6757298999,15.6757298999,8765.00762013,4920.99017657,3974.05408405,"PVAa","Vias",NA,"Vías",NA,NA,NA,NA,NA,NA,841.669467865,"Platero",7603.45617187,0,3.47031371622,5268.76462358,NA,NA,NA,1,NA
"21","ANH_141","Simpson diversity",3,3.667,1.159,3,5.937,"VES",0.473317865429234,"7°17' 0,438"" N","73°48' 39,827"" W",7.28345500024,-73.811063,"Herpetos","T","Vías",3459.95773499,1.76345293614,4943.60449854,5378.35203016,2583.06949926,9262.55285003,7603.45617187,15.6757298999,15.6757298999,8765.00762013,4920.99017657,3974.05408405,"PVAa","Vias",NA,"Vías",NA,NA,NA,NA,NA,NA,841.669467865,"Platero",7603.45617187,0,3.47031371622,5268.76462358,NA,NA,NA,1,NA
"22","ANH_148","Species richness",3,3,0.486,3,4.603,"VES",0.375870069605568,"7°22' 32,635"" N","73°50' 26,365"" W",7.37573200024,-73.840657,"Herpetos","T","Bosque ripario",4829.71146419,1116.64982836,2897.38725802,2897.38725802,5238.11501567,422.415600905,12254.6335921,0,0,4358.77744272,6388.93089546,3163.28693661,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,8.70872486456,"Kale",422.415600905,0,5339.96129574,816.691526363,NA,NA,NA,6.25,NA
"23","ANH_148","Shannon diversity",2.552,2.805,0.477,2.552,3.741,"VES",0.375870069605568,"7°22' 32,635"" N","73°50' 26,365"" W",7.37573200024,-73.840657,"Herpetos","T","Bosque ripario",4829.71146419,1116.64982836,2897.38725802,2897.38725802,5238.11501567,422.415600905,12254.6335921,0,0,4358.77744272,6388.93089546,3163.28693661,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,8.70872486456,"Kale",422.415600905,0,5339.96129574,816.691526363,NA,NA,NA,6.25,NA
"24","ANH_148","Simpson diversity",2.314,2.474,0.486,2.314,3.426,"VES",0.375870069605568,"7°22' 32,635"" N","73°50' 26,365"" W",7.37573200024,-73.840657,"Herpetos","T","Bosque ripario",4829.71146419,1116.64982836,2897.38725802,2897.38725802,5238.11501567,422.415600905,12254.6335921,0,0,4358.77744272,6388.93089546,3163.28693661,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,8.70872486456,"Kale",422.415600905,0,5339.96129574,816.691526363,NA,NA,NA,6.25,NA
"25","ANH_149","Species richness",4,7.375,5.473,4.365,35.241,"VES",0.709976798143852,"7°21' 7,830"" N","73°49' 32,671"" W",7.35217500024,-73.825742,"Herpetos","T","Bosque ripario",2751.45842821,104.488896536,5975.95704949,5975.95704949,2792.80420562,2255.43043597,10660.5218366,0,0,5360.44098506,8481.95185475,2229.33599391,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,68.9071628004,"Kale",2255.43043597,0,3013.11476475,1279.71203328,NA,NA,NA,12,NA
"26","ANH_149","Shannon diversity",3.789,7.854,3.488,3.789,14.691,"VES",0.709976798143852,"7°21' 7,830"" N","73°49' 32,671"" W",7.35217500024,-73.825742,"Herpetos","T","Bosque ripario",2751.45842821,104.488896536,5975.95704949,5975.95704949,2792.80420562,2255.43043597,10660.5218366,0,0,5360.44098506,8481.95185475,2229.33599391,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,68.9071628004,"Kale",2255.43043597,0,3013.11476475,1279.71203328,NA,NA,NA,12,NA
"27","ANH_149","Simpson diversity",3.571,7.75,2.907,3.571,13.448,"VES",0.709976798143852,"7°21' 7,830"" N","73°49' 32,671"" W",7.35217500024,-73.825742,"Herpetos","T","Bosque ripario",2751.45842821,104.488896536,5975.95704949,5975.95704949,2792.80420562,2255.43043597,10660.5218366,0,0,5360.44098506,8481.95185475,2229.33599391,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,68.9071628004,"Kale",2255.43043597,0,3013.11476475,1279.71203328,NA,NA,NA,12,NA
"28","ANH_150","Species richness",7,17.417,14.343,8.38,85.609,"VES",0.658932714617169,"7°20' 59,680"" N","73°49' 46,924"" W",7.34991100024,-73.829701,"Herpetos","T","Bosque ripario",2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,1994.83577759,10213.3255407,0,0,4934.93594831,8078.15932235,1924.19205857,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,18.8753280657,"Kale",1994.83577759,0,2639.59373664,964.890435938,NA,NA,NA,12,NA
"29","ANH_150","Shannon diversity",5.467,10.465,4.233,5.467,18.762,"VES",0.658932714617169,"7°20' 59,680"" N","73°49' 46,924"" W",7.34991100024,-73.829701,"Herpetos","T","Bosque ripario",2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,1994.83577759,10213.3255407,0,0,4934.93594831,8078.15932235,1924.19205857,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,18.8753280657,"Kale",1994.83577759,0,2639.59373664,964.890435938,NA,NA,NA,12,NA
"30","ANH_150","Simpson diversity",4.235,5.167,1.97,4.235,9.028,"VES",0.658932714617169,"7°20' 59,680"" N","73°49' 46,924"" W",7.34991100024,-73.829701,"Herpetos","T","Bosque ripario",2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,1994.83577759,10213.3255407,0,0,4934.93594831,8078.15932235,1924.19205857,"PVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,18.8753280657,"Kale",1994.83577759,0,2639.59373664,964.890435938,NA,NA,NA,12,NA
"31","ANH_151","Species richness",12,17,5.477,12.877,40.497,"VES",0.756380510440835,"7°21' 57,524"" N","73°47' 50,165"" W",7.36597900024,-73.797268,"Herpetos","T","Bosque ripario",4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,5213.48009059,13782.0381233,0,0,5875.72411933,11283.8654382,1497.09942206,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,19.3209091367,"Kale",5213.48009059,0,4598.61976442,3324.20963395,NA,NA,NA,10,NA
