"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",4,4,0,NA,NA,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",4,0,0,4,0,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",4,4,0,4,4,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",10,14.083,4.378,10.735,32.681,2,13,10,0.7101,7,3,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",9.441,14.083,2.642,9.441,19.262,2,13,10,0.7101,7,3,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",8.895,13.5,2.406,8.895,18.215,2,13,10,0.7101,7,3,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",32,52.207,15.745,37.238,109.951,23,141,32,0.9103,13,4,2,2,2,2,1,1,1,0
"8","Bosque Ripario","Shannon diversity",20.181,24.042,2.396,20.181,28.738,23,141,32,0.9103,13,4,2,2,2,2,1,1,1,0
"9","Bosque Ripario","Simpson diversity",15.073,16.072,1.277,15.073,18.575,23,141,32,0.9103,13,4,2,2,2,2,1,1,1,0
"10","Ciénaga","Species richness",4,4.167,0.54,4.008,7.565,3,8,4,0.9583,1,2,1,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",3.747,4.208,1.056,3.747,6.277,3,8,4,0.9583,1,2,1,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",3.556,4.067,0.795,3.556,5.624,3,8,4,0.9583,1,2,1,0,0,0,0,0,0,0
"13","Herbazal","Species richness",16,41.208,23.959,21.232,137.455,6,26,16,0.6056,11,2,1,2,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",13.439,26.959,9.325,13.439,45.235,6,26,16,0.6056,11,2,1,2,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",11.267,16.098,4.013,11.267,23.963,6,26,16,0.6056,11,2,1,2,0,0,0,0,0,0
"16","Pastos","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"19","Vías","Species richness",10,13.375,3.717,10.588,29.36,4,14,10,0.7033,6,4,0,0,0,0,0,0,0,0
"20","Vías","Shannon diversity",9.421,14.738,3.893,9.421,22.368,4,14,10,0.7033,6,4,0,0,0,0,0,0,0,0
"21","Vías","Simpson diversity",8.909,17.312,3.23,10.981,23.644,4,14,10,0.7033,6,4,0,0,0,0,0,0,0,0
