"","m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","Grupo"
"1",351,"extrapolated","0",32,29.299,34.701,1,0.988,1.012,"0"
"2",351,"extrapolated","1",17.398,15.093,19.702,1,0.986,1.014,"0"
"3",351,"extrapolated","2",8.514,6.086,10.943,1,0.987,1.013,"0"
"4",351,"interpolated","0",31.885,31.375,32.395,0.998,0.996,1,"1"
"5",351,"interpolated","1",17.311,15.556,19.066,0.998,0.995,1,"1"
"6",351,"interpolated","2",8.883,7.125,10.642,0.998,0.996,1,"1"
