"","parentEven","richness","Shannon","Simpson","samplEff.1","shann_corr","simp_corr","parentEven.y","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec"
"50","ANH_238",32,2.9051977,0.89816145,1,2.9051977,0.89816145,"ANH_238","7°20' 53,461"" N","73°49' 13,658"" W",7.34818360919,-73.8204606132,"Unidad Muestral","OE",2754.46332826,0.310736637539,6664.02982809,6664.02982809,2486.90193759,2970.95997637,10638.2685329,0,0,5967.38061602,9112.73858391,1999.48389318,"PVCb2","Bosque Ripario",68.9071628004,"Kale",2970.95997637,0,2821.46841411,1981.6977542
"51","ANH_238",32,2.9051977,0.89816145,1,2.9051977,0.89816145,"ANH_238","7°20' 54,200"" N","73°49' 14,100"" W",7.34838888913,-73.8205833333,"Camaras","PE",2766.04367025,6.15763295145,6637.62233695,6637.62233695,2504.14481286,2948.67792241,10648.1237132,0,0,5951.85856097,9096.8283528,2013.71537504,"PVCb2","Bosque Ripario",68.9071628004,"Kale",2948.67792241,0,2837.39453809,1960.57460899
"52","ANH_239",28,2.72943091,0.89586133,1,2.72943091,0.89586133,"ANH_239","7°21' 29,701"" N","73°49' 39,509"" W",7.35825031491,-73.8276414983,"Unidad Muestral","OE",3248.01294544,243.506182133,5298.14571024,5298.14571024,3434.89121689,1873.73252954,11119.219907,0,0,5176.31305873,8223.21493736,2863.28880317,"PVCb2","Bosque Ripario",68.9071628004,"Kale",1873.73252954,0,3589.06561141,1026.40088499
"53","ANH_239",28,2.72943091,0.89586133,1,2.72943091,0.89586133,"ANH_239","7°21' 28,300"" N","73°49' 42,000"" W",7.35786111135,-73.8283333333,"Camaras","PE",3178.79604619,162.296748782,5293.15766927,5293.15766927,3383.5151737,1803.77209731,11043.3700922,0,0,5097.5328211,8148.48107387,2812.42612993,"PVCb2","Bosque Ripario",68.9071628004,"Kale",1803.77209731,0,3527.54635661,947.81061187
"54","ANH_240",17,2.63190907,0.91522491,1,2.63190907,0.91522491,"ANH_240","7°23' 41,622"" N","73°48' 27,798"" W",7.39489489169,-73.8077215898,"Unidad Muestral","OE",4128.84602956,2291.88443202,5109.728914,5109.728914,5054.91598789,4321.48004896,15727.9355456,0,0,3415.48823377,9456.33790736,1840.98926531,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4321.48004896,0,7973.07735985,548.696239275
"55","ANH_240",17,2.63190907,0.91522491,1,2.63190907,0.91522491,"ANH_240","7°23' 42,100"" N","73°48' 27,800"" W",7.39502777802,-73.8077222222,"Camaras","PE",4119.18168627,2280.23236677,5108.57567386,5108.57567386,5066.53536764,4326.48706357,15740.6315266,0,0,3403.02303598,9451.94076908,1828.99251491,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4326.48706357,0,7987.32164663,541.781793222
"56","ANH_240",2,0.41011632,0.24489796,1,0.41011632,0.24489796,"ANH_240","7°23' 41,622"" N","73°48' 27,798"" W",7.39489489169,-73.8077215898,"Unidad Muestral","OE",4128.84602956,2291.88443202,5109.728914,5109.728914,5054.91598789,4321.48004896,15727.9355456,0,0,3415.48823377,9456.33790736,1840.98926531,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4321.48004896,0,7973.07735985,548.696239275
"57","ANH_240",2,0.41011632,0.24489796,1,0.41011632,0.24489796,"ANH_240","7°23' 42,100"" N","73°48' 27,800"" W",7.39502777802,-73.8077222222,"Camaras","PE",4119.18168627,2280.23236677,5108.57567386,5108.57567386,5066.53536764,4326.48706357,15740.6315266,0,0,3403.02303598,9451.94076908,1828.99251491,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4326.48706357,0,7987.32164663,541.781793222
"58","ANH_240",4,1.1490597,0.61728395,1,1.1490597,0.61728395,"ANH_240","7°23' 41,622"" N","73°48' 27,798"" W",7.39489489169,-73.8077215898,"Unidad Muestral","OE",4128.84602956,2291.88443202,5109.728914,5109.728914,5054.91598789,4321.48004896,15727.9355456,0,0,3415.48823377,9456.33790736,1840.98926531,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4321.48004896,0,7973.07735985,548.696239275
"59","ANH_240",4,1.1490597,0.61728395,1,1.1490597,0.61728395,"ANH_240","7°23' 42,100"" N","73°48' 27,800"" W",7.39502777802,-73.8077222222,"Camaras","PE",4119.18168627,2280.23236677,5108.57567386,5108.57567386,5066.53536764,4326.48706357,15740.6315266,0,0,3403.02303598,9451.94076908,1828.99251491,"PVCb2","Bosque Ripario",71.8131727053,"Kale",4326.48706357,0,7987.32164663,541.781793222
"60","ANH_241",6,1.70455145,0.80555556,1,1.70455145,0.80555556,"ANH_241","7°22' 54,500"" N","73°48' 51,700"" W",7.3818055558,-73.8143611111,"Camaras","PE",5668.47517032,3016.11087052,4731.18700825,4731.18700825,4585.08450553,3325.46513527,14108.0248566,0,0,5024.47685893,9128.80439192,2640.88141812,"PVAa","Bosque Ripario",9.85348903275,"Kale",3325.46513527,0,6522.3965242,752.377232118
"61","ANH_241",6,1.70455145,0.80555556,1,1.70455145,0.80555556,"ANH_241","7°22' 52,466"" N","73°48' 51,921"" W",7.38124059953,-73.8144225456,"Unidad Muestral","OE",5719.26725647,3063.98174996,4749.50338295,4749.50338295,4555.09773044,3318.48456969,14050.7014624,0,0,5079.60783389,9132.08945758,2638.33556314,"PVAa","Bosque Ripario",9.85348903275,"Kale",3318.48456969,0,6461.50371215,795.419698335
"62","ANH_244",22,2.78051566,0.91346154,1,2.78051566,0.91346154,"ANH_244","7°22' 59,198"" N","73°44' 9,944"" W",7.38311048489,-73.7360956046,"Unidad Muestral","OE",6043.83095043,53.586897815,3210.45230725,12472.3246127,2043.33752849,11967.4858939,20010.7969561,0,0,6279.94244296,14083.9969376,1682.22723382,"LVBd2","Bosque Ripario",662.460780049,"Caracterizacion",11967.4858939,0,6420.65345229,6155.28956457
