"","m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","Grupo"
"1",8172,"extrapolated","0",64,63.912,64.088,1,1,1,"Kale"
"2",8172,"extrapolated","1",20.157,19.39,20.924,1,1,1,"Kale"
"3",8172,"extrapolated","2",11.22,10.785,11.654,1,1,1,"Kale"
