"","m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","Grupo"
"1",3351,"extrapolated","0",41,41,41,1,1,1,"0"
"2",3351,"extrapolated","1",25.954,25.043,26.866,1,1,1,"0"
"3",3351,"extrapolated","2",16.325,15.062,17.587,1,1,1,"0"
