"","m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","Grupo"
"1",52515,"extrapolated","0",156,154.729,157.271,1,1,1,"0"
"2",52515,"extrapolated","1",55.094,54.343,55.845,1,1,1,"0"
"3",52515,"extrapolated","2",29.25,28.589,29.911,1,1,1,"0"
