"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"42","_A_N_H___1_8_9___A___P_2_","Simpson diversity",3,5,2.562,3,10.022,"ANH_189","PntFijo",1.66463944396177
"43","_A_N_H___1_8_9___A___P_3_","Species richness",5,5.15,0.497,5.007,8.295,"ANH_189","PntFijo",1.66463944396177
"44","_A_N_H___1_8_9___A___P_3_","Shannon diversity",4.745,6.003,1.616,4.745,9.171,"ANH_189","PntFijo",1.66463944396177
"45","_A_N_H___1_8_9___A___P_3_","Simpson diversity",4.545,7.5,1.763,4.545,10.956,"ANH_189","PntFijo",1.66463944396177
"46","_A_N_H___1_9_1___A___P_1_","Species richness",22,25.023,3.064,22.582,37.702,"ANH_191","PntFijo",NA
"47","_A_N_H___1_9_1___A___P_1_","Shannon diversity",14.201,16.974,1.967,14.201,20.83,"ANH_191","PntFijo",NA
"48","_A_N_H___1_9_1___A___P_1_","Simpson diversity",9.965,11.297,1.683,9.965,14.596,"ANH_191","PntFijo",NA
"49","_A_N_H___1_9_1___A___P_2_","Species richness",25,29.84,4.787,25.959,49.427,"ANH_191","PntFijo",NA
"50","_A_N_H___1_9_1___A___P_2_","Shannon diversity",19.957,24.321,2.111,20.184,28.458,"ANH_191","PntFijo",NA
"51","_A_N_H___1_9_1___A___P_2_","Simpson diversity",16.894,21.019,2.426,16.894,25.773,"ANH_191","PntFijo",NA
"52","_A_N_H___1_9_1___A___P_3_","Species richness",23,26.449,3.456,23.673,40.676,"ANH_191","PntFijo",NA
"53","_A_N_H___1_9_1___A___P_3_","Shannon diversity",18.1,22.399,2.363,18.1,27.031,"ANH_191","PntFijo",NA
"54","_A_N_H___1_9_1___A___P_3_","Simpson diversity",15.013,18.983,2.321,15.013,23.532,"ANH_191","PntFijo",NA
"55","_A_N_H___1_9_2___A___P_1_","Species richness",39,46.546,5.947,40.932,68.47,"ANH_192","PntFijo",NA
"56","_A_N_H___1_9_2___A___P_1_","Shannon diversity",4.98,5.261,0.469,4.98,6.181,"ANH_192","PntFijo",NA
"57","_A_N_H___1_9_2___A___P_1_","Simpson diversity",2.039,2.044,0.112,2.039,2.264,"ANH_192","PntFijo",NA
"58","_A_N_H___1_9_2___A___P_2_","Species richness",32,44.427,10.621,34.911,85.054,"ANH_192","PntFijo",NA
"59","_A_N_H___1_9_2___A___P_2_","Shannon diversity",14.639,16.797,1.706,14.639,20.141,"ANH_192","PntFijo",NA
"60","_A_N_H___1_9_2___A___P_2_","Simpson diversity",7.004,7.259,1.201,7.004,9.612,"ANH_192","PntFijo",NA
"61","_A_N_H___1_9_2___A___P_3_","Species richness",41,50.373,6.795,43.623,74.5,"ANH_192","PntFijo",NA
"62","_A_N_H___1_9_2___A___P_3_","Shannon diversity",4.772,5.002,0.406,4.772,5.798,"ANH_192","PntFijo",NA
"63","_A_N_H___1_9_2___A___P_3_","Simpson diversity",2.059,2.063,0.097,2.059,2.252,"ANH_192","PntFijo",NA
"64","_A_N_H___1_9_7___A___P_1_","Species richness",33,44.984,9.64,36.001,80.85,"ANH_197","PntFijo",NA
"65","_A_N_H___1_9_7___A___P_1_","Shannon diversity",25.584,32.33,3.17,26.117,38.544,"ANH_197","PntFijo",NA
"66","_A_N_H___1_9_7___A___P_1_","Simpson diversity",20.485,25.264,3.255,20.485,31.644,"ANH_197","PntFijo",NA
"67","_A_N_H___1_9_7___A___P_2_","Species richness",30,45.911,10.935,34.702,83.843,"ANH_197","PntFijo",NA
"68","_A_N_H___1_9_7___A___P_2_","Shannon diversity",15.656,20.181,2.604,15.656,25.284,"ANH_197","PntFijo",NA
"69","_A_N_H___1_9_7___A___P_2_","Simpson diversity",9.091,9.9,1.552,9.091,12.943,"ANH_197","PntFijo",NA
"70","_A_N_H___1_9_7___A___P_3_","Species richness",33,38.984,4.752,34.519,56.562,"ANH_197","PntFijo",NA
"71","_A_N_H___1_9_7___A___P_3_","Shannon diversity",24.589,31.227,2.852,25.637,36.818,"ANH_197","PntFijo",NA
"72","_A_N_H___1_9_7___A___P_3_","Simpson diversity",18.2,22.5,3.385,18.2,29.134,"ANH_197","PntFijo",NA
"73","_A_N_H___2_0_8___A___P_1_","Species richness",6,11.4,6.367,6.867,39.651,"ANH_208","PntFijo",NA
"74","_A_N_H___2_0_8___A___P_1_","Shannon diversity",5.173,9.252,4.049,5.173,17.187,"ANH_208","PntFijo",NA
"75","_A_N_H___2_0_8___A___P_1_","Simpson diversity",4.545,7.5,4.275,4.545,15.878,"ANH_208","PntFijo",NA
"76","_A_N_H___2_0_8___A___P_2_","Species richness",8,24.8,22.073,10.36,127.604,"ANH_208","PntFijo",NA
"77","_A_N_H___2_0_8___A___P_2_","Shannon diversity",5.515,11.319,5.937,5.515,22.955,"ANH_208","PntFijo",NA
"78","_A_N_H___2_0_8___A___P_2_","Simpson diversity",3.814,4.773,3.17,3.814,10.985,"ANH_208","PntFijo",NA
"79","_A_N_H___2_0_8___A___P_3_","Species richness",6,7.857,3.493,6.167,26.688,"ANH_208","PntFijo",NA
"80","_A_N_H___2_0_8___A___P_3_","Shannon diversity",5.329,7.047,1.653,5.329,10.286,"ANH_208","PntFijo",NA
"81","_A_N_H___2_0_8___A___P_3_","Simpson diversity",4.9,7,1.795,4.9,10.518,"ANH_208","PntFijo",NA
"82","_A_N_H___2_1_1___A___P_1_","Species richness",6,18.5,11.242,8.764,62.521,"ANH_211","PntFijo",NA
"83","_A_N_H___2_1_1___A___P_1_","Shannon diversity",6,26.008,7.865,10.592,41.423,"ANH_211","PntFijo",NA
"84","_A_N_H___2_1_1___A___P_1_","Simpson diversity",6,6,4.473,6,14.767,"ANH_211","PntFijo",NA
"85","_A_N_H___2_1_1___A___P_2_","Species richness",4,5.75,3.307,4.156,23.607,"ANH_211","PntFijo",NA
"86","_A_N_H___2_1_1___A___P_2_","Shannon diversity",3.364,4.783,2.159,3.364,9.015,"ANH_211","PntFijo",NA
"87","_A_N_H___2_1_1___A___P_2_","Simpson diversity",2.909,4,2.212,2.909,8.336,"ANH_211","PntFijo",NA
"88","_A_N_H___2_1_1___A___P_3_","Species richness",7,8.385,2.14,7.159,19.07,"ANH_211","PntFijo",NA
"89","_A_N_H___2_1_1___A___P_3_","Shannon diversity",6.163,8.644,1.848,6.163,12.266,"ANH_211","PntFijo",NA
"90","_A_N_H___2_1_1___A___P_3_","Simpson diversity",5.452,8.667,2.27,5.452,13.115,"ANH_211","PntFijo",NA
"91","_A_N_H___2_1_3___A___P_1_","Species richness",5,6.846,3.474,5.166,25.577,"ANH_213","PntFijo",NA
"92","_A_N_H___2_1_3___A___P_1_","Shannon diversity",3.966,5.142,1.58,3.966,8.239,"ANH_213","PntFijo",NA
"93","_A_N_H___2_1_3___A___P_1_","Simpson diversity",3.314,4.105,1.153,3.314,6.365,"ANH_213","PntFijo",NA
"94","_A_N_H___2_1_3___A___P_2_","Species richness",10,15.833,6.952,10.924,46.827,"ANH_213","PntFijo",NA
"95","_A_N_H___2_1_3___A___P_2_","Shannon diversity",7.327,9.146,1.642,7.327,12.365,"ANH_213","PntFijo",NA
"96","_A_N_H___2_1_3___A___P_2_","Simpson diversity",5.891,6.848,1.393,5.891,9.577,"ANH_213","PntFijo",NA
"97","_A_N_H___2_1_3___A___P_3_","Species richness",6,6.923,1.747,6.082,16.364,"ANH_213","PntFijo",NA
"98","_A_N_H___2_1_3___A___P_3_","Shannon diversity",5.321,6.946,1.386,5.321,9.661,"ANH_213","PntFijo",NA
"99","_A_N_H___2_1_3___A___P_3_","Simpson diversity",4.829,7.091,1.615,4.829,10.257,"ANH_213","PntFijo",NA
"100","_A_N_H___2_1_8___A___P_1_","Species richness",8,8.482,1.282,8.028,16.191,"ANH_218","PntFijo",NA
"101","_A_N_H___2_1_8___A___P_1_","Shannon diversity",6.954,8.052,1.016,6.954,10.043,"ANH_218","PntFijo",NA
"102","_A_N_H___2_1_8___A___P_1_","Simpson diversity",6.125,7.56,1.346,6.125,10.199,"ANH_218","PntFijo",NA
"103","_A_N_H___2_1_8___A___P_2_","Species richness",16,25.763,8.716,18.178,59.775,"ANH_218","PntFijo",NA
"104","_A_N_H___2_1_8___A___P_2_","Shannon diversity",13.617,22.557,5.812,13.617,33.949,"ANH_218","PntFijo",NA
"105","_A_N_H___2_1_8___A___P_2_","Simpson diversity",11.529,18.9,4.699,11.529,28.11,"ANH_218","PntFijo",NA
"106","_A_N_H___2_1_8___A___P_3_","Species richness",5,5.944,2.088,5.069,17.836,"ANH_218","PntFijo",NA
"107","_A_N_H___2_1_8___A___P_3_","Shannon diversity",3.473,4.082,0.825,3.473,5.699,"ANH_218","PntFijo",NA
"108","_A_N_H___2_1_8___A___P_3_","Simpson diversity",2.7,3,0.851,2.7,4.667,"ANH_218","PntFijo",NA
"109","_A_N_H___2_2_0___A___P_1_","Species richness",9,14.903,7.155,9.916,47.051,"ANH_220","PntFijo",NA
"110","_A_N_H___2_2_0___A___P_1_","Shannon diversity",7.251,11.224,3.226,7.251,17.548,"ANH_220","PntFijo",NA
"111","_A_N_H___2_2_0___A___P_1_","Simpson diversity",6,8.5,2.682,6,13.756,"ANH_220","PntFijo",NA
"112","_A_N_H___2_2_0___A___P_2_","Species richness",7,12.647,6.676,7.903,42.303,"ANH_220","PntFijo",NA
"113","_A_N_H___2_2_0___A___P_2_","Shannon diversity",5.177,7.54,2.214,5.177,11.879,"ANH_220","PntFijo",NA
