"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Caracterizacion","Species richness",82,124.025,17.676,101.053,174.694,10,182,82,0.7947,41,18,7,5,6,3,1,0,1,0
"2","Caracterizacion","Shannon diversity",64.187,89.946,5.868,78.444,101.448,10,182,82,0.7947,41,18,7,5,6,3,1,0,1,0
"3","Caracterizacion","Simpson diversity",51.435,64.273,4.689,55.082,73.463,10,182,82,0.7947,41,18,7,5,6,3,1,0,1,0
"4","Kale","Species richness",134,151.182,8.531,140.847,177.116,28,685,134,0.9614,28,22,18,12,8,10,8,5,5,3
"5","Kale","Shannon diversity",94.17,104.446,3.123,98.324,110.568,28,685,134,0.9614,28,22,18,12,8,10,8,5,5,3
"6","Kale","Simpson diversity",72.579,78.203,2.885,72.579,83.857,28,685,134,0.9614,28,22,18,12,8,10,8,5,5,3
"7","Platero","Species richness",102,122.476,9.676,110.493,151.363,16,359,102,0.9211,31,22,13,12,3,5,4,3,2,2
"8","Platero","Shannon diversity",74.611,87.637,3.655,80.473,94.8,16,359,102,0.9211,31,22,13,12,3,5,4,3,2,2
"9","Platero","Simpson diversity",58.449,65.333,3.077,59.303,71.364,16,359,102,0.9211,31,22,13,12,3,5,4,3,2,2
