"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"43","_A_N_H___1_8_9___A___P_3_","Species richness",5,5.15,0.497,5.007,8.295,"ANH_189","PntFijo",1
"44","_A_N_H___1_8_9___A___P_3_","Shannon diversity",4.745,6.003,1.515,4.745,8.972,"ANH_189","PntFijo",1
"45","_A_N_H___1_8_9___A___P_3_","Simpson diversity",4.545,7.5,1.884,4.545,11.193,"ANH_189","PntFijo",1
"46","_A_N_H___1_9_1___A___P_1_","Species richness",22,25.023,3.064,22.582,37.702,"ANH_191","PntFijo",1
"47","_A_N_H___1_9_1___A___P_1_","Shannon diversity",14.201,16.974,1.801,14.201,20.504,"ANH_191","PntFijo",1
"48","_A_N_H___1_9_1___A___P_1_","Simpson diversity",9.965,11.297,1.634,9.965,14.5,"ANH_191","PntFijo",1
"49","_A_N_H___1_9_1___A___P_2_","Species richness",25,29.84,4.787,25.959,49.427,"ANH_191","PntFijo",1
"50","_A_N_H___1_9_1___A___P_2_","Shannon diversity",19.957,24.321,2.12,20.166,28.476,"ANH_191","PntFijo",1
"51","_A_N_H___1_9_1___A___P_2_","Simpson diversity",16.894,21.019,2.416,16.894,25.754,"ANH_191","PntFijo",1
"52","_A_N_H___1_9_1___A___P_3_","Species richness",23,26.449,3.456,23.673,40.676,"ANH_191","PntFijo",1
"53","_A_N_H___1_9_1___A___P_3_","Shannon diversity",18.1,22.399,2.15,18.185,26.613,"ANH_191","PntFijo",1
"54","_A_N_H___1_9_1___A___P_3_","Simpson diversity",15.013,18.983,2.559,15.013,23.999,"ANH_191","PntFijo",1
"55","_A_N_H___1_9_2___A___P_1_","Species richness",39,46.546,5.947,40.932,68.47,"ANH_192","PntFijo",1
"56","_A_N_H___1_9_2___A___P_1_","Shannon diversity",4.98,5.261,0.482,4.98,6.206,"ANH_192","PntFijo",1
"57","_A_N_H___1_9_2___A___P_1_","Simpson diversity",2.039,2.044,0.119,2.039,2.278,"ANH_192","PntFijo",1
"58","_A_N_H___1_9_2___A___P_2_","Species richness",32,44.427,10.621,34.911,85.054,"ANH_192","PntFijo",1
"59","_A_N_H___1_9_2___A___P_2_","Shannon diversity",14.639,16.797,2.064,14.639,20.842,"ANH_192","PntFijo",1
"60","_A_N_H___1_9_2___A___P_2_","Simpson diversity",7.004,7.259,1.241,7.004,9.691,"ANH_192","PntFijo",1
"61","_A_N_H___1_9_2___A___P_3_","Species richness",41,50.373,6.795,43.623,74.5,"ANH_192","PntFijo",1
"62","_A_N_H___1_9_2___A___P_3_","Shannon diversity",4.772,5.002,0.386,4.772,5.757,"ANH_192","PntFijo",1
"63","_A_N_H___1_9_2___A___P_3_","Simpson diversity",2.059,2.063,0.116,2.059,2.29,"ANH_192","PntFijo",1
"64","_A_N_H___1_9_7___A___P_1_","Species richness",33,44.984,9.64,36.001,80.85,"ANH_197","PntFijo",1
"65","_A_N_H___1_9_7___A___P_1_","Shannon diversity",25.584,32.33,3.165,26.127,38.534,"ANH_197","PntFijo",1
"66","_A_N_H___1_9_7___A___P_1_","Simpson diversity",20.485,25.264,3.254,20.485,31.641,"ANH_197","PntFijo",1
"67","_A_N_H___1_9_7___A___P_2_","Species richness",30,45.911,10.935,34.702,83.843,"ANH_197","PntFijo",1
"68","_A_N_H___1_9_7___A___P_2_","Shannon diversity",15.656,20.181,2.713,15.656,25.499,"ANH_197","PntFijo",1
"69","_A_N_H___1_9_7___A___P_2_","Simpson diversity",9.091,9.9,1.628,9.091,13.091,"ANH_197","PntFijo",1
"70","_A_N_H___1_9_7___A___P_3_","Species richness",33,38.984,4.752,34.519,56.562,"ANH_197","PntFijo",1
"71","_A_N_H___1_9_7___A___P_3_","Shannon diversity",24.589,31.227,3.139,25.075,37.38,"ANH_197","PntFijo",1
"72","_A_N_H___1_9_7___A___P_3_","Simpson diversity",18.2,22.5,3.884,18.2,30.113,"ANH_197","PntFijo",1
"73","_A_N_H___2_0_8___A___P_1_","Species richness",6,11.4,6.367,6.867,39.651,"ANH_208","PntFijo",1
"74","_A_N_H___2_0_8___A___P_1_","Shannon diversity",5.173,9.252,3.298,5.173,15.715,"ANH_208","PntFijo",1
"75","_A_N_H___2_0_8___A___P_1_","Simpson diversity",4.545,7.5,3.323,4.545,14.012,"ANH_208","PntFijo",1
"76","_A_N_H___2_0_8___A___P_2_","Species richness",8,24.8,22.073,10.36,127.604,"ANH_208","PntFijo",1
"77","_A_N_H___2_0_8___A___P_2_","Shannon diversity",5.515,11.319,6.469,5.515,23.998,"ANH_208","PntFijo",1
"78","_A_N_H___2_0_8___A___P_2_","Simpson diversity",3.814,4.773,4.428,3.814,13.451,"ANH_208","PntFijo",1
"79","_A_N_H___2_0_8___A___P_3_","Species richness",6,7.857,3.493,6.167,26.688,"ANH_208","PntFijo",1
"80","_A_N_H___2_0_8___A___P_3_","Shannon diversity",5.329,7.047,1.764,5.329,10.505,"ANH_208","PntFijo",1
"81","_A_N_H___2_0_8___A___P_3_","Simpson diversity",4.9,7,1.756,4.9,10.442,"ANH_208","PntFijo",1
"82","_A_N_H___2_1_1___A___P_1_","Species richness",6,18.5,11.242,8.764,62.521,"ANH_211","PntFijo",1
"83","_A_N_H___2_1_1___A___P_1_","Shannon diversity",6,26.008,7.662,10.99,41.025,"ANH_211","PntFijo",1
"84","_A_N_H___2_1_1___A___P_1_","Simpson diversity",6,6,4.389,6,14.602,"ANH_211","PntFijo",1
"85","_A_N_H___2_1_1___A___P_2_","Species richness",4,5.75,3.307,4.156,23.607,"ANH_211","PntFijo",1
"86","_A_N_H___2_1_1___A___P_2_","Shannon diversity",3.364,4.783,2.032,3.364,8.766,"ANH_211","PntFijo",1
"87","_A_N_H___2_1_1___A___P_2_","Simpson diversity",2.909,4,1.902,2.909,7.727,"ANH_211","PntFijo",1
"88","_A_N_H___2_1_1___A___P_3_","Species richness",7,8.385,2.14,7.159,19.07,"ANH_211","PntFijo",1
"89","_A_N_H___2_1_1___A___P_3_","Shannon diversity",6.163,8.644,1.805,6.163,12.182,"ANH_211","PntFijo",1
"90","_A_N_H___2_1_1___A___P_3_","Simpson diversity",5.452,8.667,1.972,5.452,12.531,"ANH_211","PntFijo",1
"91","_A_N_H___2_1_3___A___P_1_","Species richness",5,6.846,3.474,5.166,25.577,"ANH_213","PntFijo",1
"92","_A_N_H___2_1_3___A___P_1_","Shannon diversity",3.966,5.142,1.448,3.966,7.979,"ANH_213","PntFijo",1
"93","_A_N_H___2_1_3___A___P_1_","Simpson diversity",3.314,4.105,1.361,3.314,6.773,"ANH_213","PntFijo",1
