"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","A","Species richness",151,158.03,4.827,153.079,174.765,4571,151,0.9967
"2","A","Shannon diversity",50.691,51.62,0.99,50.691,53.56,4571,151,0.9967
"3","A","Simpson diversity",22.414,22.52,0.846,22.414,24.178,4571,151,0.9967
