"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"23","ANH_197","Shannon diversity",33.908,38.328,2.235,33.948,42.708,5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto",1
"24","ANH_197","Simpson diversity",22.799,24.625,2.066,22.799,28.674,5664.23504156,3480.52563997,1909.6406701,118.663104598,105.983112032,841.669467865,3445.37156462,108.720786268,1235.48590484,1235.48590484,8168.0762136,3244.89928675,4503.94321918,"Kale","Bosque Abierto",1
"25","ANH_208","Species richness",13,30.538,23.026,15.466,137.749,4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma",1
"26","ANH_208","Shannon diversity",9.496,13.421,3.785,9.496,20.84,4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma",1
"27","ANH_208","Simpson diversity",7.493,9.037,1.966,7.493,12.89,4371.23573508,7477.21745863,2209.12089997,538.61956073,538.61956073,16.5657548972,2528.30179127,353.650623053,5276.70821584,5276.70821584,2902.67246761,2987.30770904,284.466785778,"Kale","Palma",1
"28","ANH_211","Species richness",13,24.796,12.684,15.117,78.746,4440.80597184,10599.1787894,1176.55142356,164.268370461,164.268370461,34.4873853707,4902.35827479,3989.40954626,6150.4090566,6150.4090566,3385.32572999,6272.92696189,1930.50260475,"Kale","Palma",1
"29","ANH_211","Shannon diversity",10.715,17.072,4.267,10.715,25.435,4440.80597184,10599.1787894,1176.55142356,164.268370461,164.268370461,34.4873853707,4902.35827479,3989.40954626,6150.4090566,6150.4090566,3385.32572999,6272.92696189,1930.50260475,"Kale","Palma",1
"30","ANH_211","Simpson diversity",9.228,13.5,3.39,9.228,20.144,4440.80597184,10599.1787894,1176.55142356,164.268370461,164.268370461,34.4873853707,4902.35827479,3989.40954626,6150.4090566,6150.4090566,3385.32572999,6272.92696189,1930.50260475,"Kale","Palma",1
"31","ANH_213","Species richness",12,17.878,7.033,12.926,49.291,7082.31349951,12070.7706135,437.224995545,161.734343803,161.734343803,841.669467865,3192.13278796,2526.2327708,4834.18909629,8654.02495883,637.611964494,3173.92802039,4894.63720459,"Kale","Palma",1
"32","ANH_213","Shannon diversity",8.143,9.793,1.689,8.143,13.102,7082.31349951,12070.7706135,437.224995545,161.734343803,161.734343803,841.669467865,3192.13278796,2526.2327708,4834.18909629,8654.02495883,637.611964494,3173.92802039,4894.63720459,"Kale","Palma",1
"33","ANH_213","Simpson diversity",5.814,6.462,1.393,5.814,9.192,7082.31349951,12070.7706135,437.224995545,161.734343803,161.734343803,841.669467865,3192.13278796,2526.2327708,4834.18909629,8654.02495883,637.611964494,3173.92802039,4894.63720459,"Kale","Palma",1
"34","ANH_218","Species richness",19,29.523,10.139,21.15,70.51,2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma",1
"35","ANH_218","Shannon diversity",11.501,14.2,2.21,11.501,18.532,2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma",1
"36","ANH_218","Simpson diversity",7.913,8.741,1.462,7.913,11.607,2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma",1
"37","ANH_221","Species richness",29,39.156,7.699,31.711,67.042,3689.24855452,5801.92962769,1031.47648461,89.5343573932,89.5343573932,855.986956246,2810.03578108,2703.91566834,4792.933567,6825.96749612,2525.37662582,2085.71502856,2852.90213725,"Platero","Palma",1
"38","ANH_221","Shannon diversity",21.047,27.733,3.421,21.047,34.439,3689.24855452,5801.92962769,1031.47648461,89.5343573932,89.5343573932,855.986956246,2810.03578108,2703.91566834,4792.933567,6825.96749612,2525.37662582,2085.71502856,2852.90213725,"Platero","Palma",1
"39","ANH_221","Simpson diversity",15.486,19.019,3.039,15.486,24.975,3689.24855452,5801.92962769,1031.47648461,89.5343573932,89.5343573932,855.986956246,2810.03578108,2703.91566834,4792.933567,6825.96749612,2525.37662582,2085.71502856,2852.90213725,"Platero","Palma",1
"40","ANH_222","Species richness",26,37.932,9.601,28.987,73.658,9390.76906167,4747.46419056,3711.07627906,246.103545107,246.103545107,137.622864224,3045.90669074,3.44051569843,5342.46138687,5342.46138687,1932.62141813,577.555146224,4977.53543211,"Platero","Palma",1
"41","ANH_222","Shannon diversity",18.742,24.985,3.518,18.742,31.879,9390.76906167,4747.46419056,3711.07627906,246.103545107,246.103545107,137.622864224,3045.90669074,3.44051569843,5342.46138687,5342.46138687,1932.62141813,577.555146224,4977.53543211,"Platero","Palma",1
"42","ANH_222","Simpson diversity",13.935,17.04,2.867,13.935,22.659,9390.76906167,4747.46419056,3711.07627906,246.103545107,246.103545107,137.622864224,3045.90669074,3.44051569843,5342.46138687,5342.46138687,1932.62141813,577.555146224,4977.53543211,"Platero","Palma",1
"43","ANH_223","Species richness",21,25.812,4.762,21.953,45.304,1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma",1
