"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"11","ANH_142","Shannon diversity",1,0,0,1,0,"CapManual",1,"7°19' 0,200"" N","73°46' 44,100"" W",7.31672222246,-73.7789166667,"Escarabajos",712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,8695.92999457,12111.4757092,0,0,11164.8874488,7894.17095092,30.3195804972,"PVBc2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,664.464997752,"Caracterizacion",8695.92999457,0,636.338589231,6907.38779167,NA,NA,NA,NA,NA
"12","ANH_142","Simpson diversity",1,1,0,1,1,"CapManual",1,"7°19' 0,200"" N","73°46' 44,100"" W",7.31672222246,-73.7789166667,"Escarabajos",712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,8695.92999457,12111.4757092,0,0,11164.8874488,7894.17095092,30.3195804972,"PVBc2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,664.464997752,"Caracterizacion",8695.92999457,0,636.338589231,6907.38779167,NA,NA,NA,NA,NA
"13","ANH_147","Species richness",2,2,0,NA,NA,"CapManual",1,"7°16' 6,800"" N","73°49' 0,000"" W",7.26855555579,-73.8166666667,"Escarabajos",3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,10598.2196572,6874.27913568,563.299829417,0,8302.58243891,3617.92239452,5734.18772127,"PVAa","Herbazal",NA,NA,"Herbazal",NA,NA,NA,NA,NA,84.6054235413,"Platero",6874.27913568,0,887.019885277,4174.37764141,NA,NA,NA,NA,NA
"14","ANH_147","Shannon diversity",2,0,0,2,0,"CapManual",1,"7°16' 6,800"" N","73°49' 0,000"" W",7.26855555579,-73.8166666667,"Escarabajos",3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,10598.2196572,6874.27913568,563.299829417,0,8302.58243891,3617.92239452,5734.18772127,"PVAa","Herbazal",NA,NA,"Herbazal",NA,NA,NA,NA,NA,84.6054235413,"Platero",6874.27913568,0,887.019885277,4174.37764141,NA,NA,NA,NA,NA
"15","ANH_147","Simpson diversity",2,2,0,2,2,"CapManual",1,"7°16' 6,800"" N","73°49' 0,000"" W",7.26855555579,-73.8166666667,"Escarabajos",3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,10598.2196572,6874.27913568,563.299829417,0,8302.58243891,3617.92239452,5734.18772127,"PVAa","Herbazal",NA,NA,"Herbazal",NA,NA,NA,NA,NA,84.6054235413,"Platero",6874.27913568,0,887.019885277,4174.37764141,NA,NA,NA,NA,NA
"16","ANH_365","Species richness",1,1,0.312,1,2.549,"CapManual",1,"7°24' 29,500"" N","73°47' 31,600"" W",7.40819444469,-73.7921111111,"Escarabajos",1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,6493.47597619,17879.3196233,0,0,1252.26637029,10830.5067878,640.85987812,"PVCb2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,55.5231894305,"Kale",6493.47597619,0,9191.13484621,82.3485781298,NA,NA,NA,NA,NA
"17","ANH_365","Shannon diversity",1,0,0,1,0,"CapManual",1,"7°24' 29,500"" N","73°47' 31,600"" W",7.40819444469,-73.7921111111,"Escarabajos",1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,6493.47597619,17879.3196233,0,0,1252.26637029,10830.5067878,640.85987812,"PVCb2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,55.5231894305,"Kale",6493.47597619,0,9191.13484621,82.3485781298,NA,NA,NA,NA,NA
"18","ANH_365","Simpson diversity",1,1,0,1,1,"CapManual",1,"7°24' 29,500"" N","73°47' 31,600"" W",7.40819444469,-73.7921111111,"Escarabajos",1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,6493.47597619,17879.3196233,0,0,1252.26637029,10830.5067878,640.85987812,"PVCb2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,55.5231894305,"Kale",6493.47597619,0,9191.13484621,82.3485781298,NA,NA,NA,NA,NA
"19","ANH_368","Species richness",1,1,0.312,1,2.549,"CapManual",1,"7°20' 22,300"" N","73°51' 12,400"" W",7.33952777802,-73.8534444444,"Escarabajos",1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,2300.9454682,8009.59212208,0,0,2729.85095313,5689.23419082,93.4324920071,"PVFa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,61.3915848758,"Kale",2300.9454682,0,1274.37570273,1427.07644303,NA,NA,NA,NA,NA
"20","ANH_368","Shannon diversity",1,0,0,1,0,"CapManual",1,"7°20' 22,300"" N","73°51' 12,400"" W",7.33952777802,-73.8534444444,"Escarabajos",1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,2300.9454682,8009.59212208,0,0,2729.85095313,5689.23419082,93.4324920071,"PVFa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,61.3915848758,"Kale",2300.9454682,0,1274.37570273,1427.07644303,NA,NA,NA,NA,NA
"21","ANH_368","Simpson diversity",1,1,0,1,1,"CapManual",1,"7°20' 22,300"" N","73°51' 12,400"" W",7.33952777802,-73.8534444444,"Escarabajos",1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,2300.9454682,8009.59212208,0,0,2729.85095313,5689.23419082,93.4324920071,"PVFa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,61.3915848758,"Kale",2300.9454682,0,1274.37570273,1427.07644303,NA,NA,NA,NA,NA
