"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"20","ANH_153","Shannon diversity",5.753,7.746,1.77,5.753,11.214,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.54292343387471
"21","ANH_153","Simpson diversity",4.923,6.667,1.618,4.923,9.838,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.54292343387471
"22","ANH_154","Species richness",9,9.993,1.86,9.09,20.003,7071.85971298,13362.502474,2331.10109642,0,0,662.460780049,5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,5777.45127819,6917.56778495,"Caracterizacion","Bosque Ripario",0.712296983758701
"23","ANH_154","Shannon diversity",2.202,2.278,0.228,2.202,2.726,7071.85971298,13362.502474,2331.10109642,0,0,662.460780049,5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,5777.45127819,6917.56778495,"Caracterizacion","Bosque Ripario",0.712296983758701
"24","ANH_154","Simpson diversity",1.478,1.483,0.108,1.478,1.694,7071.85971298,13362.502474,2331.10109642,0,0,662.460780049,5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,5777.45127819,6917.56778495,"Caracterizacion","Bosque Ripario",0.712296983758701
"25","ANH_182","Species richness",7,7.95,1.791,7.085,17.609,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.591647331786543
"26","ANH_182","Shannon diversity",5.663,6.914,1.325,5.663,9.512,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.591647331786543
"27","ANH_182","Simpson diversity",4.762,5.938,1.4,4.762,8.682,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.591647331786543
"28","ANH_181","Species richness",10,12.215,3.348,10.261,28.777,1974.4879915,4546.58708741,5901.33349282,0,0,78.6478687443,4897.62859073,6192.29961784,2266.13858395,2266.13858395,7142.48315283,5843.50046111,1040.84946892,"Platero","Bosque Ripario",0.645011600928074
"29","ANH_181","Shannon diversity",4.312,4.762,0.788,4.312,6.306,1974.4879915,4546.58708741,5901.33349282,0,0,78.6478687443,4897.62859073,6192.29961784,2266.13858395,2266.13858395,7142.48315283,5843.50046111,1040.84946892,"Platero","Bosque Ripario",0.645011600928074
"30","ANH_181","Simpson diversity",2.681,2.754,0.439,2.681,3.615,1974.4879915,4546.58708741,5901.33349282,0,0,78.6478687443,4897.62859073,6192.29961784,2266.13858395,2266.13858395,7142.48315283,5843.50046111,1040.84946892,"Platero","Bosque Ripario",0.645011600928074
"31","ANH_133","Species richness",11,11.165,0.531,11.008,14.503,3674.55972873,5697.57717866,3872.18798745,0,0,27.8725991505,5160.47181143,4493.33615423,2065.36517366,4727.91314187,5368.07199542,4501.68100899,1444.39173489,"Platero","Bosque Ripario",0.675174013921114
"32","ANH_133","Shannon diversity",6.213,6.657,0.791,6.213,8.208,3674.55972873,5697.57717866,3872.18798745,0,0,27.8725991505,5160.47181143,4493.33615423,2065.36517366,4727.91314187,5368.07199542,4501.68100899,1444.39173489,"Platero","Bosque Ripario",0.675174013921114
"33","ANH_133","Simpson diversity",4.38,4.578,0.63,4.38,5.813,3674.55972873,5697.57717866,3872.18798745,0,0,27.8725991505,5160.47181143,4493.33615423,2065.36517366,4727.91314187,5368.07199542,4501.68100899,1444.39173489,"Platero","Bosque Ripario",0.675174013921114
"34","ANH_232","Species richness",11,23.153,16.673,12.618,102.297,1351.99539749,3474.97249614,3304.21273599,0,0,32.8373162882,2879.24597743,5158.65195667,4511.84825113,4607.41940345,3974.45621607,3090.66441294,812.832337561,"Platero","Bosque Ripario",0.568445475638051
"35","ANH_232","Shannon diversity",7.665,10.318,2.329,7.665,14.882,1351.99539749,3474.97249614,3304.21273599,0,0,32.8373162882,2879.24597743,5158.65195667,4511.84825113,4607.41940345,3974.45621607,3090.66441294,812.832337561,"Platero","Bosque Ripario",0.568445475638051
"36","ANH_232","Simpson diversity",6,7,1.388,6,9.72,1351.99539749,3474.97249614,3304.21273599,0,0,32.8373162882,2879.24597743,5158.65195667,4511.84825113,4607.41940345,3974.45621607,3090.66441294,812.832337561,"Platero","Bosque Ripario",0.568445475638051
