"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"52","ANH_152_D","Species richness",2,2,0.461,2,3.671,"ANH_152","VES",0.777262180974478
"53","ANH_152_D","Shannon diversity",1.755,2.031,0.543,1.755,3.095,"ANH_152","VES",0.777262180974478
"54","ANH_152_D","Simpson diversity",1.6,2,0.755,1.6,3.48,"ANH_152","VES",0.777262180974478
"55","ANH_152_N","Species richness",11,12.462,2.241,11.169,23.613,"ANH_152","VES",0.777262180974478
"56","ANH_152_N","Shannon diversity",8.544,10.093,1.14,8.544,12.328,"ANH_152","VES",0.777262180974478
"57","ANH_152_N","Simpson diversity",7.278,8.718,1.213,7.278,11.095,"ANH_152","VES",0.777262180974478
"58","ANH_153_D","Species richness",1,1,0.312,1,2.549,"ANH_153","VES",0.54292343387471
"59","ANH_153_D","Shannon diversity",1,0,0,1,0,"ANH_153","VES",0.54292343387471
"60","ANH_153_D","Simpson diversity",1,1,0,1,1,"ANH_153","VES",0.54292343387471
"61","ANH_153_N","Species richness",7,9.1,3.191,7.246,24.923,"ANH_153","VES",0.54292343387471
"62","ANH_153_N","Shannon diversity",5.953,8.175,1.87,5.953,11.84,"ANH_153","VES",0.54292343387471
"63","ANH_153_N","Simpson diversity",5.233,7.5,1.925,5.233,11.273,"ANH_153","VES",0.54292343387471
"64","ANH_154_D","Species richness",4,4.991,2.15,4.075,17.168,"ANH_154","VES",0.712296983758701
"65","ANH_154_D","Shannon diversity",1.25,1.277,0.099,1.25,1.47,"ANH_154","VES",0.712296983758701
"66","ANH_154_D","Simpson diversity",1.094,1.095,0.041,1.094,1.175,"ANH_154","VES",0.712296983758701
"67","ANH_154_N","Species richness",8,8.648,1.275,8.055,15.635,"ANH_154","VES",0.712296983758701
"68","ANH_154_N","Shannon diversity",5.135,5.811,0.878,5.135,7.532,"ANH_154","VES",0.712296983758701
"69","ANH_154_N","Simpson diversity",3.914,4.281,0.806,3.914,5.86,"ANH_154","VES",0.712296983758701
"70","ANH_155_D","Species richness",2,2.333,0.943,2.018,8.09,"ANH_155","VES",0.633410672853828
"71","ANH_155_D","Shannon diversity",1.89,2.52,1.734,1.89,5.919,"ANH_155","VES",0.633410672853828
"72","ANH_155_D","Simpson diversity",1.8,3,0.877,1.8,4.719,"ANH_155","VES",0.633410672853828
"73","ANH_155_N","Species richness",9,11.214,3.347,9.261,27.773,"ANH_155","VES",0.633410672853828
"74","ANH_155_N","Shannon diversity",3.655,4.008,0.601,3.655,5.187,"ANH_155","VES",0.633410672853828
"75","ANH_155_N","Simpson diversity",2.244,2.29,0.351,2.244,2.977,"ANH_155","VES",0.633410672853828
"76","ANH_157_D","Species richness",3,4.5,2.872,3.132,20.083,"ANH_157","VES",0.531322505800464
"77","ANH_157_D","Shannon diversity",2.828,4.891,2.968,2.828,10.708,"ANH_157","VES",0.531322505800464
"78","ANH_157_D","Simpson diversity",2.667,6,1.852,2.667,9.629,"ANH_157","VES",0.531322505800464
"79","ANH_157_N","Species richness",7,9.1,3.191,7.246,24.923,"ANH_157","VES",0.531322505800464
"80","ANH_157_N","Shannon diversity",5.853,8.039,1.938,5.853,11.837,"ANH_157","VES",0.531322505800464
"81","ANH_157_N","Simpson diversity",5,7,1.951,5,10.825,"ANH_157","VES",0.531322505800464
"82","ANH_158_D","Species richness",2,2.333,0.943,2.018,8.09,"ANH_158","VES",0.751740139211137
"83","ANH_158_D","Shannon diversity",1.89,2.52,2.061,1.89,6.56,"ANH_158","VES",0.751740139211137
"84","ANH_158_D","Simpson diversity",1.8,3,0.904,1.8,4.771,"ANH_158","VES",0.751740139211137
"85","ANH_158_N","Species richness",10,14.398,7.037,10.483,50.038,"ANH_158","VES",0.751740139211137
"86","ANH_158_N","Shannon diversity",6.306,7.425,1.155,6.306,9.689,"ANH_158","VES",0.751740139211137
"87","ANH_158_N","Simpson diversity",4.42,4.802,1.052,4.42,6.864,"ANH_158","VES",0.751740139211137
"88","ANH_159_D","Species richness",4,4.875,1.921,4.065,15.798,"ANH_159","VES",1
"89","ANH_159_D","Shannon diversity",3.51,4.715,1.249,3.51,7.162,"ANH_159","VES",1
"90","ANH_159_D","Simpson diversity",3.2,4.667,1.363,3.2,7.339,"ANH_159","VES",1
"91","ANH_159_N","Species richness",9,14.882,6.989,9.935,45.999,"ANH_159","VES",1
"92","ANH_159_N","Shannon diversity",4.963,5.744,0.84,4.963,7.391,"ANH_159","VES",1
"93","ANH_159_N","Simpson diversity",3.578,3.772,0.641,3.578,5.029,"ANH_159","VES",1
"94","ANH_160_D","Species richness",1,1,0.312,1,2.549,"ANH_160","VES",0.54292343387471
"95","ANH_160_D","Shannon diversity",1,0,0,1,0,"ANH_160","VES",0.54292343387471
"96","ANH_160_D","Simpson diversity",1,1,0,1,1,"ANH_160","VES",0.54292343387471
"97","ANH_160_N","Species richness",6,11.538,6.524,6.89,40.472,"ANH_160","VES",0.54292343387471
"98","ANH_160_N","Shannon diversity",4.569,7.157,2.084,4.569,11.241,"ANH_160","VES",0.54292343387471
"99","ANH_160_N","Simpson diversity",3.756,4.875,1.707,3.756,8.222,"ANH_160","VES",0.54292343387471
"100","ANH_162_D","Species richness",3,3.476,1.269,3.028,11.108,"ANH_162","VES",0.280742459396752
"101","ANH_162_D","Shannon diversity",1.65,1.77,0.417,1.65,2.587,"ANH_162","VES",0.280742459396752
"102","ANH_162_D","Simpson diversity",1.34,1.364,0.236,1.34,1.825,"ANH_162","VES",0.280742459396752
"103","ANH_162_N","Species richness",4,4,0.478,4,5.438,"ANH_162","VES",0.280742459396752
"104","ANH_162_N","Shannon diversity",3.379,3.603,0.349,3.379,4.287,"ANH_162","VES",0.280742459396752
"105","ANH_162_N","Simpson diversity",3.205,3.529,0.346,3.205,4.208,"ANH_162","VES",0.280742459396752
"106","ANH_163_N","Species richness",1,1,0.129,1,1.276,"ANH_163","VES",0.22737819025522
"107","ANH_163_N","Shannon diversity",1,1,0,1,1,"ANH_163","VES",0.22737819025522
"108","ANH_163_N","Simpson diversity",1,1,0,1,1,"ANH_163","VES",0.22737819025522
"109","ANH_164_D","Species richness",1,1,0.284,1,1.799,"ANH_164","VES",0.350348027842227
"110","ANH_164_D","Shannon diversity",1,1,0,1,1,"ANH_164","VES",0.350348027842227
"111","ANH_164_D","Simpson diversity",1,1,0,1,1,"ANH_164","VES",0.350348027842227
"112","ANH_164_N","Species richness",6,10.437,7.097,6.488,46.372,"ANH_164","VES",0.350348027842227
"113","ANH_164_N","Shannon diversity",2.694,2.895,0.354,2.694,3.589,"ANH_164","VES",0.350348027842227
"114","ANH_164_N","Simpson diversity",2.299,2.342,0.152,2.299,2.64,"ANH_164","VES",0.350348027842227
"115","ANH_165_N","Species richness",9,11.914,4.359,9.348,33.386,"ANH_165","VES",0.501160092807425
"116","ANH_165_N","Shannon diversity",6.974,8.302,1.083,6.974,10.424,"ANH_165","VES",0.501160092807425
"117","ANH_165_N","Simpson diversity",5.918,6.919,1.237,5.918,9.342,"ANH_165","VES",0.501160092807425
"118","ANH_166_D","Species richness",2,2.333,0.943,2.018,8.09,"ANH_166","VES",0.619489559164733
"119","ANH_166_D","Shannon diversity",1.89,2.52,1.775,1.89,6,"ANH_166","VES",0.619489559164733
"120","ANH_166_D","Simpson diversity",1.8,1.8,0.729,1.8,3.228,"ANH_166","VES",0.619489559164733
"121","ANH_166_N","Species richness",12,12.993,1.86,12.09,23.003,"ANH_166","VES",0.619489559164733
"122","ANH_166_N","Shannon diversity",5.631,5.885,0.544,5.631,6.95,"ANH_166","VES",0.619489559164733
"123","ANH_166_N","Simpson diversity",3.531,3.592,0.399,3.531,4.374,"ANH_166","VES",0.619489559164733
"124","ANH_167_N","Species richness",10,12.564,3.366,10.361,28.236,"ANH_167","VES",0.535962877030162
"125","ANH_167_N","Shannon diversity",7.554,9.787,2.161,7.554,14.022,"ANH_167","VES",0.535962877030162
"126","ANH_167_N","Simpson diversity",5.93,7.386,1.902,5.93,11.115,"ANH_167","VES",0.535962877030162
"127","ANH_168_D","Species richness",1,1,0.312,1,2.549,"ANH_168","VES",0.533642691415313
"128","ANH_168_D","Shannon diversity",1,0,0,1,0,"ANH_168","VES",0.533642691415313
"129","ANH_168_D","Simpson diversity",1,1,0,1,1,"ANH_168","VES",0.533642691415313
"130","ANH_168_N","Species richness",10,14.444,7.109,10.488,50.439,"ANH_168","VES",0.533642691415313
"131","ANH_168_N","Shannon diversity",6.731,7.351,0.761,6.731,8.843,"ANH_168","VES",0.533642691415313
"132","ANH_168_N","Simpson diversity",5.76,6.125,0.602,5.76,7.304,"ANH_168","VES",0.533642691415313
"133","ANH_169_N","Species richness",8,10.959,4.405,8.356,32.614,"ANH_169","VES",0.582366589327146
"134","ANH_169_N","Shannon diversity",5.042,5.435,0.487,5.042,6.389,"ANH_169","VES",0.582366589327146
"135","ANH_169_N","Simpson diversity",4.252,4.45,0.432,4.252,5.297,"ANH_169","VES",0.582366589327146
"136","ANH_178_N","Species richness",5,7.667,3.924,5.325,26.858,"ANH_178","VES",0.160092807424594
"137","ANH_178_N","Shannon diversity",4.327,6.718,2.128,4.327,10.888,"ANH_178","VES",0.160092807424594
"138","ANH_178_N","Simpson diversity",3.857,6,2.568,3.857,11.034,"ANH_178","VES",0.160092807424594
"139","ANH_179_N","Species richness",8,10.889,4.307,8.347,32.074,"ANH_179","VES",0.635730858468677
"140","ANH_179_N","Shannon diversity",6.514,8.009,1.22,6.514,10.401,"ANH_179","VES",0.635730858468677
"141","ANH_179_N","Simpson diversity",5.832,7.163,1.066,5.832,9.252,"ANH_179","VES",0.635730858468677
"142","ANH_180_N","Species richness",2,2.5,1.107,2.037,8.808,"ANH_180","VES",0.109048723897912
"143","ANH_180_N","Shannon diversity",2,3.375,1.12,2,5.569,"ANH_180","VES",0.109048723897912
"144","ANH_180_N","Simpson diversity",2,2,0.475,2,2.931,"ANH_180","VES",0.109048723897912
"145","ANH_181_D","Species richness",3,3.487,1.295,3.029,11.266,"ANH_181","VES",0.645011600928074
"146","ANH_181_D","Shannon diversity",1.369,1.42,0.236,1.369,1.884,"ANH_181","VES",0.645011600928074
"147","ANH_181_D","Simpson diversity",1.164,1.169,0.115,1.164,1.394,"ANH_181","VES",0.645011600928074
"148","ANH_181_N","Species richness",9,16.667,11.19,9.945,71.217,"ANH_181","VES",0.645011600928074
"149","ANH_181_N","Shannon diversity",6.582,9.212,3.037,6.582,15.164,"ANH_181","VES",0.645011600928074
"150","ANH_181_N","Simpson diversity",4.966,6,2.228,4.966,10.367,"ANH_181","VES",0.645011600928074
"151","ANH_182_N","Species richness",7,7.95,1.791,7.085,17.609,"ANH_182","VES",0.591647331786543
"152","ANH_182_N","Shannon diversity",5.663,6.914,1.336,5.663,9.533,"ANH_182","VES",0.591647331786543
"153","ANH_182_N","Simpson diversity",4.762,5.938,1.364,4.762,8.611,"ANH_182","VES",0.591647331786543
"154","ANH_185_N","Species richness",4,4.219,0.659,4.011,8.301,"ANH_185","VES",0.308584686774942
"155","ANH_185_N","Shannon diversity",3.747,4.729,1.558,3.747,7.783,"ANH_185","VES",0.308584686774942
"156","ANH_185_N","Simpson diversity",3.556,5.6,1.765,3.556,9.06,"ANH_185","VES",0.308584686774942
"157","ANH_223_N","Species richness",5,5.958,1.804,5.086,15.685,"ANH_223","VES",0.566125290023202
"158","ANH_223_N","Shannon diversity",2.447,2.766,0.667,2.447,4.072,"ANH_223","VES",0.566125290023202
"159","ANH_223_N","Simpson diversity",1.725,1.781,0.42,1.725,2.605,"ANH_223","VES",0.566125290023202
"160","ANH_232_D","Species richness",3,5,2.921,3.246,19.244,"ANH_232","VES",0.568445475638051
"161","ANH_232_D","Shannon diversity",3,7.184,2.407,3,11.902,"ANH_232","VES",0.568445475638051
"162","ANH_232_D","Simpson diversity",3,3,0.561,3,4.1,"ANH_232","VES",0.568445475638051
