"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","A","Species richness",29,38.75,10.108,30.827,81.022,40,309,29,0.984,5,0,3,1,1,2,0,1,0,2
"2","A","Shannon diversity",21.245,22.361,1.001,21.245,24.322,40,309,29,0.984,5,0,3,1,1,2,0,1,0,2
"3","A","Simpson diversity",18.101,18.711,0.708,18.101,20.099,40,309,29,0.984,5,0,3,1,1,2,0,1,0,2
