"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","decimalLat","decimalLon","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche"
"31","ANH_21","Species richness",20,44.083,18.812,26.227,113.151,"Ar_At",1.12808460634548,28.72,4.71,25.08,0.195,122,3.4639,0.391,1.72,0.074,61.2,2.21218760440396,0.0488,0,0.00509,0.64,3.06,47.79,0,0,4,4,0.65,600,0.33,"Kale","RIO MAGDALENA","Río Magdalena",7.37987103896,-73.9009799995,2240.72740729,560.218781145,426.714396242,552.036219334,3805.32519465,575.85906462,6376.93419168,2018.20823263,0,1102.54734861,399.80211895,66.8734459015,4.47055853945
"32","ANH_21","Shannon diversity",19.195,44.083,7.775,28.845,59.321,"Ar_At",1.12808460634548,28.72,4.71,25.08,0.195,122,3.4639,0.391,1.72,0.074,61.2,2.21218760440396,0.0488,0,0.00509,0.64,3.06,47.79,0,0,4,4,0.65,600,0.33,"Kale","RIO MAGDALENA","Río Magdalena",7.37987103896,-73.9009799995,2240.72740729,560.218781145,426.714396242,552.036219334,3805.32519465,575.85906462,6376.93419168,2018.20823263,0,1102.54734861,399.80211895,66.8734459015,4.47055853945
"33","ANH_21","Simpson diversity",18.241,42.667,7.89,27.203,58.13,"Ar_At",1.12808460634548,28.72,4.71,25.08,0.195,122,3.4639,0.391,1.72,0.074,61.2,2.21218760440396,0.0488,0,0.00509,0.64,3.06,47.79,0,0,4,4,0.65,600,0.33,"Kale","RIO MAGDALENA","Río Magdalena",7.37987103896,-73.9009799995,2240.72740729,560.218781145,426.714396242,552.036219334,3805.32519465,575.85906462,6376.93419168,2018.20823263,0,1102.54734861,399.80211895,66.8734459015,4.47055853945
"34","ANH_291","Species richness",11,16.333,5.389,12.031,38.602,"Ar_At",0.7475910693302,30.71,2.11,44.24,0.615,80,2.82261,0.2125,2.66,0.068,83.958,1.27114431794908,0.356,34,0.00375,25.51,5.16,152.08,0,0,6,4,0.8,20,1.08,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.39905400024,-73.865654,2878.14754184,943.145818258,949.213795296,949.213795296,7113.32503101,2914.26733013,4456.12614355,4609.77321406,3203.0138034,1884.01008271,77.5286686477,77.5286686477,71.35407181
"35","ANH_291","Shannon diversity",10.402,16.333,2.565,11.305,21.361,"Ar_At",0.7475910693302,30.71,2.11,44.24,0.615,80,2.82261,0.2125,2.66,0.068,83.958,1.27114431794908,0.356,34,0.00375,25.51,5.16,152.08,0,0,6,4,0.8,20,1.08,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.39905400024,-73.865654,2878.14754184,943.145818258,949.213795296,949.213795296,7113.32503101,2914.26733013,4456.12614355,4609.77321406,3203.0138034,1884.01008271,77.5286686477,77.5286686477,71.35407181
"36","ANH_291","Simpson diversity",9.8,15.667,2.482,10.801,20.532,"Ar_At",0.7475910693302,30.71,2.11,44.24,0.615,80,2.82261,0.2125,2.66,0.068,83.958,1.27114431794908,0.356,34,0.00375,25.51,5.16,152.08,0,0,6,4,0.8,20,1.08,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.39905400024,-73.865654,2878.14754184,943.145818258,949.213795296,949.213795296,7113.32503101,2914.26733013,4456.12614355,4609.77321406,3203.0138034,1884.01008271,77.5286686477,77.5286686477,71.35407181
"37","ANH_292","Species richness",16,22.05,5.165,17.419,41.798,"Ar_At",0.452996474735605,32.42,0.24,18.42,0.245,80,1.7737,0.2035,2.54,0.07,67.966,1.65321251377534,0,0,0,0,0,0,0,0,1,2,2.8,12,1.35,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.39756100024,-73.872731,2115.58738489,1458.01303354,1670.49158733,1670.49158733,6572.81558485,2255.98196515,5096.53188697,4094.5110093,2488.30974578,1453.4219393,0,0,169.499493659
"38","ANH_292","Shannon diversity",15.096,22.05,3.069,16.034,28.066,"Ar_At",0.452996474735605,32.42,0.24,18.42,0.245,80,1.7737,0.2035,2.54,0.07,67.966,1.65321251377534,0,0,0,0,0,0,0,0,1,2,2.8,12,1.35,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.39756100024,-73.872731,2115.58738489,1458.01303354,1670.49158733,1670.49158733,6572.81558485,2255.98196515,5096.53188697,4094.5110093,2488.30974578,1453.4219393,0,0,169.499493659
"39","ANH_292","Simpson diversity",14.226,21.5,2.819,15.975,27.025,"Ar_At",0.452996474735605,32.42,0.24,18.42,0.245,80,1.7737,0.2035,2.54,0.07,67.966,1.65321251377534,0,0,0,0,0,0,0,0,1,2,2.8,12,1.35,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.39756100024,-73.872731,2115.58738489,1458.01303354,1670.49158733,1670.49158733,6572.81558485,2255.98196515,5096.53188697,4094.5110093,2488.30974578,1453.4219393,0,0,169.499493659
"40","ANH_293","Species richness",14,59.5,25.358,30.418,140.098,"Ar_At",0.746768507638073,27.7,5.52,26.27,0.125,42,2.02,1.21,3.77,0.065,12.24,1.30102999566398,0,0,0,0,0,0,0.05,0,2,2,0.6,2.5,1.62,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",7.35024900024,-73.789012,2807.20629822,2178.52760567,4480.77421019,8921.86183718,365.745970207,2780.42900503,5224.69535484,7472.1813729,11674.3676568,43.6788631477,0,0,79.8352198894
