"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"28","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___0_9_","Species richness",1,1,0.2,1,1.464,"ANH_138","CapManual",0.8
"29","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___0_9_","Shannon diversity",1,1,0,1,1,"ANH_138","CapManual",0.8
"30","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___0_9_","Simpson diversity",1,1,0,1,1,"ANH_138","CapManual",0.8
"31","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_2_","Species richness",2,2,0.182,2,2.402,"ANH_138","CapManual",0.8
"32","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_2_","Shannon diversity",2,2.137,0.181,2,2.493,"ANH_138","CapManual",0.8
"33","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_2_","Simpson diversity",2,2.333,0.297,2,2.916,"ANH_138","CapManual",0.8
"34","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_2_","Species richness",1,1,0.08,1,1.165,"ANH_138","CapManual",0.8
"35","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_2_","Shannon diversity",1,1,0,1,1,"ANH_138","CapManual",0.8
"36","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_2_","Simpson diversity",1,1,0,1,1,"ANH_138","CapManual",0.8
"37","_A_N_H___1_4_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_5_","Species richness",1,1,0.312,1,2.549,"ANH_144","CapManual",0.8
"38","_A_N_H___1_4_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_5_","Shannon diversity",1,0,0,1,0,"ANH_144","CapManual",0.8
"39","_A_N_H___1_4_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_5_","Simpson diversity",1,NA,0,NA,NA,"ANH_144","CapManual",0.8
"40","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Species richness",1,1,0.284,1,1.799,"ANH_147","CapManual",1
"41","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Shannon diversity",1,1,0,1,1,"ANH_147","CapManual",1
"42","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Simpson diversity",1,1,0,1,1,"ANH_147","CapManual",1
"43","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___0_2_","Species richness",1,1,0.2,1,1.464,"ANH_147","CapManual",1
"44","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___0_2_","Shannon diversity",1,1,0,1,1,"ANH_147","CapManual",1
"45","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___0_2_","Simpson diversity",1,1,0,1,1,"ANH_147","CapManual",1
"46","_A_N_H___3_7_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_5_","Species richness",1,1,0.284,1,1.799,"ANH_372","CapManual",0.8
"47","_A_N_H___3_7_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_5_","Shannon diversity",1,1,0,1,1,"ANH_372","CapManual",0.8
"48","_A_N_H___3_7_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_5_","Simpson diversity",1,1,0,1,1,"ANH_372","CapManual",0.8
"49","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_3_","Species richness",1,1,0.312,1,2.549,"ANH_373","CapManual",0.4
"50","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_3_","Shannon diversity",1,0,0,1,0,"ANH_373","CapManual",0.4
