"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"23","ANH_360","Shannon diversity",2.649,3.046,0.597,2.649,4.215,13163.8125228,7045.22132278,3365.54496082,0,0,740.917316393,2453.76742999,708.127754277,3263.06471993,5171.69875723,1638.08036151,1051.59371216,5172.32192669,"Caracterizacion","Bosque Denso",0.817745803357314
"24","ANH_360","Simpson diversity",2.462,3.111,0.692,2.462,4.467,13163.8125228,7045.22132278,3365.54496082,0,0,740.917316393,2453.76742999,708.127754277,3263.06471993,5171.69875723,1638.08036151,1051.59371216,5172.32192669,"Caracterizacion","Bosque Denso",0.817745803357314
"25","ANH_157","Species richness",9,12.869,4.564,9.62,33.126,3183.69828009,5596.7372637,45.2550347586,0,0,61.3915848758,1580.15367717,1509.95134826,6742.45291061,6742.45291061,83.8937918826,377.766551637,1627.66063484,"Kale","Bosque Ripario",1
"26","ANH_157","Shannon diversity",8.22,13.606,3.585,8.22,20.634,3183.69828009,5596.7372637,45.2550347586,0,0,61.3915848758,1580.15367717,1509.95134826,6742.45291061,6742.45291061,83.8937918826,377.766551637,1627.66063484,"Kale","Bosque Ripario",1
"27","ANH_157","Simpson diversity",7.538,15.167,3.883,7.556,22.777,3183.69828009,5596.7372637,45.2550347586,0,0,61.3915848758,1580.15367717,1509.95134826,6742.45291061,6742.45291061,83.8937918826,377.766551637,1627.66063484,"Kale","Bosque Ripario",1
"28","ANH_153","Species richness",4,5.714,3.245,4.153,23.247,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.563549160671463
"29","ANH_153","Shannon diversity",3.586,5.357,2.032,3.586,9.34,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.563549160671463
"30","ANH_153","Simpson diversity",3.267,5.25,3.006,3.267,11.141,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.563549160671463
"31","ANH_185","Species richness",5,13,8.069,6.549,46.319,8264.77005432,89.9858470295,7424.35795761,69.9893274268,69.9893274268,21.2723623644,1460.21656417,175.413782221,3046.67973167,3412.17240227,4169.05093324,318.281693792,670.853086721,"Platero","Pastos",0.683453237410072
"32","ANH_185","Shannon diversity",5,18.564,5.78,7.235,29.893,8264.77005432,89.9858470295,7424.35795761,69.9893274268,69.9893274268,21.2723623644,1460.21656417,175.413782221,3046.67973167,3412.17240227,4169.05093324,318.281693792,670.853086721,"Platero","Pastos",0.683453237410072
"33","ANH_185","Simpson diversity",5,5,2.622,5,10.14,8264.77005432,89.9858470295,7424.35795761,69.9893274268,69.9893274268,21.2723623644,1460.21656417,175.413782221,3046.67973167,3412.17240227,4169.05093324,318.281693792,670.853086721,"Platero","Pastos",0.683453237410072
"34","ANH_167","Species richness",5,5,0.578,5,6.758,4266.77950376,6027.00197854,2525.22215056,244.899366513,1.00706437249,841.669467865,6086.93696548,2320.731006,3752.21487718,3752.21487718,9664.29768516,4671.65500264,4037.04156885,"Kale","Herbazal",0.84652278177458
"35","ANH_167","Shannon diversity",4.626,5.398,0.769,4.626,6.905,4266.77950376,6027.00197854,2525.22215056,244.899366513,1.00706437249,841.669467865,6086.93696548,2320.731006,3752.21487718,3752.21487718,9664.29768516,4671.65500264,4037.04156885,"Kale","Herbazal",0.84652278177458
"36","ANH_167","Simpson diversity",4.261,5.687,1.182,4.261,8.004,4266.77950376,6027.00197854,2525.22215056,244.899366513,1.00706437249,841.669467865,6086.93696548,2320.731006,3752.21487718,3752.21487718,9664.29768516,4671.65500264,4037.04156885,"Kale","Herbazal",0.84652278177458
"37","ANH_163","Species richness",3,3.429,1.161,3.025,10.438,95.7951223422,2551.78503258,6549.28340965,41.354263127,41.354263127,36.59508637,3203.1476325,8290.44104495,1538.70335736,1538.70335736,6820.74306223,5989.28280318,2161.26597056,"Platero","Ciénaga",0.860911270983213
"38","ANH_163","Shannon diversity",2.6,3.201,1.233,2.6,5.618,95.7951223422,2551.78503258,6549.28340965,41.354263127,41.354263127,36.59508637,3203.1476325,8290.44104495,1538.70335736,1538.70335736,6820.74306223,5989.28280318,2161.26597056,"Platero","Ciénaga",0.860911270983213
"39","ANH_163","Simpson diversity",2.333,3,1.231,2.333,5.413,95.7951223422,2551.78503258,6549.28340965,41.354263127,41.354263127,36.59508637,3203.1476325,8290.44104495,1538.70335736,1538.70335736,6820.74306223,5989.28280318,2161.26597056,"Platero","Ciénaga",0.860911270983213
"40","ANH_165","Species richness",4,4,0.468,4,5.28,4888.46835837,4051.58699356,2698.32913269,467.27638864,0,186.006356217,3716.62928382,689.218468839,158.592274777,158.592274777,7427.65189823,3762.53866524,3631.21298666,"Kale","Herbazal",0.705035971223022
"41","ANH_165","Shannon diversity",3.51,3.88,0.545,3.51,4.947,4888.46835837,4051.58699356,2698.32913269,467.27638864,0,186.006356217,3716.62928382,689.218468839,158.592274777,158.592274777,7427.65189823,3762.53866524,3631.21298666,"Kale","Herbazal",0.705035971223022
"42","ANH_165","Simpson diversity",3.2,3.75,0.67,3.2,5.063,4888.46835837,4051.58699356,2698.32913269,467.27638864,0,186.006356217,3716.62928382,689.218468839,158.592274777,158.592274777,7427.65189823,3762.53866524,3631.21298666,"Kale","Herbazal",0.705035971223022
"43","ANH_166","Species richness",6,7.867,3.51,6.168,26.784,5481.50119314,3121.22480271,1580.09176463,47.1901919845,0,11.1985496782,3070.55542019,165.307987492,1443.20821886,1443.20821886,7962.43056702,2875.15007684,4793.3394159,"Kale","Herbazal",0.793764988009592
"44","ANH_166","Shannon diversity",5.241,6.802,1.63,5.241,9.996,5481.50119314,3121.22480271,1580.09176463,47.1901919845,0,11.1985496782,3070.55542019,165.307987492,1443.20821886,1443.20821886,7962.43056702,2875.15007684,4793.3394159,"Kale","Herbazal",0.793764988009592
"45","ANH_166","Simpson diversity",4.787,6.562,1.602,4.787,9.702,5481.50119314,3121.22480271,1580.09176463,47.1901919845,0,11.1985496782,3070.55542019,165.307987492,1443.20821886,1443.20821886,7962.43056702,2875.15007684,4793.3394159,"Kale","Herbazal",0.793764988009592
"46","ANH_180","Species richness",3,3,0.491,3,4.583,9858.49825914,8699.79595013,543.226645521,96.9652535179,96.9652535179,21.4228036738,941.576744787,244.73588065,2779.32488418,9643.79919278,341.019899331,76.763286297,5578.74271314,"Caracterizacion","Vías",0.851318944844125
"47","ANH_180","Shannon diversity",3,3.609,0.659,3,4.899,9858.49825914,8699.79595013,543.226645521,96.9652535179,96.9652535179,21.4228036738,941.576744787,244.73588065,2779.32488418,9643.79919278,341.019899331,76.763286297,5578.74271314,"Caracterizacion","Vías",0.851318944844125
"48","ANH_180","Simpson diversity",3,5,0.972,3.094,6.906,9858.49825914,8699.79595013,543.226645521,96.9652535179,96.9652535179,21.4228036738,941.576744787,244.73588065,2779.32488418,9643.79919278,341.019899331,76.763286297,5578.74271314,"Caracterizacion","Vías",0.851318944844125
