"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",10,10,0,NA,NA,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",10,0,0,10,0,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",10,10,0,10,10,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",13,40,32.863,17.168,187.923,3,20,13,0.595,9,1,3,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",11.382,23.959,8.257,11.382,40.141,3,20,13,0.595,9,1,3,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",10,13,3.35,10,19.566,3,20,13,0.595,9,1,3,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",22,33.693,12.577,24.097,87.197,22,144,22,0.9527,7,2,2,1,0,0,0,2,2,1
"8","Bosque Ripario","Shannon diversity",14.621,16.15,1.371,14.621,18.838,22,144,22,0.9527,7,2,2,1,0,0,0,2,2,1
"9","Bosque Ripario","Simpson diversity",12.155,12.629,0.712,12.155,14.024,22,144,22,0.9527,7,2,2,1,0,0,0,2,2,1
"10","Ciénaga","Species richness",11,32.333,26.533,14.207,152.93,3,16,11,0.5556,8,1,2,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",9.718,21.422,7.34,9.718,35.808,3,16,11,0.5556,8,1,2,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",8.533,11.762,3.046,8.533,17.733,3,16,11,0.5556,8,1,2,0,0,0,0,0,0,0
"13","Herbazal","Species richness",17,20.6,3.934,17.633,37.46,5,47,17,0.9043,6,4,0,2,5,0,0,0,0,0
"14","Herbazal","Shannon diversity",14.015,16.252,1.793,14.015,19.767,5,47,17,0.9043,6,4,0,2,5,0,0,0,0,0
"15","Herbazal","Simpson diversity",12.341,13.303,1.202,12.341,15.659,5,47,17,0.9043,6,4,0,2,5,0,0,0,0,0
"16","Pastos","Species richness",6,6,0,NA,NA,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",6,0,0,6,0,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",6,6,0,6,6,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"19","Vías","Species richness",8,11,4.062,8.406,30.171,4,14,8,0.7857,4,2,2,0,0,0,0,0,0,0
"20","Vías","Shannon diversity",7.172,10.002,2.584,7.172,15.066,4,14,8,0.7857,4,2,2,0,0,0,0,0,0,0
"21","Vías","Simpson diversity",6.533,8.781,2.241,6.533,13.174,4,14,8,0.7857,4,2,2,0,0,0,0,0,0,0
