"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"23","ANH_120","Shannon diversity",4.315,5.205,1.155,4.315,7.469,5362.30896689,4443.04154536,3014.80857825,0,0,0.598963687928,4182.07934311,351.960456553,98.4295645032,98.4295645032,7708.02808744,4174.6220021,3354.78179208,"Kale","Herbazal",0.5
"24","ANH_120","Simpson diversity",2.944,3.112,0.668,2.944,4.421,5362.30896689,4443.04154536,3014.80857825,0,0,0.598963687928,4182.07934311,351.960456553,98.4295645032,98.4295645032,7708.02808744,4174.6220021,3354.78179208,"Kale","Herbazal",0.5
"25","ANH_374","Species richness",11,12.121,1.764,11.126,20.994,15269.6498865,5043.16329707,2051.04835969,9.24729242185,9.24729242185,14.3116499417,1375.87996214,2033.43565156,1536.47039986,2981.8802144,3747.57255063,622.418187418,2999.66115488,"Caracterizacion","Bosque Denso",0.5
"26","ANH_374","Shannon diversity",2.788,2.847,0.18,2.788,3.2,15269.6498865,5043.16329707,2051.04835969,9.24729242185,9.24729242185,14.3116499417,1375.87996214,2033.43565156,1536.47039986,2981.8802144,3747.57255063,622.418187418,2999.66115488,"Caracterizacion","Bosque Denso",0.5
"27","ANH_374","Simpson diversity",2.088,2.096,0.114,2.088,2.319,15269.6498865,5043.16329707,2051.04835969,9.24729242185,9.24729242185,14.3116499417,1375.87996214,2033.43565156,1536.47039986,2981.8802144,3747.57255063,622.418187418,2999.66115488,"Caracterizacion","Bosque Denso",0.5
"28","ANH_391","Species richness",13,22.982,10.203,14.903,65.373,15401.0365961,4797.31409519,1795.80812033,7.07870015647,7.07870015647,14.3116499417,1203.41754109,1805.95960498,1452.30039472,2802.29667839,3865.82877521,426.430359367,2799.5910993,"Caracterizacion","Pastos",0.5
"29","ANH_391","Shannon diversity",2.564,2.615,0.157,2.564,2.922,15401.0365961,4797.31409519,1795.80812033,7.07870015647,7.07870015647,14.3116499417,1203.41754109,1805.95960498,1452.30039472,2802.29667839,3865.82877521,426.430359367,2799.5910993,"Caracterizacion","Pastos",0.5
"30","ANH_391","Simpson diversity",1.64,1.641,0.072,1.64,1.783,15401.0365961,4797.31409519,1795.80812033,7.07870015647,7.07870015647,14.3116499417,1203.41754109,1805.95960498,1452.30039472,2802.29667839,3865.82877521,426.430359367,2799.5910993,"Caracterizacion","Pastos",0.5
"31","ANH_136","Species richness",7,7.976,2.187,7.071,20.487,3519.71643527,3918.08655039,7830.37668337,0,0,45.7606127029,3439.10903788,5226.22472141,1096.25815597,2542.11125603,9140.86710557,4449.04692583,2262.79724728,"Platero","Bosque Ripario",0.5
"32","ANH_136","Shannon diversity",3.719,4.097,0.673,3.719,5.415,3519.71643527,3918.08655039,7830.37668337,0,0,45.7606127029,3439.10903788,5226.22472141,1096.25815597,2542.11125603,9140.86710557,4449.04692583,2262.79724728,"Platero","Bosque Ripario",0.5
