"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"42","ANH_110_T. Exc. Human7_2021_07_15/2021_07_17","Simpson diversity",5.543,6.398,0.738,5.543,7.844,"ANH_110","TrmpExHum",0.5
"43","ANH_110_T. Exc. Human6_2021_07_15/2021_07_17","Species richness",7,7.491,1.303,7.029,15.319,"ANH_110","TrmpExHum",0.5
"44","ANH_110_T. Exc. Human6_2021_07_15/2021_07_17","Shannon diversity",4.776,5.082,0.548,4.776,6.156,"ANH_110","TrmpExHum",0.5
"45","ANH_110_T. Exc. Human6_2021_07_15/2021_07_17","Simpson diversity",3.967,4.189,0.494,3.967,5.157,"ANH_110","TrmpExHum",0.5
"46","ANH_110_T. Exc. Human5_2021_07_15/2021_07_17","Species richness",7,21.25,12.818,10.151,71.446,"ANH_110","TrmpExHum",0.5
"47","ANH_110_T. Exc. Human5_2021_07_15/2021_07_17","Shannon diversity",3.153,5.104,2.134,3.153,9.286,"ANH_110","TrmpExHum",0.5
"48","ANH_110_T. Exc. Human5_2021_07_15/2021_07_17","Simpson diversity",1.98,2.088,0.888,1.98,3.828,"ANH_110","TrmpExHum",0.5
"49","ANH_110_T. Exc. Human4_2021_07_15/2021_07_17","Species richness",6,6.492,1.304,6.029,14.323,"ANH_110","TrmpExHum",0.5
"50","ANH_110_T. Exc. Human4_2021_07_15/2021_07_17","Shannon diversity",3.279,3.452,0.456,3.279,4.345,"ANH_110","TrmpExHum",0.5
"51","ANH_110_T. Exc. Human4_2021_07_15/2021_07_17","Simpson diversity",2.429,2.491,0.319,2.429,3.115,"ANH_110","TrmpExHum",0.5
"52","ANH_110_T. Exc. Human3_2021_07_15/2021_07_17","Species richness",5,5,0.594,5,6.874,"ANH_110","TrmpExHum",0.5
"53","ANH_110_T. Exc. Human3_2021_07_15/2021_07_17","Shannon diversity",2.928,3.147,0.528,2.928,4.181,"ANH_110","TrmpExHum",0.5
"54","ANH_110_T. Exc. Human3_2021_07_15/2021_07_17","Simpson diversity",2.103,2.186,0.411,2.103,2.992,"ANH_110","TrmpExHum",0.5
"55","ANH_110_T. Exc. Human1_2021_07_15/2021_07_17","Species richness",2,2,0.331,2,2.842,"ANH_110","TrmpExHum",0.5
"56","ANH_110_T. Exc. Human1_2021_07_15/2021_07_17","Shannon diversity",1.698,1.804,0.318,1.698,2.427,"ANH_110","TrmpExHum",0.5
"57","ANH_110_T. Exc. Human1_2021_07_15/2021_07_17","Simpson diversity",1.528,1.636,0.379,1.528,2.378,"ANH_110","TrmpExHum",0.5
"58","ANH_110_T. Exc. Human2_2021_07_15/2021_07_17","Species richness",6,6,0.538,6,7.608,"ANH_110","TrmpExHum",0.5
"59","ANH_110_T. Exc. Human2_2021_07_15/2021_07_17","Shannon diversity",4.846,5.205,0.479,4.846,6.144,"ANH_110","TrmpExHum",0.5
"60","ANH_110_T. Exc. Human2_2021_07_15/2021_07_17","Simpson diversity",4.319,4.757,0.581,4.319,5.897,"ANH_110","TrmpExHum",0.5
"61","ANH_112_T. Exc. Human7_2021_07_12/2021_07_14","Species richness",6,13.556,11.033,6.931,67.35,"ANH_112","TrmpExHum",0.5
"62","ANH_112_T. Exc. Human7_2021_07_12/2021_07_14","Shannon diversity",3.18,4.552,1.956,3.18,8.386,"ANH_112","TrmpExHum",0.5
"63","ANH_112_T. Exc. Human7_2021_07_12/2021_07_14","Simpson diversity",2.132,2.284,0.905,2.132,4.058,"ANH_112","TrmpExHum",0.5
"64","ANH_112_T. Exc. Human6_2021_07_12/2021_07_14","Species richness",6,11.647,6.647,6.908,41.117,"ANH_112","TrmpExHum",0.5
"65","ANH_112_T. Exc. Human6_2021_07_12/2021_07_14","Shannon diversity",3.834,5.41,1.602,3.834,8.55,"ANH_112","TrmpExHum",0.5
"66","ANH_112_T. Exc. Human6_2021_07_12/2021_07_14","Simpson diversity",2.861,3.238,0.983,2.861,5.165,"ANH_112","TrmpExHum",0.5
"67","ANH_112_T. Exc. Human5_2021_07_12/2021_07_14","Species richness",2,2,0.465,2,3.569,"ANH_112","TrmpExHum",0.5
"68","ANH_112_T. Exc. Human5_2021_07_12/2021_07_14","Shannon diversity",1.458,1.567,0.359,1.458,2.271,"ANH_112","TrmpExHum",0.5
"69","ANH_112_T. Exc. Human5_2021_07_12/2021_07_14","Simpson diversity",1.28,1.333,0.315,1.28,1.95,"ANH_112","TrmpExHum",0.5
"70","ANH_112_T. Exc. Human4_2021_07_12/2021_07_14","Species richness",8,26.9,15.504,12.633,85.102,"ANH_112","TrmpExHum",0.5
"71","ANH_112_T. Exc. Human4_2021_07_12/2021_07_14","Shannon diversity",7.192,23.539,13.046,7.192,49.109,"ANH_112","TrmpExHum",0.5
"72","ANH_112_T. Exc. Human4_2021_07_12/2021_07_14","Simpson diversity",6.25,15,13.162,6.25,40.797,"ANH_112","TrmpExHum",0.5
"73","ANH_112_T. Exc. Human3_2021_07_12/2021_07_14","Species richness",9,9,0.591,9,10.648,"ANH_112","TrmpExHum",0.5
"74","ANH_112_T. Exc. Human3_2021_07_12/2021_07_14","Shannon diversity",7.086,7.735,0.823,7.086,9.348,"ANH_112","TrmpExHum",0.5
"75","ANH_112_T. Exc. Human3_2021_07_12/2021_07_14","Simpson diversity",5.76,6.409,1.046,5.76,8.46,"ANH_112","TrmpExHum",0.5
"76","ANH_112_T. Exc. Human2_2021_07_12/2021_07_14","Species richness",9,15.09,7.369,9.947,48.17,"ANH_112","TrmpExHum",0.5
"77","ANH_112_T. Exc. Human2_2021_07_12/2021_07_14","Shannon diversity",3.408,4.175,1.097,3.408,6.324,"ANH_112","TrmpExHum",0.5
"78","ANH_112_T. Exc. Human2_2021_07_12/2021_07_14","Simpson diversity",2.025,2.081,0.463,2.025,2.989,"ANH_112","TrmpExHum",0.5
"79","ANH_112_T. Exc. Human1_2021_07_12/2021_07_14","Species richness",6,10.333,6.939,6.476,45.484,"ANH_112","TrmpExHum",0.5
"80","ANH_112_T. Exc. Human1_2021_07_12/2021_07_14","Shannon diversity",3.525,4.254,0.913,3.525,6.043,"ANH_112","TrmpExHum",0.5
"81","ANH_112_T. Exc. Human1_2021_07_12/2021_07_14","Simpson diversity",2.73,2.925,0.591,2.73,4.084,"ANH_112","TrmpExHum",0.5
"82","ANH_113_T. Exc. Human4_2021_07_16/2021_07_18","Species richness",2,2.5,1.107,2.037,8.808,"ANH_113","TrmpExHum",0.5
"83","ANH_113_T. Exc. Human4_2021_07_16/2021_07_18","Shannon diversity",2,3.375,1.156,2,5.64,"ANH_113","TrmpExHum",0.5
"84","ANH_113_T. Exc. Human4_2021_07_16/2021_07_18","Simpson diversity",2,2,0.466,2,2.913,"ANH_113","TrmpExHum",0.5
"85","ANH_113_T. Exc. Human1_2021_07_16/2021_07_18","Species richness",2,2,0.461,2,3.572,"ANH_113","TrmpExHum",0.5
