"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Redes de Niebla","Species richness",22,45.625,19.893,27.627,121.197,64,22,0.814
"2","Redes de Niebla","Shannon diversity",12.845,18.309,4.35,12.845,26.834,64,22,0.814
"3","Redes de Niebla","Simpson diversity",7.787,8.727,1.911,7.787,12.472,64,22,0.814
"4","Punto Fijo","Species richness",157,169.497,7.314,161.314,193.206,4761,157,0.9958
"5","Punto Fijo","Shannon diversity",51.806,52.792,1.079,51.806,54.907,4761,157,0.9958
"6","Punto Fijo","Simpson diversity",23.263,23.372,0.89,23.263,25.117,4761,157,0.9958
"7","Recorrido Libre","Species richness",32,37.453,4.355,33.376,53.605,117,32,0.9076
"8","Recorrido Libre","Shannon diversity",16.907,20.215,2.102,16.907,24.335,117,32,0.9076
"9","Recorrido Libre","Simpson diversity",8.424,9,1.877,8.424,12.679,117,32,0.9076
"10","Recorrido en lancha","Species richness",64,79.362,8.984,69.306,108.476,681,64,0.9707
"11","Recorrido en lancha","Shannon diversity",20.111,21.45,1.095,20.111,23.596,681,64,0.9707
"12","Recorrido en lancha","Simpson diversity",11.213,11.383,0.659,11.213,12.676,681,64,0.9707
