"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Pastos","Species richness",62,71.111,5.983,64.818,91.46,288,62,0.9448
"2","Pastos","Shannon diversity",40.915,46.876,2.487,42.002,51.75,288,62,0.9448
"3","Pastos","Simpson diversity",29.772,33.089,2.785,29.772,38.547,288,62,0.9448
"4","Bosque Ripario","Species richness",107,129.303,11.723,115.471,165.719,1222,107,0.9796
"5","Bosque Ripario","Shannon diversity",49.891,52.836,1.772,49.891,56.31,1222,107,0.9796
"6","Bosque Ripario","Simpson diversity",31.087,31.872,1.554,31.087,34.918,1222,107,0.9796
"7","Bosque Abierto","Species richness",85,103.276,12.227,90.549,145.197,1902,85,0.9916
"8","Bosque Abierto","Shannon diversity",18.985,19.538,0.802,18.985,21.111,1902,85,0.9916
"9","Bosque Abierto","Simpson diversity",5.98,5.996,0.303,5.98,6.589,1902,85,0.9916
"10","Bosque Denso","Species richness",28,36.552,6.752,30.185,61.464,95,28,0.8858
"11","Bosque Denso","Shannon diversity",17.216,21.322,2.565,17.216,26.35,95,28,0.8858
"12","Bosque Denso","Simpson diversity",10.913,12.199,2.288,10.913,16.684,95,28,0.8858
"13","Palma","Species richness",85,105.143,11.302,92.225,141.16,853,85,0.9742
"14","Palma","Shannon diversity",34.965,37.392,1.61,34.965,40.547,853,85,0.9742
"15","Palma","Simpson diversity",19.905,20.356,1.116,19.905,22.544,853,85,0.9742
"16","Herbazal","Species richness",74,86.43,7.659,78.089,111.787,400,74,0.9552
"17","Herbazal","Shannon diversity",42.342,47.672,2.561,42.654,52.691,400,74,0.9552
"18","Herbazal","Simpson diversity",26.765,28.612,2.352,26.765,33.223,400,74,0.9552
